Prestazione,Atleta,Cat.,Anno,Società,Disciplina,Gara
21.35,MOSCARDI Alessandro,SM,2000.0,FI002 ATLETICA FIRENZE MARATHON S.S.,200m,https://www.fidal.it/risultati/2024/REG33818/Risultati/Gara004.html
21.35,FEDERICI Andrea,SM,1997.0,VE471 ASD ATLETICA BIOTEKNA,200m,https://www.fidal.it/risultati/2024/REG33761/Risultati/Gara004.html
21.55,GROOS Daniele,JM,2005.0,RM555 A.S.D. ATLETICA FUTURA ROMA,200m,https://www.fidal.it/risultati/2024/REG33761/Risultati/Gara004.html
21.62,ALBERTIN Jacopo,PM,2003.0,PD140 ASSINDUSTRIA SPORT,200m,https://www.fidal.it/risultati/2024/REG33839/Risultati/Gara203.html
21.62,NAPPI Diego,AM,2007.0,SS059 ATL LEGG PORTO TORRES,200m,https://www.fidal.it/risultati/2024/REG33761/Risultati/Gara004.html
21.76,REZZADORI Davide,PM,2004.0,TN109 U.S. QUERCIA DAO CONAD,200m,https://www.fidal.it/risultati/2024/REG33841/Risultati/Gara203.html
21.77,ORI Alessandro,SM,2000.0,MO052 A.S. LA FRATELLANZA 1874,200m,https://www.fidal.it/risultati/2024/REG33658/Risultati/Gara004.html
21.8,PIVOTTO Pietro,SM,1995.0,VE471 ASD ATLETICA BIOTEKNA,200m,https://www.fidal.it/risultati/2024/REG33761/Risultati/Gara004.html
21.91,CARPENTARI Pietro,PM,2004.0,TN109 U.S. QUERCIA DAO CONAD,200m,https://www.fidal.it/risultati/2024/REG33658/Risultati/Gara004.html
22.0,ANGELINI Lorenzo,SM,1992.0,MC004 ATL. AVIS MACERATA,200m,https://www.fidal.it/risultati/2024/REG33761/Risultati/Gara004.html
22.0,DONELLI Alex,SM,1998.0,CR041 CREMONA SPORTIVA ATL. ARVEDI,200m,https://www.fidal.it/risultati/2024/REG33839/Risultati/Gara203.html
22.03,DI BENEDETTO Matteo,PM,2004.0,MI774 TEAM-A LOMBARDIA,200m,https://www.fidal.it/risultati/2024/REG33839/Risultati/Gara203.html
22.05,TROTTO Alessandro,JM,2006.0,BO007 ASD VIRTUS SEZ. ATL. EMILSIDER,200m,https://www.fidal.it/risultati/2024/REG33761/Risultati/Gara004.html
