Prestazione,Atleta,Cat.,Anno,Società,Disciplina,Gara
7.67,SCHIMMENTI Gaetano,SM,1994,ANXX4 GIOVANE AOS,60m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara001.html
7.73,TIBERIA Gabriele,PM,2004,FRXX3 AICS FROSINONE,60m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara001.html
7.81,ZIRIZZOTTI Gioele,PM,2004,FRXX3 AICS FROSINONE,60m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara001.html
8.22,AGYEMANG Adolf,SM,1997,ANXX4 GIOVANE AOS,60m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara001.html
8.71,GALLO Renato,SM65,1959,PDXX2 VIRTUS ESTE,60m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara001.html
9.07,FRANZ Claudio,SM60,1962,UDXX2 NUOVA ATLETICA DAL FRIULI,60m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara001.html
7.92,POLLINI Claudio,SM35,1989,PVXX2 ASD ATL. PAVESE,60m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara001.html
8.26,GIORGINO Giovanni,SM,1998,UDXX3 LUPIGNANUM TRACK&FIELD,60m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara001.html
8.29,CONTI Marco,SM40,1981,FRXX2 POFISPORTIVA,60m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara001.html
8.57,TAGLIAFERRI Igino,SM50,1972,RMXX2 ASD ATLETICA NEPTUNIA,60m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara001.html
9.65,DOTTO Giorgio,SM70,1953,PDXX2 VIRTUS ESTE,60m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara001.html
10.05,VACONDIO Fabrizio,SM65,1956,REXX2 POLISPORTIVA GUASTALLA AICS,60m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara001.html
12.14,CORSO Claudio,SM45,1978,ATXX2 ASD RAINBOW PLANET,60m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara001.html
7.76,BRUNELLO Giuseppe,SM35,1986,UDXX3 LUPIGNANUM TRACK&FIELD,60m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara001.html
9.14,GALLEANI Gianpaolo,SM65,1959,PVXX2 ASD ATL. PAVESE,60m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara001.html
9.57,RAINERO Alessandro,PM,2004,ATXX2 ASD RAINBOW PLANET,60m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara001.html
10.53,MARCELLA Sergio,SM60,1964,ATXX2 ASD RAINBOW PLANET,60m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara001.html
11.6,MASSA Vittorio,SM50,1973,ATXX2 ASD RAINBOW PLANET,60m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara001.html
11.77,CASTELLI Luciano,SM70,1951,TRXX2 PODISTICA CARSULAE A.S.D.,60m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara001.html
11.60,MASSA Vittorio,SM50,1973,ATXX2 ASD RAINBOW PLANET,60m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara001.html
8.81,CAPPELLA Debora,SF40,1984,RNXX2 SAN MARINO ATHLETICS ACADEMY,60m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara101.html
9.27,VACONDIO Francesca,SF40,1982,REXX2 POLISPORTIVA GUASTALLA AICS,60m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara101.html
9.39,MOLINO Silvia,SF45,1976,ATXX2 ASD RAINBOW PLANET,60m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara101.html
