1000 metri Cadette,1000m
1 Miglio UOMINI (AD INVITO),Miglio
1/STA - Modena - Domenica 28/01/2024,altro
1/STA - Modena - Sabato 27/01/2024,altro
100 Hs H 76-8.50 ALLIEVE (U18),100 Hs h76-8.50
1000 metri ALLIEVI PM,1000m
1000 metri ASSOLUTI UOMINI PM,1000m
1000 metri CADETTE,1000m
1000 metri CADETTE (U16),1000m
1000 metri Cadetti,1000m
1000 metri CADETTI,1000m
1000 metri CADETTI (U16),1000m
1000 metri EPTATHLON,1000m
1000 metri EPTATHLON I/O JM,1000m
1000 metri EPTATHLON I/O JPS M,1000m
1000 metri EPTATHLON JPS UOMINI,1000m
1000 metri JUNIORES UOMINI PM,1000m
1000 metri Master Donne,1000m
1000 metri Master Uomini,1000m
1000 metri PENTATHLON ALLIEVI,1000m
1000 metri PENTATHLON I/O AM,1000m
1000 metri PENTATHLON SM60,1000m
1000 metri RAGAZZE,1000m
1000 metri Ragazze,1000m
1000 metri RAGAZZE (U14),1000m
1000 metri RAGAZZI,1000m
1000 metri Ragazzi,1000m
1000 metri RAGAZZI (U14),1000m
1000 metri SM60 PENTATHLON,1000m
1000 metri SM60+ PENTATHLON,1000m
1000 metri SM65 PENTATHLON,1000m
1000 metri SM75 PENTATHLON,1000m
1000 metri SM80 PENTATHLON,1000m
1000m A M P.M.,1000m
1000m ASSOLUTO MASCHI EPTATHLON,1000m
1000m CADETTE,1000m
1000m Cadette,1000m
1000m CADETTE U16),1000m
1000m CADETTI,1000m
1000m Cadetti,1000m
1000m CADETTI (U16),1000m
1000m EPT. JUNIORES UOMINI,1000m
1000m EPT. UOMINI,1000m
1000m EPTATHLON JUNIOR UOMINI U20,1000m
1000m EPTATHLON PROMESSE UOMINI U23,1000m
1000m EPTATHLON UOMINI,1000m
1000m J M P.M.,1000m
1000m JUN/MASCHI EPTATHLON,1000m
1000m P/S P.M.,1000m
1000m PENT. ALLIEVI,1000m
1000m PENTATHLON ALLIEVI,1000m
1000m Pentathlon Allievi,1000m
1000m PENTATHLON ALLIEVI U18,1000m
1000m PENTATHLON Master UOMINI,1000m
1000m Ragazze,1000m
1000m Ragazzi,1000m
1000m Tetrathlon Cadetti,1000m
1000m UOMINI (AD INVITO),1000m
1500 metri Adulti Donne,1500m
1500 metri Adulti Uomini,1500m
1500 metri Allieve,1500m
1500 metri Allievi,1500m
1500 metri ASSOLUTI DONNE,1500m
1500 metri ASSOLUTI UOMINI,1500m
1500 metri ASSOLUTI UOMINI (ad invito),1500m
1500 metri DONNE,1500m
1500 metri Donne,1500m
1500 metri UOMINI,1500m
1500 metri Uomini,1500m
1500m  BANCARI UOMINI,1500m
1500m  MASTER UOMINI,1500m
1500m  MASTER/BANCARI DONNE,1500m
