Data	Codice	Home	Risultati	Versione Sigma	Status	Ultimo Aggiornamento
2024-01-04/05	REG34144	https://www.fidal.it/risultati/2024/REG34144/Index.htm	https://www.fidal.it/risultati/2024/REG34144/Risultati/IndexRisultatiPerGara.html	Nuovo	ok	2024-02-07
2024-01-04/05	COD11716	https://www.fidal.it/risultati/2024/COD11716/Index.htm	https://www.fidal.it/risultati/2024/COD11716/Risultati/IndexRisultatiPerGara.html	Nuovo	ok	2024-02-07
2024-01-05	COD11701	https://www.fidal.it/risultati/2024/COD11701/Index.htm	https://www.fidal.it/risultati/2024/COD11701/Risultati/IndexRisultatiPerGara.html	Nuovo	ok	2024-02-07
2024-01-06	REG33658	https://www.fidal.it/risultati/2024/REG33658/Index.htm	https://www.fidal.it/risultati/2024/REG33658/Risultati/IndexRisultatiPerGara.html	Nuovo	ok	2024-02-07
2024-01-06	REG34024	https://www.fidal.it/risultati/2024/REG34024/Index.htm	https://www.fidal.it/risultati/2024/REG34024/RESULTSBYEVENT1.htm	Vecchio #2	ok	2024-02-07
2024-01-06	REG33671	https://www.fidal.it/risultati/2024/REG33671/Index.htm	https://www.fidal.it/risultati/2024/REG33671/Risultati/IndexRisultatiPerGara.html	Nuovo	ok	2024-02-07
2024-01-07	REG34025	https://www.fidal.it/risultati/2024/REG34025/Index.htm	https://www.fidal.it/risultati/2024/REG34025/RESULTSBYEVENT1.htm	Vecchio #2	ok	2024-02-07
2024-01-07	REG33673	https://www.fidal.it/risultati/2024/REG33673/Index.htm	https://www.fidal.it/risultati/2024/REG33673/Risultati/IndexRisultatiPerGara.html	Nuovo	ok	2024-02-07
2024-01-07	REG33675	https://www.fidal.it/risultati/2024/REG33675/Index.htm	https://www.fidal.it/risultati/2024/REG33675/Risultati/IndexRisultatiPerGara.html	Nuovo	ok	2024-02-07
2024-01-07	REG33660	https://www.fidal.it/risultati/2024/REG33660/Index.htm	https://www.fidal.it/risultati/2024/REG33660/Risultati/IndexRisultatiPerGara.html	Nuovo	ok	2024-02-07
2024-01-07	REG33674	https://www.fidal.it/risultati/2024/REG33674/Index.htm	https://www.fidal.it/risultati/2024/REG33674/Risultati/IndexRisultatiPerGara.html	Nuovo	ok	2024-02-07
2024-01-07	REG33997				Gara non esistente	2024-02-07
2024-01-07	REG33592	https://www.fidal.it/risultati/2024/REG33592/Index.htm	https://www.fidal.it/risultati/2024/REG33592/Index.htm	Vecchissimo	ok	2024-02-07
2024-01-07	REG33659	https://www.fidal.it/risultati/2024/REG33659/Index.htm	https://www.fidal.it/risultati/2024/REG33659/Risultati/IndexRisultatiPerGara.html	Nuovo	ok	2024-02-07
2024-01-13	REG34028	https://www.fidal.it/risultati/2024/REG34028/Index.htm	https://www.fidal.it/risultati/2024/REG34028/RESULTSBYEVENT1.htm	Vecchio #2	ok	2024-02-07
2024-01-13	REG33760	https://www.fidal.it/risultati/2024/REG33760/Index.htm		Nuovo	Risultati non ancora disponibili	2024-02-07
2024-01-13	REG34053	https://www.fidal.it/risultati/2024/REG34053/Index.htm	https://www.fidal.it/risultati/2024/REG34053/RESULTSBYEVENT1.htm	Vecchio #2	ok	2024-02-07
2024-01-13	REG34127	https://www.fidal.it/risultati/2024/REG34127/Index.htm	https://www.fidal.it/risultati/2024/REG34127/RESULTSBYEVENT1.htm	Vecchio #2	ok	2024-02-07
2024-01-13	REG33868	https://www.fidal.it/risultati/2024/REG33868/Index.htm	https://www.fidal.it/risultati/2024/REG33868/Risultati/IndexRisultatiPerGara.html	Nuovo	ok	2024-02-07
2024-01-13	REG34169	https://www.fidal.it/risultati/2024/REG34169/Index.htm	https://www.fidal.it/risultati/2024/REG34169/RESULTSBYEVENT1.htm	Vecchio #1	ok	2024-02-07
2024-01-13	REG33666	https://www.fidal.it/risultati/2024/REG33666/Index.htm	https://www.fidal.it/risultati/2024/REG33666/Risultati/IndexRisultatiPerGara.html	Nuovo	ok	2024-02-07
2024-01-13	REG33797	https://www.fidal.it/risultati/2024/REG33797/Index.htm	https://www.fidal.it/risultati/2024/REG33797/Risultati/IndexRisultatiPerGara.html	Nuovo	ok	2024-02-07
2024-01-13	REG33676	https://www.fidal.it/risultati/2024/REG33676/Index.htm	https://www.fidal.it/risultati/2024/REG33676/RESULTSBYEVENT1.htm	Vecchio #1	ok	2024-02-07
2024-01-14	REG33752	https://www.fidal.it/risultati/2024/REG33752/Index.htm	https://www.fidal.it/risultati/2024/REG33752/Index.htm	Vecchissimo	ok	2024-02-07
2024-01-14	REG33677	https://www.fidal.it/risultati/2024/REG33677/Index.htm	https://www.fidal.it/risultati/2024/REG33677/RESULTSBYEVENT1.htm	Vecchio #2	ok	2024-02-07
2024-01-14	REG33680	https://www.fidal.it/risultati/2024/REG33680/Index.htm	https://www.fidal.it/risultati/2024/REG33680/Risultati/IndexRisultatiPerGara.html	Nuovo	ok	2024-02-07
2024-01-14	REG33681	https://www.fidal.it/risultati/2024/REG33681/Index.htm	https://www.fidal.it/risultati/2024/REG33681/Risultati/IndexRisultatiPerGara.html	Nuovo	ok	2024-02-07
2024-01-14	REG33668	https://www.fidal.it/risultati/2024/REG33668/Index.htm	https://www.fidal.it/risultati/2024/REG33668/Risultati/IndexRisultatiPerGara.html	Nuovo	ok	2024-02-07
2024-01-13/14	REG33593	https://www.fidal.it/risultati/2024/REG33593/Index.htm	https://www.fidal.it/risultati/2024/REG33593/Index.htm	Vecchissimo	ok	2024-02-07
2024-01-14	REG33858	https://www.fidal.it/risultati/2024/REG33858/Index.htm	https://www.fidal.it/risultati/2024/REG33858/Risultati/IndexRisultatiPerGara.html	Nuovo	ok	2024-02-07
2024-01-14	REG33667	https://www.fidal.it/risultati/2024/REG33667/Index.htm	https://www.fidal.it/risultati/2024/REG33667/Risultati/IndexRisultatiPerGara.html	Nuovo	ok	2024-02-07
2024-01-13/14	REG33839	https://www.fidal.it/risultati/2024/REG33839/Index.htm	https://www.fidal.it/risultati/2024/REG33839/Risultati/IndexRisultatiPerGara.html	Nuovo	ok	2024-02-07
2024-01-14	REG34029	https://www.fidal.it/risultati/2024/REG34029/Index.htm	https://www.fidal.it/risultati/2024/REG34029/RESULTSBYEVENT1.htm	Vecchio #2	ok	2024-02-07
2024-01-14	REG34128	https://www.fidal.it/risultati/2024/REG34128/Index.htm	https://www.fidal.it/risultati/2024/REG34128/RESULTSBYEVENT1.htm	Vecchio #2	ok	2024-02-07
2024-01-14	REG34234	https://www.fidal.it/risultati/2024/REG34234/Index.htm	https://www.fidal.it/risultati/2024/REG34234/Risultati/IndexRisultatiPerGara.html	Nuovo	ok	2024-02-07
2024-01-17	REG33703	https://www.fidal.it/risultati/2024/REG33703/Index.htm	https://www.fidal.it/risultati/2024/REG33703/Risultati/IndexRisultatiPerGara.html	Nuovo	ok	2024-02-07
2024-01-20	REG33595	https://www.fidal.it/risultati/2024/REG33595/Index.htm	https://www.fidal.it/risultati/2024/REG33595/Index.htm	Vecchissimo	ok	2024-02-07
2024-01-20	REG34219	https://www.fidal.it/risultati/2024/REG34219/Index.htm	https://www.fidal.it/risultati/2024/REG34219/Index.htm	Vecchissimo	ok	2024-02-07
2024-01-20	REG33761	https://www.fidal.it/risultati/2024/REG33761/Index.htm	https://www.fidal.it/risultati/2024/REG33761/Risultati/IndexRisultatiPerGara.html	Nuovo	ok	2024-02-07
2024-01-20	REG34032	https://www.fidal.it/risultati/2024/REG34032/Index.htm	https://www.fidal.it/risultati/2024/REG34032/Index.htm	Vecchissimo	ok	2024-02-07
2024-01-20	REG34054	https://www.fidal.it/risultati/2024/REG34054/Index.htm	https://www.fidal.it/risultati/2024/REG34054/RESULTSBYEVENT1.htm	Vecchio #2	ok	2024-02-07
2024-01-20	REG34212	https://www.fidal.it/risultati/2024/REG34212/Index.htm	https://www.fidal.it/risultati/2024/REG34212/RESULTSBYEVENT1.htm	Vecchio #2	ok	2024-02-07
2024-01-20	REG33596	https://www.fidal.it/risultati/2024/REG33596/Index.htm	https://www.fidal.it/risultati/2024/REG33596/Index.htm	Vecchissimo	ok	2024-02-07
2024-01-20	REG33686				Gara non esistente	2024-02-07
2024-01-20	REG34204	https://www.fidal.it/risultati/2024/REG34204/Index.htm	https://www.fidal.it/risultati/2024/REG34204/RESULTSBYEVENT1.htm	Vecchio #2	ok	2024-02-07
