Codice,Versione Sigma,Warning,Disciplina,Nome,Link
REG2893,Vecchissimo,,60m,60 m UOMINI,https://www.fidal.it/risultati/2012/REG2893/Gara001.htm
REG2893,Vecchissimo,,400m,400 m UOMINI,https://www.fidal.it/risultati/2012/REG2893/Gara006.htm
REG2893,Vecchissimo,,1500m,1500 m UOMINI,https://www.fidal.it/risultati/2012/REG2893/Gara011.htm
REG2893,Vecchissimo,,Salto con l'asta,Salto con l'asta/PV UOMINI,https://www.fidal.it/risultati/2012/REG2893/Gara027.htm
REG2893,Vecchissimo,,Salto triplo,Salto triplo/TJ UOMINI,https://www.fidal.it/risultati/2012/REG2893/Gara029.htm
REG2893,Vecchissimo,,60m,60 m DONNE,https://www.fidal.it/risultati/2012/REG2893/Gara101.htm
REG2893,Vecchissimo,,400m,400 m DONNE,https://www.fidal.it/risultati/2012/REG2893/Gara106.htm
REG2893,Vecchissimo,,1500m,1500 m DONNE,https://www.fidal.it/risultati/2012/REG2893/Gara111.htm
REG2893,Vecchissimo,,Salto in alto,Salto in alto/HJ DONNE,https://www.fidal.it/risultati/2012/REG2893/Gara126.htm
REG2893,Vecchissimo,,Salto in lungo,Salto in lungo/LJ DONNE,https://www.fidal.it/risultati/2012/REG2893/Gara128.htm
REG2893,Vecchissimo,,altro,Tutti i risultati in un click,https://www.fidal.it/risultati/2012/REG2893/Risultat.htm
REG2894,Vecchissimo,,prove multiple,TUTTO IL PENTATHLON ALLIEVI,https://www.fidal.it/risultati/2012/REG2894/Gara100.htm
REG2894,Vecchissimo,,prove multiple,TUTTO IL TETRATHLON ALLIEVE,https://www.fidal.it/risultati/2012/REG2894/Gara101.htm
REG2894,Vecchissimo,,prove multiple,TUTTO IL TETRATHLON CADETTI,https://www.fidal.it/risultati/2012/REG2894/Gara102.htm
REG2894,Vecchissimo,,prove multiple,TUTTO IL TETRATHLON CADETTE,https://www.fidal.it/risultati/2012/REG2894/Gara103.htm
REG2894,Vecchissimo,,prove multiple,PENTATHLON ALLIEVI,https://www.fidal.it/risultati/2012/REG2894/Gara941.htm
REG2894,Vecchissimo,,prove multiple,TETRATHLON ALLIEVE,https://www.fidal.it/risultati/2012/REG2894/Gara942.htm
REG2894,Vecchissimo,,prove multiple,TETRATHLON CADETTE,https://www.fidal.it/risultati/2012/REG2894/Gara943.htm
REG2894,Vecchissimo,,prove multiple,TETRATHLON CADETTI,https://www.fidal.it/risultati/2012/REG2894/Gara944.htm
REG2894,Vecchissimo,,altro,Tutti i risultati in un click,https://www.fidal.it/risultati/2012/REG2894/Risultat.htm
REG2895,Vecchissimo,,200m,200 m UOMINI,https://www.fidal.it/risultati/2012/REG2895/Gara004.htm
REG2895,Vecchissimo,,800m,800 m UOMINI,https://www.fidal.it/risultati/2012/REG2895/Gara008.htm
REG2895,Vecchissimo,,60 Hs h91,60 Hs H 91 ALLIEVI,https://www.fidal.it/risultati/2012/REG2895/Gara018.htm
REG2895,Vecchissimo,,60 Hs h100,60 Hs H 100 JUNIORES UOMINI,https://www.fidal.it/risultati/2012/REG2895/Gara019.htm
REG2895,Vecchissimo,,60 Hs h106,60 Hs H 106 UOMINI,https://www.fidal.it/risultati/2012/REG2895/Gara020.htm
REG2895,Vecchissimo,,Salto in alto,Salto in alto/HJ UOMINI,https://www.fidal.it/risultati/2012/REG2895/Gara026.htm
REG2895,Vecchissimo,,Salto in lungo,Salto in lungo/LJ UOMINI,https://www.fidal.it/risultati/2012/REG2895/Gara028.htm
REG2895,Vecchissimo,,200m,200 m DONNE,https://www.fidal.it/risultati/2012/REG2895/Gara104.htm
REG2895,Vecchissimo,,800m,800 m DONNE,https://www.fidal.it/risultati/2012/REG2895/Gara108.htm
REG2895,Vecchissimo,,60 Hs h76,60 Hs H 76 ALLIEVE,https://www.fidal.it/risultati/2012/REG2895/Gara119.htm
