Data	Codice	Home	Risultati	Versione Sigma	Status	Ultimo Aggiornamento
2018-01-06	REG15972	https://www.fidal.it/risultati/2018/REG15972/Index.htm	https://www.fidal.it/risultati/2018/REG15972/RESULTSBYEVENT1.htm	Vecchio #3	ok	2024-02-10
2018-01-07	REG15925	https://www.fidal.it/risultati/2018/REG15925/Index.htm	https://www.fidal.it/risultati/2018/REG15925/Index.htm	Vecchissimo	ok	2024-02-10
2018-01-07	REG15976	https://www.fidal.it/risultati/2018/REG15976/Index.htm	https://www.fidal.it/risultati/2018/REG15976/RESULTSBYEVENT1.htm	Vecchio #3	ok	2024-02-10
2018-01-07	REG15837	https://www.fidal.it/risultati/2018/REG15837/Index.htm	https://www.fidal.it/risultati/2018/REG15837/RESULTSBYEVENT1.htm	Vecchio #3	ok	2024-02-10
2018-01-07	REG16024	https://www.fidal.it/risultati/2018/REG16024/Index.htm	https://www.fidal.it/risultati/2018/REG16024/RESULTSBYEVENT1.htm	Vecchio #2	ok	2024-02-10
2018-01-07	REG16196	https://www.fidal.it/risultati/2018/REG16196/Index.htm	https://www.fidal.it/risultati/2018/REG16196/Index.htm	Vecchissimo	ok	2024-02-10
2018-01-07	REG15975	https://www.fidal.it/risultati/2018/REG15975/Index.htm	https://www.fidal.it/risultati/2018/REG15975/RESULTSBYEVENT1.htm	Vecchio #3	ok	2024-02-10
2018-01-07	REG16176	https://www.fidal.it/risultati/2018/REG16176/Index.htm	https://www.fidal.it/risultati/2018/REG16176/Index.htm	Vecchissimo	ok	2024-02-10
2018-01-13	REG15978	https://www.fidal.it/risultati/2018/REG15978/Index.htm	https://www.fidal.it/risultati/2018/REG15978/RESULTSBYEVENT1.htm	Vecchio #2	ok	2024-02-10
2018-01-13	REG16177	https://www.fidal.it/risultati/2018/REG16177/Index.htm	https://www.fidal.it/risultati/2018/REG16177/Index.htm	Vecchissimo	ok	2024-02-10
2018-01-13	REG15929	https://www.fidal.it/risultati/2018/REG15929/Index.htm	https://www.fidal.it/risultati/2018/REG15929/Index.htm	Vecchissimo	ok	2024-02-10
2018-01-13	REG16132	https://www.fidal.it/risultati/2018/REG16132/Index.htm	https://www.fidal.it/risultati/2018/REG16132/Index.htm	Vecchissimo	ok	2024-02-10
2018-01-13	REG15927	https://www.fidal.it/risultati/2018/REG15927/Index.htm	https://www.fidal.it/risultati/2018/REG15927/Index.htm	Vecchissimo	ok	2024-02-10
2018-01-14	REG16026	https://www.fidal.it/risultati/2018/REG16026/Index.htm	https://www.fidal.it/risultati/2018/REG16026/RESULTSBYEVENT1.htm	Vecchio #3	ok	2024-02-10
2018-01-14	REG15980	https://www.fidal.it/risultati/2018/REG15980/Index.htm	https://www.fidal.it/risultati/2018/REG15980/RESULTSBYEVENT1.htm	Vecchio #2	ok	2024-02-10
2018-01-14	REG15910	https://www.fidal.it/risultati/2018/REG15910/Index.htm	https://www.fidal.it/risultati/2018/REG15910/Index.htm	Vecchissimo	ok	2024-02-10
2018-01-14	REG15903	https://www.fidal.it/risultati/2018/REG15903/Index.htm	https://www.fidal.it/risultati/2018/REG15903/Index.htm	Vecchissimo	ok	2024-02-10
2018-01-14	REG15867	https://www.fidal.it/risultati/2018/REG15867/Index.htm	https://www.fidal.it/risultati/2018/REG15867/RESULTSBYEVENT1.htm	Vecchio #3	ok	2024-02-10
2018-01-14	REG16136	https://www.fidal.it/risultati/2018/REG16136/Index.htm	https://www.fidal.it/risultati/2018/REG16136/Index.htm	Vecchissimo	ok	2024-02-10
2018-01-14	REG15931	https://www.fidal.it/risultati/2018/REG15931/Index.htm	https://www.fidal.it/risultati/2018/REG15931/Index.htm	Vecchissimo	ok	2024-02-10
2018-01-14	REG15930	https://www.fidal.it/risultati/2018/REG15930/Index.htm	https://www.fidal.it/risultati/2018/REG15930/Index.htm	Vecchissimo	ok	2024-02-10
2018-01-14	REG15979	https://www.fidal.it/risultati/2018/REG15979/Index.htm	https://www.fidal.it/risultati/2018/REG15979/RESULTSBYEVENT1.htm	Vecchio #3	ok	2024-02-10
2018-01-14	REG16133				Gara non esistente	2024-02-10
2018-01-14	COD6675	https://www.fidal.it/risultati/2018/COD6675/Index.htm	https://www.fidal.it/risultati/2018/COD6675/Index.htm	Vecchissimo	ok	2024-02-10
