Codice,Versione Sigma,Disciplina,Nome,Link
REG24625,Vecchio,,Alto  DONNE,https://www.fidal.it/risultati/2021/REG24625/Gara126.htm
REG24625,Vecchio,,Asta  UOMINI - 1 Gruppo,https://www.fidal.it/risultati/2021/REG24625/Gara226.htm
REG24625,Vecchio,,Asta  UOMINI - 2 Gruppo,https://www.fidal.it/risultati/2021/REG24625/Gara227.htm
REG24625,Vecchio,,Lungo  UOMINI,https://www.fidal.it/risultati/2021/REG24625/Gara228.htm
REG24642,Vecchio,,60 piani ASSOLUTI FEMMINILE - 1^ Prova,https://www.fidal.it/risultati/2021/REG24642/Gara001.htm
REG24642,Vecchio,,60 piani ASSOLUTI FEMMINILE - 2^ Prova,https://www.fidal.it/risultati/2021/REG24642/Gara002.htm
REG24642,Vecchio,,60 piani ASSOLUTI MASCHILE - 1^ Prova,https://www.fidal.it/risultati/2021/REG24642/Gara101.htm
REG24642,Vecchio,,60 piani ASSOLUTI MASCHILE - 2^ Prova,https://www.fidal.it/risultati/2021/REG24642/Gara102.htm
REG24595,Vecchio,,800m UOMINI,https://www.fidal.it/risultati/2021/REG24595/Gara008.htm
REG24595,Vecchio,,60 Hs H 106 UOMINI,https://www.fidal.it/risultati/2021/REG24595/Gara020.htm
REG24595,Vecchio,,60 Hs H 100 JUNIORES M,https://www.fidal.it/risultati/2021/REG24595/Gara021.htm
REG24595,Vecchio,,60 Hs H 91-9.14 ALLIEVI,https://www.fidal.it/risultati/2021/REG24595/Gara022.htm
REG24595,Vecchio,,800m DONNE,https://www.fidal.it/risultati/2021/REG24595/Gara108.htm
REG24595,Vecchio,,60 Hs H 84-8.50 DONNE,https://www.fidal.it/risultati/2021/REG24595/Gara120.htm
REG24595,Vecchio,,60 Hs H 76-8.50 ALLIEVE,https://www.fidal.it/risultati/2021/REG24595/Gara121.htm
REG24595,Vecchio,,800m UOMINI,https://www.fidal.it/risultati/2021/REG24595/Gara008.htm
REG24595,Vecchio,,60 Hs H 106 UOMINI,https://www.fidal.it/risultati/2021/REG24595/Gara020.htm
REG24595,Vecchio,,60 Hs H 100 JUNIORES M,https://www.fidal.it/risultati/2021/REG24595/Gara021.htm
REG24595,Vecchio,,60 Hs H 91-9.14 ALLIEVI,https://www.fidal.it/risultati/2021/REG24595/Gara022.htm
REG24595,Vecchio,,800m DONNE,https://www.fidal.it/risultati/2021/REG24595/Gara108.htm
REG24595,Vecchio,,60 Hs H 84-8.50 DONNE,https://www.fidal.it/risultati/2021/REG24595/Gara120.htm
REG24595,Vecchio,,60 Hs H 76-8.50 ALLIEVE,https://www.fidal.it/risultati/2021/REG24595/Gara121.htm
REG24644,Vecchio,,60 Hs H 76-8.50 Allieve - 2^ Prova,https://www.fidal.it/risultati/2021/REG24644/Gara001.htm
REG24644,Vecchio,,60 Hs H 84-8.50 Donne - 2^ Prova,https://www.fidal.it/risultati/2021/REG24644/Gara002.htm
REG24644,Vecchio,,60 Hs H 76-8.50 Allieve - 1^ Prova,https://www.fidal.it/risultati/2021/REG24644/Gara019.htm
REG24644,Vecchio,,60 Hs H 84-8.50 Donne - 1^ Prova,https://www.fidal.it/risultati/2021/REG24644/Gara020.htm
