Codice,Versione Sigma,Disciplina,Nome,Link
REG26901,Nuovo,altro,200 metri UOMINI,https://www.fidal.it/risultati/2022/REG26901/Risultati/Gara004.html
REG26901,Nuovo,altro,1500 metri UOMINI,https://www.fidal.it/risultati/2022/REG26901/Risultati/Gara011.html
REG26901,Nuovo,altro,200 metri DONNE,https://www.fidal.it/risultati/2022/REG26901/Risultati/Gara104.html
REG26901,Nuovo,altro,1500 metri DONNE,https://www.fidal.it/risultati/2022/REG26901/Risultati/Gara111.html
REG26901,Nuovo,altro,Salto con l'asta/PV UOMINI,https://www.fidal.it/risultati/2022/REG26901/Risultati/Gara027.html
REG26901,Nuovo,altro,Salto triplo/TJ DONNE,https://www.fidal.it/risultati/2022/REG26901/Risultati/Gara129.html
REG30323,Nuovo,altro,60 metri Ragazzi,https://www.fidal.it/risultati/2022/REG30323/Risultati/Gara001.html
REG30323,Nuovo,altro,60 metri Ragazze,https://www.fidal.it/risultati/2022/REG30323/Risultati/Gara101.html
REG30323,Nuovo,altro,60 Hs H60 Ragazze,https://www.fidal.it/risultati/2022/REG30323/Risultati/Gara120.html
REG30323,Nuovo,altro,60 metri Cadetti,https://www.fidal.it/risultati/2022/REG30323/Risultati/Gara201.html
REG30323,Nuovo,altro,60 Hs H76 Cadette,https://www.fidal.it/risultati/2022/REG30323/Risultati/Gara320.html
REG30323,Nuovo,altro,Salto in lungo Ragazzi,https://www.fidal.it/risultati/2022/REG30323/Risultati/Gara028.html
REG30323,Nuovo,altro,Salto con l'asta Cadetti,https://www.fidal.it/risultati/2022/REG30323/Risultati/Gara227.html
REG30323,Nuovo,altro,Salto con l'asta Cadette,https://www.fidal.it/risultati/2022/REG30323/Risultati/Gara327.html
REG30323,Nuovo,altro,Salto in lungo Cadette,https://www.fidal.it/risultati/2022/REG30323/Risultati/Gara328.html
COD10310,Nuovo,altro,Asta Donne Gr. 1,https://www.fidal.it/risultati/2022/COD10310/Risultati/Gara027.html
COD10310,Nuovo,altro,Asta Uomini Gr. 1,https://www.fidal.it/risultati/2022/COD10310/Risultati/Gara127.html
COD10310,Nuovo,altro,Asta Donne Gr. 2,https://www.fidal.it/risultati/2022/COD10310/Risultati/Gara227.html
COD10310,Nuovo,altro,Asta Uomini Gr. 2,https://www.fidal.it/risultati/2022/COD10310/Risultati/Gara327.html
COD10310,Nuovo,altro,Asta Donne TOP 6,https://www.fidal.it/risultati/2022/COD10310/Risultati/Gara427.html
COD10310,Nuovo,altro,Asta Uomini TOP 6,https://www.fidal.it/risultati/2022/COD10310/Risultati/Gara527.html
REG26991,Vecchio,altro,Salto triplo/TJ Donne,https://www.fidal.it/risultati/2022/REG26991/Gara029.htm
