Prestazione,Atleta,Cat.,Anno,Società,Disciplina,Gara
7.79,TOGNI Matteo,JM,2006.0,BG795 BERGAMO STARS ATLETICA,60Hs H106,https://www.fidal.it/risultati/2024/COD11603/Risultati/Gara020.html
7.84,GIACALONE Nicolo',SM,1997.0,VE471 ASD ATLETICA BIOTEKNA,60Hs H106,https://www.fidal.it/risultati/2024/COD11603/Risultati/Gara020.html
7.85,NAIDON Lorenzo,SM,1999.0,RM056 G.A. FIAMME GIALLE,60Hs H106,https://www.fidal.it/risultati/2024/COD11603/Risultati/Gara020.html
7.86,TRGOVCEVIC Luca,SM,1992.0,SRB SERBIA,60Hs H106,https://www.fidal.it/risultati/2024/REG33666/Risultati/Gara020.html
7.88,FILPI Giuseppe,SM,2001.0,BA754 G.S. AVIS BARLETTA A.S.D.,60Hs H106,https://www.fidal.it/risultati/2024/COD11603/Risultati/Gara020.html
7.91,DENTATO Damiano,PM,2004.0,RI223 ATL.STUD. RIETI ANDREA MILARDI,60Hs H106,https://www.fidal.it/risultati/2024/COD11603/Risultati/Gara020.html
7.94,DESTER Dario,SM,2000.0,BO011 C.S. CARABINIERI SEZ. ATLETICA,60Hs H106,https://www.fidal.it/risultati/2024/COD11603/Risultati/Gara020.html
7.97,GHEDINA Vittorio,PM,2004.0,MI770 ATLETICA MENEGHINA,60Hs H106,https://www.fidal.it/risultati/2024/REG33666/Risultati/Gara020.html
8.06,FERRANTE Francesco,SM,1996.0,FI002 ATLETICA FIRENZE MARATHON S.S.,60Hs H106,https://www.fidal.it/risultati/2024/REG33817/Risultati/Gara020.html
8.07,MULAS Oliver,PM,2004.0,IM029 ASD MAURINA OLIO CARLI,60Hs H106,https://www.fidal.it/risultati/2024/REG33596/Gara420.htm
8.09,DI PANFILO Mattia,SM,1999.0,RM363 SSD NISSOLINO SPORT SRL ASU,60Hs H106,https://www.fidal.it/risultati/2024/REG33817/Risultati/Gara020.html
8.1,SANTAHUHTA Pyry(I),SM,1999.0,ZZ002 FINLANDIA,60Hs H106,https://www.fidal.it/risultati/2024/REG33700/Risultati/Gara202.html
8.1,DEL TORRE Riccardo,SM,1997.0,PN039 ATL BRUGNERA PN FRIULINTAGLI,60Hs H106,https://www.fidal.it/risultati/2024/REG33817/Risultati/Gara020.html
8.15,CAIANI Andrea,PM,2003.0,MI774 TEAM-A LOMBARDIA,60Hs H106,https://www.fidal.it/risultati/2024/REG33674/Risultati/Gara202.html
8.16,BENUZZI Enrico,PM,2002.0,BO506 A.S.D. PONTEVECCHIO BOLOGNA,60Hs H106,https://www.fidal.it/risultati/2024/COD11603/Risultati/Gara020.html
8.17,ROSSI Ernesto,PM,2004.0,TR024 ASS.ATL.LIBERTAS ORVIETO,60Hs H106,https://www.fidal.it/risultati/2024/COD11603/Risultati/Gara020.html
8.18,PIAZZALUNGA Federico,SM,2000.0,BG003 ATL. BERGAMO 1959 ORIOCENTER,60Hs H106,https://www.fidal.it/risultati/2024/REG33688/Gara120.htm
8.2,BRESOLIN Manuel,PM,2004.0,TV354 TREVISATLETICA,60Hs H106,https://www.fidal.it/risultati/2024/REG33596/Gara420.htm
8.26,CARUGATI Alessandro,PM,2004.0,VA119 ATL. O.S.A. SARONNO LIB.,60Hs H106,https://www.fidal.it/risultati/2024/REG33700/Risultati/Gara202.html
8.26,COREN Simone,PM,2003.0,UD030 ATLETICA MALIGNANI LIBERTAS UD,60Hs H106,https://www.fidal.it/risultati/2024/REG33871/Risultati/Gara420.html
8.28,MARCONI Francesco,SM,1995.0,TV354 TREVISATLETICA,60Hs H106,https://www.fidal.it/risultati/2024/REG33841/Risultati/Gara222.html
8.28,CECCHET Nicolas,PM,2003.0,BL009 ATHLETIC CLUB FIREX BELLUNO,60Hs H106,https://www.fidal.it/risultati/2024/REG33841/Risultati/Gara222.html
