Nome,Evento Generale,Warning Generale,Evento Specifico,Warning Specifico,Evento Specifico Vecchio
60 piani  DONNE,corsa piana,,60m,,60m
3000 metri  DONNE,corsa piana,,3000m,,3000m
60 Hs H 76  ALLIEVE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.50
60 Hs H 84  DONNE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
60 piani  UOMINI,corsa piana,,60m,,60m
3000 metri  UOMINI,corsa piana,,3000m,,3000m
60 Hs H 91  ALLIEVI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h91-9.14
60 Hs H 100  JUNIOR UOMINI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h100-9.14
60 Hs H 106  UOMINI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h106-9.14
60 piani UOMINI,corsa piana,,60m,,60m
400 metri UOMINI,corsa piana,,400m,,400m
1000 metri UOMINI,corsa piana,,1000m,,1000m
60 piani DONNE,corsa piana,,60m,,60m
400 metri DONNE,corsa piana,,400m,,400m
1000 metri DONNE,corsa piana,,1000m,,1000m
60 Hs H 91-9.14 PENTATHLON INDOOR AM,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h91-9.14
1000 metri PENTATHLON INDOOR AM,corsa piana,,1000m,,1000m
Salto in lungo/LJ UOMINI,lungo,,Salto in lungo,,Salto in lungo
Salto triplo/TJ DONNE,alto,,Salto in alto,,Salto triplo
Salto in lungo/LJ PENTATHLON INDOOR AM,lungo,,Salto in lungo,,Salto in lungo
Salto in alto/HJ PENTATHLON INDOOR AM,alto,,Salto in alto,,Salto in alto
60 piani CADETTI,corsa piana,,60m,,60m
600 metri CADETTI,corsa piana,,600m,,600m
60 piani CADETTE,corsa piana,,60m,,60m
600 metri CADETTE,corsa piana,,600m,,600m
60 piani RAGAZZI,corsa piana,,60m,,60m
60 piani RAGAZZE,corsa piana,,60m,,60m
600 metri RAGAZZE,corsa piana,,600m,,600m
Salto triplo/TJ CADETTI,alto,,Salto in alto,,Salto triplo
Salto triplo/TJ CADETTE,alto,,Salto in alto,,Salto triplo
Salto in lungo/LJ RAGAZZI,lungo,,Salto in lungo,,Salto in lungo
Salto in lungo/LJ RAGAZZE,lungo,,Salto in lungo,,Salto in lungo
200 metri UOMINI,corsa piana,,200m,,200m
800 metri UOMINI,corsa piana,,800m,,800m
60 Hs H 106 UOMINI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h106-9.14
60 Hs H 100 JUNIORES UOMINI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h100-9.14
60 Hs H 91-9.14 ALLIEVI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h91-9.14
200 metri DONNE,corsa piana,,200m,,200m
800 metri DONNE,corsa piana,,800m,,800m
60 piani EPTATHLON UOMINI,corsa piana,,60m,,60m
60 Hs H 106 EPTATHLON UOMINI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h106-9.14
1000 metri EPTATHLON UOMINI,corsa piana,,1000m,,1000m
60 piani EPTATHLON JUNIORES UOMINI,corsa piana,,60m,,60m
60 Hs H 100 EPTATHLON JUNIORES UOMINI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h100-9.14
1000 metri EPTATHLON JUNIORES UOMINI,corsa piana,,1000m,,1000m
60 Hs H 84-8.50 PENTATHLON DONNE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
800 metri PENTATHLON DONNE,corsa piana,,800m,,800m
60 Hs H 76-8.50 PENTATHLON ALLIEVE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.50
400 metri PENTATHLON ALLIEVE,corsa piana,,400m,,400m
Salto in alto/HJ UOMINI,alto,,Salto in alto,,Salto in alto
Salto triplo/TJ UOMINI,alto,,Salto in alto,,Salto triplo
Salto in alto/HJ DONNE,alto,,Salto in alto,,Salto in alto
Salto in lungo/LJ DONNE,lungo,,Salto in lungo,,Salto in lungo
Salto in lungo/LJ EPTATHLON UOMINI,lungo,,Salto in lungo,,Salto in lungo
Salto in alto/HJ EPTATHLON UOMINI,alto,,Salto in alto,,Salto in alto
Salto con l'asta/PV EPTATHLON UOMINI,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo/LJ EPTATHLON JUNIORES M,lungo,,Salto in lungo,,Salto in lungo
Salto in alto/HJ EPTATHLON JUNIORES JM,alto,,Salto in alto,,Salto in alto
Salto con l'asta/PV EPTATHLON JUNIORES M,asta,,Salto con l'asta,,Salto con l’asta
Salto in alto/HJ PENTATHLON DONNE,alto,,Salto in alto,,Salto in alto
Salto in lungo/LJ PENTATHLON DONNE,lungo,,Salto in lungo,,Salto in lungo
Salto in alto/HJ PENTATHLON ALLIEVE,alto,,Salto in alto,,Salto in alto
Salto in lungo/LJ PENTATHLON ALLIEVE,lungo,,Salto in lungo,,Salto in lungo
60 Hs H 84-8.50 DONNE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
60 Hs H 76-8.50 ALLIEVE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.50
Salto con l'asta/PV UOMINI,asta,,Salto con l'asta,,Salto con l’asta
1500 metri UOMINI,corsa piana,,1500m,,1500m
1500 metri DONNE,corsa piana,,1500m,,1500m
60 piani EPTATHLON JUNIOR UOMINI,corsa piana,,60m,,60m
60 Hs H 100 EPTATHLON JUNIOR UOMINI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h100-9.14
1000 metri EPTATHLON JUNIOR UOMINI,corsa piana,,1000m,,1000m
60 Hs H 84 PENTATHLON DONNE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
60 Hs H 76 PENTATHLON ALLIEVE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.50
60 Hs H 91 PENTATHLON ALLIEVI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h91-9.14
1000 metri PENTATHLON ALLIEVI,corsa piana,,1000m,,1000m
Salto in lungo EPTATHLON UOMINI,lungo,,Salto in lungo,,Salto in lungo
Salto in alto EPTATHLON UOMINI,alto,,Salto in alto,,Salto in alto
Salto con l'asta EPTATHLON UOMINI,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo EPTATHLON JUNIOR UOMINI,lungo,,Salto in lungo,,Salto in lungo
Salto in alto EPTATHLON JUNIOR UOMINI,alto,,Salto in alto,,Salto in alto
Salto con l'asta EPTATHLON JUNIOR UOMINI,asta,,Salto con l'asta,,Salto con l’asta
Salto in alto PENTATHLON DONNE,alto,,Salto in alto,,Salto in alto
Salto in lungo PENTATHLON DONNE,lungo,,Salto in lungo,,Salto in lungo
Salto in alto PENTATHLON ALLIEVE,alto,,Salto in alto,,Salto in alto
Salto in lungo PENTATHLON ALLIEVE,lungo,,Salto in lungo,,Salto in lungo
Salto in lungo PENTATHLON ALLIEVI,lungo,,Salto in lungo,,Salto in lungo
Salto in alto PENTATHLON ALLIEVI,alto,,Salto in alto,,Salto in alto
Salto in alto DONNE,alto,,Salto in alto,,Salto in alto
Salto in lungo DONNE,lungo,,Salto in lungo,,Salto in lungo
Salto triplo DONNE,alto,,Salto in alto,,Salto triplo
Salto in alto UOMINI,alto,,Salto in alto,,Salto in alto
Salto con l'asta UOMINI - Gruppo 2,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo UOMINI,lungo,,Salto in lungo,,Salto in lungo
Salto triplo UOMINI,alto,,Salto in alto,,Salto triplo
Salto con l'asta UOMINI - Gruppo 1,asta,,Salto con l'asta,,Salto con l’asta
400 metri PENTATHLON AF,corsa piana,,400m,,400m
60 Hs H 76-8.50 PENTATHLON AF,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.50
1000 metri PENTATHLON AM,corsa piana,,1000m,,1000m
60 Hs H 91-9.14 PENTATHLON AM,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h91-9.14
800 metri PENTATHLON JPS F.,corsa piana,,800m,,800m
60 Hs H 84-8.50 PENTATHLON JPS F.,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
60 piani EPTATHLON JM,corsa piana,,60m,,60m
1000 metri EPTATHLON JM,corsa piana,,1000m,,1000m
60 Hs H 100 EPTATHLON JM,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h100-9.14
60 piani EPTATHLOM P/S M.,corsa piana,,60m,,60m
1000 metri EPTATHLON PS M.,corsa piana,,1000m,,1000m
60 Hs H 106 EPTATHLON PS M.,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h106-9.14
50 metri A/J/P/S MASCHILI,corsa piana,,50m,,50m
50 Hs H91 ALLIEVI,ostacoli,,50 Hs,non conosco l'altezza,60 Hs h91-9.14
50 Hs H100 JM,ostacoli,,50 Hs,non conosco l'altezza,50 Hs h100-9.14
50 metri A/J/P/S FEMMINILI,corsa piana,,50m,,50m
50 Hs H76 ALLIEVE,ostacoli,,50 Hs,non conosco l'altezza,50 Hs h76-8.50
50 Hs H84 J/P/S FEMMINILI,ostacoli,,50 Hs,non conosco l'altezza,40 Hs h84-8.50
50 Hs H106 P/S MASCHILI,ostacoli,,50 Hs,non conosco l'altezza,50 Hs h106-9.14
Salto in alto/HJ PENTATHLON AF,alto,,Salto in alto,,Salto in alto
