Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
19.00,,LEGNANTE Assunta,78,CAMELOT,1 su- 1,Padova,03/02/2007
18.92,,LEGNANTE Assunta,78,CAMELOT,1 fi- 1,Birmingham,04/03/2007
18.65,,LEGNANTE Assunta,78,CAMELOT,1 su- 1,Ancona,17/02/2007
18.28,,ROSA Chiara,83,G.S. FIAMME AZZURRE,2 su- 1,Ancona,17/02/2007
18.20,,ROSA Chiara,83,G.S. FIAMME AZZURRE,2 su- 1,Padova,03/02/2007
18.20,,LEGNANTE Assunta,78,CAMELOT,2 qu- 1,Birmingham,03/03/2007
16.93,,CHECCHI Cristiana,77,G.S. FORESTALE,3 su- 1,Ancona,17/02/2007
16.54,,ROSA Chiara,83,G.S. FIAMME AZZURRE,10 qu- 1,Birmingham,03/03/2007
15.05,,CRNIGOJ Mojca,80,JAKY-TECH APUANA,1 fi- 1,Aosta,24/02/2007
14.20,,CARINI Elena,87,C.S. ESERCITO,1 su- 1,Genova,25/02/2007
14.18,,CARINI Elena,87,C.S. ESERCITO,1 se- 1,Ancona,03/02/2007
13.98,,DORELLI Damiana,80,ATLETICA ASI VENETO,3 su- 1,Padova,03/02/2007
13.95,,CARINI Elena,87,C.S. ESERCITO,4 su- 1,Ancona,17/02/2007
13.64,,DORELLI Damiana,80,ATLETICA ASI VENETO,5 su- 1,Ancona,17/02/2007
13.33,,TREVISAN Elisa,80,G.S. FIAMME AZZURRE,1 se- 1,Padova,20/01/2007
13.27,,BRENA Serena,88,ATL. BERGAMO 1959 CREBERG,5 su- 1,Vittel,04/03/2007
13.18,,STRUMILLO Stefania,89,C.U.S. BOLOGNA,1 su- 1,Genova,25/02/2007
13.15,,SEVERIN Flavia,87,C.U.S. PARMA,2 se- 1,Padova,20/01/2007
13.00,,NARCISI Aurora,89,COLLECTION ATLETICA SAMBENEDET,6 su- 1,Ancona,17/02/2007
12.99,,SEVERIN Flavia,87,C.U.S. PARMA,7 su- 1,Ancona,17/02/2007
12.97,,BRENA Serena,88,ATL. BERGAMO 1959 CREBERG,2 su- 1,Genova,25/02/2007
12.91,,BRENA Serena,88,ATL. BERGAMO 1959 CREBERG,4 su- 1,Padova,03/02/2007
12.87,,BERNARDI Giulia,89,NUOVA ATLETICA ASTRO,3 su- 1,Genova,25/02/2007
12.60,,STRUMILLO Stefania,89,C.U.S. BOLOGNA,6 su- 1,Vittel,04/03/2007
12.55,,BALDACCHINO Martina,91,CENTRO ATLETICA PIOMBINO,1 su- 1,Goteborg,09/12/2007
12.50,,STRUMILLO Stefania,89,C.U.S. BOLOGNA,1 se- 1,Ancona,11/02/2007
12.49,,NARCISI Aurora,89,COLLECTION ATLETICA SAMBENEDET,2 se- 1,Ancona,03/02/2007
12.48,,CAPPONCELLI Serena,89,ATLETICA NEW STAR,2 su- 1,Ancona,28/01/2007
12.43,,BERNARDI Giulia,89,NUOVA ATLETICA ASTRO,8 su- 1,Ancona,17/02/2007
12.38,,BERNARDI Giulia,89,NUOVA ATLETICA ASTRO,2 su- 1,Genova Palasport,10/02/2007
12.38,,NICOLETTI Julaika,88,GOLDEN CLUB RIMINI INTERNAT.,4 su- 1,Genova,25/02/2007
12.36,,NGO AG Odile,90,GRUPPO SPORTIVO VIRTUS,1 fi- 1,Napoli,21/01/2007
12.35,,NARCISI Aurora,89,COLLECTION ATLETICA SAMBENEDET,2 se- 1,Ancona,11/02/2007
12.33,,STRUMILLO Stefania,89,C.U.S. BOLOGNA,9 su- 1,Ancona,17/02/2007
12.21,,NICOLETTI Julaika,88,GOLDEN CLUB RIMINI INTERNAT.,1 se- 1,Ancona,14/02/2007
12.19,,NARCISI Aurora,89,COLLECTION ATLETICA SAMBENEDET,5 su- 1,Genova,25/02/2007
12.04,,NICOLETTI Julaika,88,GOLDEN CLUB RIMINI INTERNAT.,3 se- 1,Ancona,03/02/2007
12.03,,NGO AG Odile,90,GRUPPO SPORTIVO VIRTUS,1 su- 1,Genova,24/02/2007
11.97,,BRENA Serena,88,ATL. BERGAMO 1959 CREBERG,3 su- 1,Genova Palasport,10/02/2007
11.90,,LODIGIANI Gloria,88,CAMELOT,4 su- 1,Genova Palasport,10/02/2007
11.88,,LODIGIANI Gloria,88,CAMELOT,6 su- 1,Genova,25/02/2007
11.84,,BRENA Serena,88,ATL. BERGAMO 1959 CREBERG,10 su- 1,Ancona,17/02/2007
11.83,,MARTIN Elisa,86,FONDAZIONE M. BENTEGODI,3 se- 1,Padova,20/01/2007
11.81,,DOVERI Francesca,82,C.S. ESERCITO,3 su- 1,Ancona,28/01/2007
11.81,,BALDACCHINO Martina,91,CENTRO ATLETICA PIOMBINO,2 su- 1,Genova,24/02/2007
11.70,,BOLDRINI Simona,86,CAMELOT,2 su- 1,Genova,25/02/2007
11.65,,BOVO Katia,87,ATL. INSIEME NEW FOODS VR,3 su- 1,Genova,25/02/2007
11.57,,CESTONARO Mariavittoria,90,ATL.VICENTINA,3 su- 1,Genova,24/02/2007
11.56,,BALDACCHINO Martina,91,CENTRO ATLETICA PIOMBINO,3 su- 1,Stange,10/02/2007
11.51,,TANI Sara,83,TOSCANA ATL.EMPOLI,4 su- 1,Ancona,28/01/2007
11.48,,BETTINI Elisa,82,G.S. FIAMME AZZURRE,1 se- 1,Ancona,14/01/2007
11.43,,NGO AG Odile,90,GRUPPO SPORTIVO VIRTUS,1 su- 1,Ancona,28/01/2007
11.42,,ELMI Antonietta,88,JAKY-TECH ALTERATLETICA,7 su- 1,Genova,25/02/2007
11.35,,KA Adji ndiende ndiaye,91,RICCIONE SESSANTADUE,4 su- 1,Genova,24/02/2007
11.32,,BETTINI Elisa,82,G.S. FIAMME AZZURRE,5 su- 1,Ancona,28/01/2007
11.26,,CUPERLO Monica,88,C.U.S. TRIESTE,6 su- 1,Ancona,28/01/2007
11.25,,RASPA Valentina,89,ATLETICA FIRENZE MARATHON S.S.,1 su- 1,Firenze,12/02/2007
11.24,,IERACI Dora,78,ILPRA ATL.VIGEVANO PARCO ACQU.,5 su- 1,Genova Palasport,10/02/2007
11.24,,RICCI Eleonora,90,ARU  TERNI AHMED COSTRUZIONI,5 su- 1,Genova,24/02/2007
11.21,,ZOCCHI Beatrice,91,ALTO LAZIO A.S.D.,1 su- 1,Rieti,28/01/2007
11.20,,CESTONARO Mariavittoria,90,ATL.VICENTINA,1 su- 1,Padova,20/01/2007
11.11,,CESTONARO Mariavittoria,90,ATL.VICENTINA,1 su- 1,Padova,17/02/2007
11.04,,RICALI Cecilia,85,G.S. FIAMME AZZURRE,7 su- 1,Ancona,28/01/2007
11.04,,RASPA Valentina,89,ATLETICA FIRENZE MARATHON S.S.,1 su- 1,Firenze,01/02/2007
10.99,,CURTI Giorgia,83,C.U.S. PARMA,4 se- 1,Padova,20/01/2007
10.92,,CAMPINOTI Jaya,88,TOSCANA ATL.EMPOLI,2 su- 1,Firenze,12/02/2007
10.82,,BOLDRINI Simona,86,CAMELOT,1 se- 1,Ancona,04/02/2007
10.82,,JULITA Ambra,88,ATLETICA FIRENZE MARATHON S.S.,8 su- 1,Genova,25/02/2007
10.81,,DIMO Roberta,91,JAKY-TECH ALTERATLETICA,6 su- 1,Genova,24/02/2007
10.75,,BEVILACQUA Antonella,66,EDERA ATL. FORLI,2 su- 1,Ancona,03/03/2007
10.71,,PICCOLO Maria luisa,80,S.S.D. CENTRO ESTER NAPOLI ARL,1 fi- 1,Napoli,07/01/2007
10.66,,GIRELLI Nicole,89,ATL. INSIEME NEW FOODS VR,9 su- 1,Genova,25/02/2007
10.64,,BOVO Katia,87,ATL. INSIEME NEW FOODS VR,5 se- 1,Padova,20/01/2007
10.57,,CAPODANNO Adriana,89,ASD CSU IDEATLETICA AURORA F,1 qu- 1,Napoli,21/01/2007
10.54,,SCOLI Aurora,88,ATLETICA LIVORNO,1 su- 1,Firenze,06/02/2007
10.50,,MONTESEL Daniela,89,ATLETICA GHERDEINA RAIFFEISEN,10 su- 1,Genova,25/02/2007
10.49,,PAGANELLI Cristina,80,FONDIARIA - SAI ATLETICA,1 su- 1,Rieti,28/01/2007
10.43,,CESTONARO Mariavittoria,90,ATL.VICENTINA,1 su- 1,Padova,16/12/2007
10.41,,MONTESEL Daniela,89,ATLETICA GHERDEINA RAIFFEISEN,2 su- 1,Innsbruck,14/01/2007
10.30,,RICALI Cecilia,85,G.S. FIAMME AZZURRE,2 se- 1,Ancona,14/01/2007
10.26,,STERPETTI Angela,88,ATL. STUDENTESCA CA.RI.RI,11 su- 1,Genova,25/02/2007
10.25,,MORRA Federica,88,ASD CSU IDEATLETICA AURORA F,3 qu- 1,Napoli,21/01/2007
10.24,,SICA Michela,83,ATL. BRESCIA 1950,6 se- 1,Padova,20/01/2007
10.23,,APOSTOLICO Tamara,89,FONDIARIA - SAI ATLETICA,12 su- 1,Genova,25/02/2007
10.20,,DIMO Roberta,91,JAKY-TECH ALTERATLETICA,1 fi- 1,Napoli,04/02/2007
10.17,,HOLZER Astrid,83,ASV  STERZING VB LATELLA NB,5 qu- 1,Innsbruck,14/01/2007
