Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
4:08.00,,CAVALLI Ludovica,00,C.S. AERONAUTICA MILITARE,1 su- 1,Ancona,18/02/2023
4:08.20,,VISSA Sintayehu,96,ATL BRUGNERA PN FRIULINTAGLI,2 su- 1,Ancona,18/02/2023
4:08.54,,VISSA Sintayehu,96,ATL BRUGNERA PN FRIULINTAGLI,4 ba- 1,Istanbul,03/03/2023
4:08.87,,DEL BUONO Federica,94,G.S. FORESTALE,1 su- 1,Ancona,07/02/2015
4:09.19,,CAVALLI Ludovica,00,C.S. AERONAUTICA MILITARE,1 su- 1,Padova,29/01/2023
4:09.27,,MAGNANI Margherita,87,G.A. FIAMME GIALLE,4 se- 1,Karlsruhe,01/02/2014
4:09.80,,CAVALLI Ludovica,00,C.S. AERONAUTICA MILITARE,1 su- 1,Miramas,03/02/2023
4:09.98,,BELLO' Elena,97,G.S. FIAMME AZZURRE,4 su- 1,Ostrava,02/02/2023
4:10.05,,VISSA Sintayehu,96,ATL BRUGNERA PN FRIULINTAGLI,9 fi- 1,Istanbul,04/03/2023
4:10.10,,MAGNANI Margherita,87,G.A. FIAMME GIALLE,3 se- 1,Dusseldorf,30/01/2014
4:10.25,,SABBATINI Gaia,99,G.S. FIAMME AZZURRE,4 su- 1,Madrid,02/03/2022
4:11.22,,DEL BUONO Federica,94,C.S. CARABINIERI SEZ. ATLETICA,1 se- 2,Padova,11/02/2023
4:11.61,,DEL BUONO Federica,94,G.S. FORESTALE,3 fi- 1,Praga,08/03/2015
4:11.65,,APRILE Giulia,95,C.S. ESERCITO,1 se- 1,Padova,12/02/2022
4:11.98,,MAGNANI Margherita,87,G.A. FIAMME GIALLE,1 su- 1,Ancona,22/02/2014
4:12.10,,DEL BUONO Federica,94,C.S. CARABINIERI SEZ. ATLETICA,3 su- 1,Ancona,18/02/2023
4:12.14,,DEL BUONO Federica,94,C.S. CARABINIERI SEZ. ATLETICA,9 su- 1,Madrid,02/03/2022
4:12.44,,MAGNANI Margherita,87,G.A. FIAMME GIALLE,5 se- 1,Gent,10/02/2013
4:12.60,,MAGNANI Margherita,87,G.A. FIAMME GIALLE,5 se- 1,Dusseldorf,08/02/2013
4:12.79,,DEL BUONO Federica,94,C.S. CARABINIERI SEZ. ATLETICA,6 ba- 1,Torun,05/03/2021
4:13.17,,MAGNANI Margherita,87,G.A. FIAMME GIALLE,4 se- 1,Karlsruhe,02/02/2013
4:13.20,,VIOLA Giulia alessandra,91,G.A. FIAMME GIALLE,1 su- 1,Padova,21/02/2015
4:13.44,,DEL BUONO Federica,94,C.S. CARABINIERI SEZ. ATLETICA,4 su- 1,Madrid,24/02/2021
4:13.62,,SABBATINI Gaia,99,G.S. FIAMME AZZURRE,1 su- 1,Ancona,22/02/2020
4:13.70,,SABBATINI Gaia,99,G.S. FIAMME AZZURRE,1 su- 1,Ancona,20/02/2021
4:13.78,,MAGNANI Margherita,87,G.A. FIAMME GIALLE,11 su- 1,Lievin,13/02/2018
4:13.80,,VIOLA Giulia alessandra,91,G.A. FIAMME GIALLE,4 ba- 1,Goteborg,01/03/2013
4:13.93,,CORTESI Federica,99,ATL. VALLE BREMBANA,4 su- 1,Ancona,18/02/2023
4:14.54,,MAGNANI Margherita,87,G.A. FIAMME GIALLE,1 su- 1,Ancona,16/02/2013
4:14.68,,MATTAGLIANO Joyce,94,C.S. ESERCITO,2 se- 1,Padova,12/02/2022
4:15.15,,BELLO' Elena,97,G.S. FIAMME AZZURRE,2 su- 1,Ancona,22/02/2020
