Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
4.62,,BRUNI Roberta,94,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Ancona,18/02/2023
4.61,,BRUNI Roberta,94,C.S. CARABINIERI SEZ. ATLETICA,4 su- 1,Birmingham,25/02/2023
4.60,,BRUNI Roberta,94,ATL. STUDENTESCA CA.RI.RI,1 su- 1,Ancona,17/02/2013
4.52,,BRUNI Roberta,94,C.S. CARABINIERI SEZ. ATLETICA,3 su- 1,Ostrava,02/02/2023
4.52,,MOLINAROLO Elisa,94,G.S. FIAMME ORO PADOVA,2 su- 1,Ancona,18/02/2023
4.51,,BRUNI Roberta,94,ATL. STUDENTESCA CA.RI.RI,1 su- 1,Fermo,02/02/2013
4.51,,MOLINAROLO Elisa,94,G.S. FIAMME ORO PADOVA,1 su- 1,Parma,12/02/2023
4.50,,GIORDANO BRUNO Anna,80,ASSINDUSTRIA SPORT PADOVA,1 su- 1,Udine,06/02/2010
4.50,,MALAVISI Sonia,94,G.A. FIAMME GIALLE,1 su- 1,Ancona,17/02/2019
4.50,,MALAVISI Sonia,94,G.A. FIAMME GIALLE,9 qu- 1,Glasgow,02/03/2019
4.46,,MOLINAROLO Elisa,94,G.S. FIAMME ORO PADOVA,1 su- 1,Ancona,27/02/2022
4.45,,GIORDANO BRUNO Anna,80,ASSINDUSTRIA SPORT PADOVA,10 qu- 1,Parigi,05/03/2011
4.45,,MALAVISI Sonia,94,G.A. FIAMME GIALLE,1 se- 2,Ancona,17/01/2021
4.45,,MOLINAROLO Elisa,94,G.S. FIAMME ORO PADOVA,1 su- 1,Parma,19/02/2022
4.45,,MOLINAROLO Elisa,94,G.S. FIAMME ORO PADOVA,8 su- 1,Belgrado,19/03/2022
4.45,,BRUNI Roberta,94,C.S. CARABINIERI SEZ. ATLETICA,7 qu- 1,Istanbul,03/03/2023
4.45,,MOLINAROLO Elisa,94,G.S. FIAMME ORO PADOVA,9 qu- 1,Istanbul,03/03/2023
4.44,,MALAVISI Sonia,94,G.A. FIAMME GIALLE,6 su- 1,Madrid,08/02/2019
4.42,,MALAVISI Sonia,94,G.A. FIAMME GIALLE,1 su- 1,Bassano Del Grappa,06/09/2019
4.42,,FALDA Helen,96,ATL. BS '50 METALLURG. S.MARCO,1 su- 1,Vermillion,16/04/2021
4.42,,MOLINAROLO Elisa,94,G.S. FIAMME ORO PADOVA,1 se- 2,Canegrate,06/03/2022
4.42,,MALAVISI Sonia,94,G.A. FIAMME GIALLE,1 su- 1,Ancona,18/01/2023
4.42,,VALLETTI BORGNINI Giulia,01,FIAMME GIALLE G. SIMONI,3 su- 1,Ancona,18/02/2023
4.41,,BRUNI Roberta,94,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Ancona,21/02/2021
4.40,,GIORDANO BRUNO Anna,80,ASSINDUSTRIA SPORT PADOVA,1 su- 1,Udine,14/02/2009
4.40,,GIORDANO BRUNO Anna,80,ASSINDUSTRIA SPORT PADOVA,1 qu- 1,Torino,06/03/2009
4.40,,SCARPELLINI Elena,87,C.S. AERONAUTICA MILITARE,1 su- 1,Ancona,06/02/2010
4.40,,GIORDANO BRUNO Anna,80,ASSINDUSTRIA SPORT PADOVA,1 su- 1,Udine,22/01/2012
4.40,,BENECCHI Giorgia,89,C.S. ESERCITO,2 su- 1,Ancona,17/02/2013
4.40,,BRUNI Roberta,94,ATL. STUDENTESCA CA.RI.RI,1 su- 1,Ancona,24/02/2013
4.40,,MALAVISI Sonia,94,G.A. FIAMME GIALLE,1 su- 1,Ancona,06/02/2016
4.40,,MALAVISI Sonia,94,G.A. FIAMME GIALLE,1 su- 1,Sindelfingen,26/01/2019
4.40,,BRUNI Roberta,94,C.S. CARABINIERI SEZ. ATLETICA,2 su- 1,Ancona,17/02/2019
4.40,,BRUNI Roberta,94,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Padova,31/01/2021
4.40,,MOLINAROLO Elisa,94,ATLETICA RIVIERA DEL BRENTA,11 su- 1,Padova,25/04/2021
4.40,,MOLINAROLO Elisa,94,G.S. FIAMME ORO PADOVA,1 se- 2,Padova,07/01/2023
4.37,,GHERCA Maria roberta,00,SSD NISSOLINO SPORT SRL ASU,2 su- 1,Ancona,18/01/2023
4.36,,BENECCHI Giorgia,89,C.U.S. PARMA,1 su- 1,Ancona,14/02/2010
4.36,,BRUNI Roberta,94,ATL. STUDENTESCA CA.RI.RI,12 qu- 1,Goteborg,01/03/2013
4.36,,MALAVISI Sonia,94,G.A. FIAMME GIALLE,3 se- 1,Praga,17/02/2016
4.36,,FALDA Helen,96,ATL. BS '50 METALLURG. S.MARCO,1 su- 1,Lincoln,01/02/2020
4.35,,GIORDANO BRUNO Anna,80,ASSINDUSTRIA SPORT PADOVA,1 su- 1,Udine,31/01/2009
4.35,,SCARPELLINI Elena,87,C.S. AERONAUTICA MILITARE,1 fi- 1,Vienna,03/02/2009
4.35,,SCARPELLINI Elena,87,C.S. AERONAUTICA MILITARE,9 qu- 1,Doha,12/03/2010
4.35,,BENECCHI Giorgia,89,C.S. ESERCITO,1 su- 1,Aosta,29/01/2011
4.35,,GIORDANO BRUNO Anna,80,ASSINDUSTRIA SPORT PADOVA,1 su- 1,Udine,05/02/2011
4.35,,MALAVISI Sonia,94,G.A. FIAMME GIALLE,1 su- 1,Ancona,06/03/2016
4.35,,MOLINAROLO Elisa,94,GA ARISTIDE COIN VENEZIA 1949,1 su- 1,Padova,20/01/2018
4.35,,BRUNI Roberta,94,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Firenze,08/02/2018
4.35,,BRUNI Roberta,94,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Ancona,18/02/2018
4.35,,BRUNI Roberta,94,C.S. CARABINIERI SEZ. ATLETICA,2 su- 1,Praga,09/02/2019
4.35,,BRUNI Roberta,94,C.S. CARABINIERI SEZ. ATLETICA,1 se- 2,Ancona,24/01/2021
4.35,,MOLINAROLO Elisa,94,G.S. FIAMME ORO PADOVA,5 su- 1,Val De Reuil,14/02/2022
4.33,,SCARPELLINI Elena,87,C.S. AERONAUTICA MILITARE,1 fi- 1,Vienna,02/02/2010
4.33,,GIORDANO BRUNO Anna,80,ASSINDUSTRIA SPORT PADOVA,2 fi- 1,Vienna,02/02/2010
4.33,,GIORDANO BRUNO Anna,80,ASSINDUSTRIA SPORT PADOVA,1 su- 1,Vienna,31/01/2012
4.33,,MOLINAROLO Elisa,94,G.S. FIAMME ORO PADOVA,1 su- 1,Padova,28/12/2022
4.32,,MALAVISI Sonia,94,A.S.D. ACSI ITALIA ATLETICA,6 su- 1,Dresda,31/01/2014
4.32,,MALAVISI Sonia,94,G.A. FIAMME GIALLE,4 su- 1,Ancona,18/02/2023
4.32,,SEMERARO Francesca,97,ALTERATLETICA LOCOROTONDO,5 su- 1,Ancona,18/02/2023
4.31,,SCARPELLINI Elena,87,FONDIARIA - SAI ATLETICA,1 su- 1,Genova,25/02/2007
4.31,,BRUNI Roberta,94,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Padova,13/02/2021
