Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
14.60,,LA MANTIA Simona,83,G.A. FIAMME GIALLE,1 fi- 1,Parigi,05/03/2011
14.54,,MARTINEZ Magdelin,76,ASSINDUSTRIA SPORT PD,2 fi- 1,Madrid,06/03/2005
14.52,+0.0,MARTINEZ Magdelin,76,ASSINDUSTRIA SPORT PD,1 su- 1,Ancona,20/02/2005
14.41,+0.0,LA MANTIA Simona,83,G.A. FIAMME GIALLE,2 su- 1,Ancona,20/02/2005
14.39,,MARTINEZ Magdelin,76,ASSINDUSTRIA SPORT PD,2 qu- 1,Madrid,04/03/2005
14.38,,LA MANTIA Simona,83,G.A. FIAMME GIALLE,2 qu- 1,Parigi,04/03/2011
14.33,,LA MANTIA Simona,83,G.A. FIAMME GIALLE,1 su- 1,Ancona,30/01/2011
14.33,,LA MANTIA Simona,83,G.A. FIAMME GIALLE,1 su- 1,Ancona,20/02/2011
14.28,,MARTINEZ Magdelin,76,ASSINDUSTRIA SPORT PADOVA,1 su- 1,Torino,22/02/2009
14.26,,LA MANTIA Simona,83,G.A. FIAMME GIALLE,3 fi- 1,Goteborg,03/03/2013
14.26,,DERKACH Dariya,93,C.S. AERONAUTICA MILITARE,1 su- 1,Ancona,26/02/2022
14.25,,DERKACH Dariya,93,C.S. AERONAUTICA MILITARE,1 su- 1,Ancona,21/01/2023
14.24,+0.0,LA MANTIA Simona,83,G.A. FIAMME GIALLE,1 su- 1,Ancona,19/02/2006
14.24,,LA MANTIA Simona,83,G.A. FIAMME GIALLE,3 qu- 1,Goteborg,01/03/2013
14.20,,DERKACH Dariya,93,C.S. AERONAUTICA MILITARE,2 fi- 1,Istanbul,04/03/2023
14.17,,DERKACH Dariya,93,C.S. AERONAUTICA MILITARE,1 su- 1,Lione,28/01/2023
14.12,,DERKACH Dariya,93,C.S. AERONAUTICA MILITARE,1 su- 1,Ancona,19/02/2023
14.11,,CESTONARO Ottavia,95,C.S. CARABINIERI SEZ. ATLETICA,2 su- 1,Ancona,19/02/2023
14.08,,DERKACH Dariya,93,C.S. AERONAUTICA MILITARE,4 su- 1,Mondeville,08/02/2023
14.08,,CESTONARO Ottavia,95,C.S. CARABINIERI SEZ. ATLETICA,4 fi- 1,Istanbul,04/03/2023
14.06,,LA MANTIA Simona,83,G.A. FIAMME GIALLE,8 fi- 1,Madrid,06/03/2005
14.06,,LA MANTIA Simona,83,G.A. FIAMME GIALLE,1 se- 2,Ancona,17/02/2013
14.05,,LA MANTIA Simona,83,G.A. FIAMME GIALLE,2 fi- 1,Lievin,08/02/2011
14.05,,LA MANTIA Simona,83,G.A. FIAMME GIALLE,1 fi- 1,Ancona,26/02/2012
14.05,,DERKACH Dariya,93,C.S. AERONAUTICA MILITARE,1 su- 1,Ancona,19/02/2017
14.03,,MARTINEZ Magdelin,76,ASSINDUSTRIA SPORT PADOVA,1 su- 1,Genova,24/02/2008
14.01,,MARTINEZ Magdelin,76,ASSINDUSTRIA SPORT PADOVA,6 fi- 1,Atene,25/02/2009
13.98,+0.0,LA MANTIA Simona,83,G.A. FIAMME GIALLE,1 su- 1,Genova,06/02/2005
13.98,,DERKACH Dariya,93,C.S. AERONAUTICA MILITARE,3 qu- 1,Istanbul,03/03/2023
13.98,,CESTONARO Ottavia,95,C.S. CARABINIERI SEZ. ATLETICA,4 qu- 1,Istanbul,03/03/2023
13.97,,DERKACH Dariya,93,C.S. AERONAUTICA MILITARE,1 su- 1,Erfurt,03/02/2023
13.96,,LA MANTIA Simona,83,G.A. FIAMME GIALLE,5 qu- 2,Madrid,04/03/2005
13.95,,DERKACH Dariya,93,C.S. AERONAUTICA MILITARE,5 su- 1,Lievin,15/02/2023
13.94,,MARTINEZ Magdelin,76,ASSINDUSTRIA SPORT PADOVA,1 su- 1,Ancona,28/02/2010
13.91,,MARTINEZ Magdelin,76,ASSINDUSTRIA SPORT PADOVA,11 qu- 1,Torino,06/03/2009
13.91,,DERKACH Dariya,93,C.S. AERONAUTICA MILITARE,1 su- 1,Ancona,30/01/2022
13.90,,CESTONARO Ottavia,95,C.S. CARABINIERI SEZ. ATLETICA,9 qu- 1,Torun,06/03/2021
13.87,,MARTINEZ Magdelin,76,ASSINDUSTRIA SPORT PADOVA,6 fi- 1,Parigi Bercy,22/02/2008
13.84,,DERKACH Dariya,93,C.S. AERONAUTICA MILITARE,1 fi- 1,Padova,21/02/2015
13.84,,CESTONARO Ottavia,95,C.S. CARABINIERI SEZ. ATLETICA,99 su- 1,Padova,07/02/2021
13.84,,CESTONARO Ottavia,95,C.S. CARABINIERI SEZ. ATLETICA,1 se- 2,Padova,22/01/2023
13.83,+0.0,BIONDINI Silvia,76,C.S. FORESTALE,3 su- 1,Ancona,20/02/2005
13.83,,CESTONARO Ottavia,95,C.S. CARABINIERI SEZ. ATLETICA,2 su- 1,Ostrava,02/02/2023
13.82,,LA MANTIA Simona,83,G.A. FIAMME GIALLE,2 su- 1,Ancona,28/02/2010
13.82,,LA MANTIA Simona,83,G.A. FIAMME GIALLE,2 su- 1,Eaubonne,16/02/2012
13.82,,DERKACH Dariya,93,C.S. AERONAUTICA MILITARE,1 su- 1,Ancona,21/02/2021
13.81,,LA MANTIA Simona,83,G.A. FIAMME GIALLE,1 qu- 2,Ancona,26/02/2012
13.77,,CESTONARO Ottavia,95,C.S. CARABINIERI SEZ. ATLETICA,6 su- 1,Karlsruhe,27/01/2023
13.76,,CESTONARO Ottavia,95,C.S. CARABINIERI SEZ. ATLETICA,2 su- 1,Ancona,21/02/2021
13.75,,LA MANTIA Simona,83,G.A. FIAMME GIALLE,2 fi- 1,Padova,21/02/2015
13.74,,CESTONARO Ottavia,95,C.S. CARABINIERI SEZ. ATLETICA,7 su- 1,Mondeville,09/02/2022
13.73,,LA MANTIA Simona,83,G.A. FIAMME GIALLE,1 su- 1,Ancona,22/02/2014
13.72,,LA MANTIA Simona,83,G.A. FIAMME GIALLE,8 su- 1,Dusseldorf,10/02/2012
13.70,,CESTONARO Ottavia,95,C.S. CARABINIERI SEZ. ATLETICA,2 su- 1,Ancona,26/02/2022
13.69,,LA MANTIA Simona,83,G.A. FIAMME GIALLE,1 se- 1,Ancona,03/02/2008
13.69,,DERKACH Dariya,93,C.S. AERONAUTICA MILITARE,13 qu- 1,Belgrado,03/03/2017
13.67,,DERKACH Dariya,93,C.S. AERONAUTICA MILITARE,15 su- 1,Belgrado,20/03/2022
13.65,,ZANON Veronica,01,ASSINDUSTRIA SPORT PADOVA,1 se- 2,Ancona,09/02/2020
13.63,,LA MANTIA Simona,83,G.A. FIAMME GIALLE,2 su- 1,Genova,24/02/2008
13.63,,CESTONARO Ottavia,95,C.S. CARABINIERI SEZ. ATLETICA,3 su- 1,Madrid,02/03/2022
13.62,,CESTONARO Ottavia,95,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Padova,13/02/2021
13.61,,LA MANTIA Simona,83,G.A. FIAMME GIALLE,1 qu- 1,Padova,21/02/2015
