Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
7:58.94,,CALIANDRO Cosimo,82,G.A. FIAMME GIALLE,1 su- 1,Ancona,20/02/2005
8:02.61,,ZANON Simone,75,G.S. FIAMME ORO PADOVA,2 su- 1,Ancona,20/02/2005
8:05.74,,CREPALDI Gianni,68,C.S. CARABINIERI SEZ. ATLETICA,3 su- 1,Ancona,20/02/2005
8:06.17,,ZANON Simone,75,G.S. FIAMME ORO PADOVA,1 se- 1,Genova Palasport,09/02/2005
8:06.99,,RACHEDI Omar,84,C.S. CARABINIERI SEZ. ATLETICA,2 se- 1,Genova Palasport,09/02/2005
8:07.11,,DI NAPOLI Gennaro,68,ATL.  CENTO TORRI PAVIA,4 su- 1,Ancona,20/02/2005
8:07.55,,RACHEDI Omar,84,C.S. CARABINIERI SEZ. ATLETICA,5 su- 1,Ancona,20/02/2005
8:08.71,,CHATBI Jamel,84,ATL. BERGAMO 1959,3 se- 1,Genova Palasport,09/02/2005
8:09.93,,CALIANDRO Cosimo,82,G.A. FIAMME GIALLE,8 ba- 2,Madrid,04/03/2005
8:10.75,,MAFFEI Giuseppe,74,ATL.  CENTO TORRI PAVIA,6 su- 1,Ancona,20/02/2005
8:12.68,,RICATTI Domenico,79,C.S. AERONAUTICA MILITARE,7 su- 1,Ancona,20/02/2005
8:13.90,,SUTTI Fabrizio,76,G.S. FIAMME ORO PADOVA,8 su- 1,Ancona,20/02/2005
8:19.90,,RACHEDI Nadir,80,A.S. LA FRATELLANZA 1874,5 se- 1,Genova Palasport,09/02/2005
8:20.43,,PELUSI Pietro,78,BRUNI PUBBL. ATL. VOMANO,9 su- 1,Ancona,20/02/2005
8:21.01,,NATALI Paolo,80,ATL.ASICS FIRENZE MARATHON,6 se- 1,Genova Palasport,09/02/2005
8:21.82,,IANNONE Gilio,85,C.S. ESERCITO,10 su- 1,Ancona,20/02/2005
8:23.59,,CASTRILLEJO Unai,80,C.U.S. GENOVA,7 se- 1,Genova Palasport,09/02/2005
8:24.69,,NATALI Paolo,80,ATL.ASICS FIRENZE MARATHON,11 su- 1,Ancona,20/02/2005
8:26.62,,DEL CURTO Luca,84,A.S. LA FRATELLANZA 1874,8 se- 1,Genova Palasport,09/02/2005
8:29.64,,VERCELLI Stefano,75,ATL. RICCARDI MILANO,9 se- 1,Genova Palasport,09/02/2005
8:30.90,,SPERNANZONI Marco,82,C.S. AERONAUTICA MILITARE,10 se- 1,Genova Palasport,09/02/2005
8:31.25,,BARTOLETTI STELLA Marco,78,C.S. AERONAUTICA MILITARE,12 su- 1,Ancona,20/02/2005
8:31.30,,CASTRILLEJO Unai,80,C.U.S. GENOVA,13 su- 1,Ancona,20/02/2005
8:31.45,,BRIGNONE Valerio,67,ATLETICA CAIRO,1 su- 1,Genova,27/02/2005
8:51.25,,MORANDI Mariano,65,U.S. QUERCIA ROVERETO,1 se- 2,Genova,27/02/2005
8:51.90,,CARLONI Alessandro,78,ATL. RECANATI ENERGIA +,1 se- 1,Ancona,13/03/2005
8:51.90,,CARLONI Alessandro,78,ATL. RECANATI ENERGIA +,1 se- 1,Ancona,13/03/2005
8:55.15,,OLIVERO Luca,85,A.S. 'FOCE' SANREMO,1 se- 2,Genova Palasport,09/02/2005
8:57.65,,SERPE Fabrizio,84,C.U.S. GENOVA,2 se- 2,Genova Palasport,09/02/2005
8:58.25,,BALLIS Sandy,79,C.S.  ACCADEMIA NAVALE LIVORNO,1 se- 2,Firenze,10/02/2005
8:58.77,,NOVARINA Massimiliano,83,PRO SESTO ATL.,3 se- 2,Genova Palasport,09/02/2005
9:02.63,,LUCARINI Federico,78,CUS CAMERINO,2 se- 1,Ancona,13/03/2005
9:02.63,,LUCARINI Federico,78,CUS CAMERINO,2 se- 1,Ancona,13/03/2005
