Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
7.96,,ANDREANI Matteo,88,ATLETICA LIVORNO,1 fi- 1,Genova,24/02/2007
8.02,,ANDREANI Matteo,88,ATLETICA LIVORNO,4 su- 1,Vittel,04/03/2007
8.09,,ANDREANI Matteo,88,ATLETICA LIVORNO,1 ba- 4,Genova,24/02/2007
8.09,,ANDREANI Matteo,88,ATLETICA LIVORNO,1 sf- 1,Genova,24/02/2007
8.09,,TEDESCO Stefano,88,ASI ATLETICA BREGANZE,5 se- 1,Vittel,04/03/2007
8.10,,TEDESCO Stefano,88,ASI ATLETICA BREGANZE,6 su- 1,Vittel,04/03/2007
8.13,,TEDESCO Stefano,88,G.A. FIAMME GIALLE,2 fi- 1,Genova,24/02/2007
8.17,,TEDESCO Stefano,88,G.A. FIAMME GIALLE,1 ba- 1,Padova,10/02/2007
8.20,,STRATI Rocco,88,JAGER ATLETICA VITTORIO V.TO,2 ba- 1,Padova,10/02/2007
8.20,,CASADEI Luca,88,ATL. IMOLA SACMI AVIS,2 sf- 1,Genova,24/02/2007
8.20,,ANDREANI Matteo,88,ATLETICA LIVORNO,6 se- 2,Vittel,04/03/2007
8.21,,NALOCCA John mark,88,COLLECTION ATLETICA SAMBENEDET,1 ba- 1,Ancona,20/01/2007
8.21,,STRATI Rocco,88,JAGER ATLETICA VITTORIO V.TO,3 fi- 1,Genova,24/02/2007
8.23,,STRATI Rocco,88,JAGER ATLETICA VITTORIO V.TO,1 fi- 1,Padova,10/02/2007
8.23,,TEDESCO Stefano,88,G.A. FIAMME GIALLE,1 sf- 2,Genova,24/02/2007
8.24,,STRATI Rocco,88,JAGER ATLETICA VITTORIO V.TO,2 sf- 2,Genova,24/02/2007
8.25,,STRATI Rocco,88,JAGER ATLETICA VITTORIO V.TO,1 ba- 2,Genova,24/02/2007
8.26,,REDAELLI Davide felice,89,PRO PATRIA MILANO,4 fi- 1,Genova,24/02/2007
8.27,,AMADI Alberto,89,TREVISATLETICA,3 sf- 2,Genova,24/02/2007
8.29,,NALOCCA John mark,88,COLLECTION ATLETICA SAMBENEDET,1 ba- 1,Ancona,14/01/2007
8.30,,NALOCCA John mark,88,COLLECTION ATLETICA SAMBENEDET,1 fi- 1,Ancona,20/01/2007
8.31,,CASADEI Luca,88,ATL. IMOLA SACMI AVIS,2 ba- 2,Genova,24/02/2007
8.32,,CASADEI Luca,88,ATL. IMOLA SACMI AVIS,1 fi- 1,Modena,03/02/2007
