Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
4889,,COMBI Stefano,90,GINN.MONZESE FORTI E LIBERI,1 su- 1,Ancona,27/01/2008
4886,,CALVI Michele,90,G.S.SELF ATL. MONTANARI GRUZZA,2 su- 1,Ancona,27/01/2008
4853,,MARSI Luca,89,ATLETICA LIVORNO,3 su- 1,Ancona,27/01/2008
4487,,MARCATO Riccardo,90,ASSINDUSTRIA SPORT PADOVA,4 su- 1,Ancona,27/01/2008
4467,,DE CARLI Matteo,89,FONDAZIONE M. BENTEGODI,5 su- 1,Ancona,27/01/2008
4247,,CASTRO Nicolo',89,A.S.D. ATLETICASPEZIA CARISPE,6 su- 1,Ancona,27/01/2008
4235,,SCEBI Agostino,90,A.S.D. AGG. HINNA,7 su- 1,Ancona,27/01/2008
4111,,SIMIONATO Gianluca,90,N.ATL. FANFULLA LODIGIANA,8 su- 1,Ancona,27/01/2008
4057,,PIAZZA Tommaso,90,PROSPORT ATL. FIRENZE,9 su- 1,Ancona,27/01/2008
5132,,COMBI Stefano,90,GINN.MONZESE FORTI E LIBERI,1 su- 1,Ancona,01/02/2009
5070,,COMBI Stefano,90,GINN.MONZESE FORTI E LIBERI,1 su- 1,Ancona,17/01/2009
4795,,PIAZZA Matteo,90,PROSPORT ATL. FIRENZE,2 su- 1,Ancona,01/02/2009
4751,,MARCATO Riccardo,90,ASSINDUSTRIA SPORT PADOVA,3 su- 1,Ancona,01/02/2009
4729,,BAGNOLI Leonardo,91,PROSPORT ATL. FIRENZE,4 su- 1,Ancona,01/02/2009
4675,,PERNA Marco,91,A.S.D. AGG. HINNA,5 su- 1,Ancona,01/02/2009
4547,,OTTAVIANI Leonardo,91,ATL. AVIS MACERATA,6 su- 1,Ancona,01/02/2009
4537,,PIAZZA Tommaso,90,PROSPORT ATL. FIRENZE,7 su- 1,Ancona,01/02/2009
4392,,BIZZOTTO Andrea,91,ATLETICA LIBERTAS PADOVA,8 su- 1,Ancona,01/02/2009
