Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
7.70,+0.0,CAMPUS Milko,69,S G AMSICORA,1 su- 1,Ancona,19/02/2005
7.68,+0.0,IUCOLANO Ferdinando,80,A.S.D. C.U.S. PALERMO,2 su- 1,Ancona,19/02/2005
7.56,,NUARA Mattia,81,GINN.MONZESE FORTI E LIBERI,3 su- 1,Monaco,05/02/2005
7.52,+0.0,D'APOLITO Giacomo,71,G.A. FIAMME GIALLE,1 fi- 1,Napoli,29/01/2005
7.48,+0.0,RIMOLDI Alessio,76,C.S. CARABINIERI SEZ. ATLETICA,3 su- 1,Ancona,19/02/2005
7.47,+0.0,NUARA Mattia,81,GINN.MONZESE FORTI E LIBERI,4 su- 1,Ancona,19/02/2005
7.44,+0.0,CAMPUS Milko,69,S G AMSICORA,1 se- 1,Modena,13/02/2005
7.42,+0.0,AGRESTI Francesco,77,G.S. FIAMME ORO PADOVA,1 su- 1,Firenze,10/02/2005
7.41,+0.0,RIMOLDI Alessio,76,C.S. CARABINIERI SEZ. ATLETICA,1 se- 1,Modena,15/01/2005
7.41,+0.0,RIMOLDI Alessio,76,C.S. CARABINIERI SEZ. ATLETICA,2 se- 1,Modena,13/02/2005
7.39,+0.0,NUARA Mattia,81,GINN.MONZESE FORTI E LIBERI,1 su- 1,Genova Palasport,13/02/2005
7.39,+0.0,AGRESTI Francesco,77,G.S. FIAMME ORO PADOVA,5 su- 1,Ancona,19/02/2005
7.38,+0.0,D'APOLITO Giacomo,71,G.A. FIAMME GIALLE,6 su- 1,Ancona,19/02/2005
7.35,+0.0,NUARA Mattia,81,GINN.MONZESE FORTI E LIBERI,1 su- 1,Castenedolo,21/01/2005
7.33,+0.0,DI CESARE Fabrizio,77,G.S. FIAMME ORO PADOVA,7 su- 1,Ancona,19/02/2005
7.32,+0.0,GUI Gabriel aurel,75,GINNASTICA COMENSE 1872,1 su- 1,Castenedolo,06/02/2005
7.32,+0.0,DI CESARE Fabrizio,77,G.S. FIAMME ORO PADOVA,2 su- 1,Firenze,10/02/2005
7.31,+0.0,VITI Marzio,73,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Ancona,12/02/2005
7.30,+0.0,AGRESTI Francesco,77,G.S. FIAMME ORO PADOVA,1 su- 1,Firenze,21/01/2005
7.30,+0.0,TREMIGLIOZZI Stefano,85,C.S. AERONAUTICA MILITARE,1 fi- 1,Napoli,22/01/2005
7.30,+0.0,CAMPUS Milko,69,S G AMSICORA,1 su- 1,Firenze,28/01/2005
7.28,+0.0,DI CESARE Fabrizio,77,G.S. FIAMME ORO PADOVA,1 se- 2,Firenze,14/01/2005
7.28,+0.0,AGRESTI Francesco,77,G.S. FIAMME ORO PADOVA,1 su- 1,Firenze,26/01/2005
7.26,+0.0,D'APOLITO Giacomo,71,G.A. FIAMME GIALLE,3 su- 1,Firenze,10/02/2005
7.23,+0.0,NUARA Mattia,81,GINN.MONZESE FORTI E LIBERI,1 su- 1,Castenedolo,30/01/2005
7.23,+0.0,FRULLANI William,79,C.S. CARABINIERI SEZ. ATLETICA,8 su- 1,Ancona,19/02/2005
7.21,,LORENZINI Davide,78,ATL. RICCARDI MILANO,5 su- 1,Monaco,05/02/2005
7.19,+0.0,TREMIGLIOZZI Stefano,85,C.S. AERONAUTICA MILITARE,1 su- 1,Genova,06/02/2005
7.18,+0.0,NENCINI Simone,81,TOSCANA ATLETICA,2 se- 2,Firenze,14/01/2005
7.15,+0.0,ZEPPO Simone,67,M. PELLEGRINI BANCA D.MAREMMA,4 su- 1,Firenze,10/02/2005
7.13,+0.0,GOBBI Francesco,81,C.S. AERONAUTICA MILITARE,1 fi- 1,Rieti,29/01/2005
7.12,+0.0,DEL BROCCO Davide,83,C.S. ESERCITO,9 su- 1,Ancona,19/02/2005
7.11,+0.0,CEGLIE Luca,79,C.S. AERONAUTICA MILITARE,2 fi- 1,Napoli,22/01/2005
7.08,+0.0,BUCALOSSI Alessandro,81,M. PELLEGRINI BANCA D.MAREMMA,3 se- 2,Firenze,14/01/2005
7.06,+0.0,NENCINI Simone,81,TOSCANA ATLETICA,2 su- 1,Firenze,26/01/2005
7.04,+0.0,GIACOMINI Alberto,83,ATLETICA ALTO FRIULI,10 su- 1,Ancona,19/02/2005
7.03,+0.0,BUCALOSSI Alessandro,81,M. PELLEGRINI BANCA D.MAREMMA,2 su- 1,Firenze,21/01/2005
7.03,+0.0,GIACOMINI Alberto,83,ATLETICA ALTO FRIULI,2 su- 1,Genova,06/02/2005
7.02,+0.0,LORENZINI Davide,78,ATL. RICCARDI MILANO,2 su- 1,Genova Palasport,13/02/2005
7.01,+0.0,NUARA Mattia,81,GINN.MONZESE FORTI E LIBERI,1 se- 1,Modena,09/01/2005
7.00,+0.0,GIACOMINI Alberto,83,ATLETICA ALTO FRIULI,1 se- 1,Modena,22/01/2005
6.99,+0.0,CEGLIE Luca,79,C.S. AERONAUTICA MILITARE,2 fi- 1,Napoli,29/01/2005
6.98,+0.0,TREMIGLIOZZI Stefano,85,C.S. AERONAUTICA MILITARE,1 fi- 1,Napoli,08/01/2005
6.98,+0.0,MAESTRELLI Simone,86,TOSCANA ATLETICA,4 se- 2,Firenze,14/01/2005
6.97,+0.0,LORENZETTO Claudio,73,CUS FERRARA,3 su- 1,Firenze,21/01/2005
6.97,+0.0,FRULLANI William,79,C.S. CARABINIERI SEZ. ATLETICA,5 su- 1,Firenze,10/02/2005
6.96,+0.0,BORROMEI Riccardo,85,BRUNI PUBBL. ATL. VOMANO,2 se- 1,Modena,22/01/2005
6.94,+0.0,DEL BROCCO Davide,83,C.S. ESERCITO,3 su- 1,Genova,06/02/2005
6.92,+0.0,LORENZETTO Claudio,73,CUS FERRARA,2 se- 1,Modena,15/01/2005
6.92,+0.0,VITI Marzio,73,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Firenze,25/01/2005
6.92,+0.0,CONCA Gabriele,80,PRO SESTO ATL.,2 su- 1,Castenedolo,30/01/2005
6.89,+0.0,CROSTA Davide,86,S.G. GALLARATESE,1 su- 1,Genova,06/02/2005
6.89,+0.0,LAMENTI Diego,72,G.S. FIAMME ORO PADOVA,6 su- 1,Firenze,10/02/2005
6.88,+0.0,BUCALOSSI Alessandro,81,M. PELLEGRINI BANCA D.MAREMMA,7 su- 1,Firenze,10/02/2005
6.87,+0.0,MACCAPANI Luca,82,A.S. LA FRATELLANZA 1874,3 se- 1,Modena,15/01/2005
6.86,+0.0,REININI Roberto,81,ATL.SANGIORGESE TECNOLIFT R.R.,2 su- 1,Firenze,28/01/2005
