Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
22.06,,WEIR Zane,95,G.A. FIAMME GIALLE,1 fi- 1,Istanbul,03/03/2023
21.67,,WEIR Zane,95,G.A. FIAMME GIALLE,6 su- 1,Belgrado,19/03/2022
21.61,,PONZIO Nicholas  james,95,ATHLETIC CLUB 96 ALPERIA,1 su- 1,Belgrado,07/03/2022
21.60,,FABBRI Leonardo,97,C.S. AERONAUTICA MILITARE,1 su- 1,Ancona,19/02/2023
21.59,,FABBRI Leonardo,97,C.S. AERONAUTICA MILITARE,1 su- 1,Stoccolma,11/02/2020
21.53,,PONZIO Nicholas  james,95,ATHLETIC CLUB 96 ALPERIA,3 su- 1,Torun,22/02/2022
21.53,,FABBRI Leonardo,97,C.S. AERONAUTICA MILITARE,1 su- 1,Belgrado,15/02/2023
21.50,,WEIR Zane,95,G.A. FIAMME GIALLE,4 su- 1,Torun,22/02/2022
21.49,,FABBRI Leonardo,97,C.S. AERONAUTICA MILITARE,1 su- 1,Parma,12/02/2023
21.46,,WEIR Zane,95,G.A. FIAMME GIALLE,2 su- 1,Ancona,19/02/2023
21.46,,WEIR Zane,95,G.A. FIAMME GIALLE,1 qu- 1,Istanbul,02/03/2023
21.45,,FABBRI Leonardo,97,C.S. AERONAUTICA MILITARE,1 su- 1,Ancona,23/02/2020
21.45,,WEIR Zane,95,G.A. FIAMME GIALLE,1 su- 1,Sassnitz,12/02/2023
21.44,,FABBRI Leonardo,97,C.S. AERONAUTICA MILITARE,1 su- 1,Sabadell,19/02/2020
21.40,,WEIR Zane,95,G.A. FIAMME GIALLE,3 su- 1,Madrid,02/03/2022
21.34,,PONZIO Nicholas  james,95,ATHLETIC CLUB 96 ALPERIA,1 su- 1,Ancona,27/02/2022
21.33,,FABBRI Leonardo,97,C.S. AERONAUTICA MILITARE,1 su- 1,Val-de-reuil,04/02/2023
21.32,,WEIR Zane,95,G.A. FIAMME GIALLE,1 su- 1,Rochlitz,05/02/2023
21.30,,PONZIO Nicholas  james,95,ATHLETIC CLUB 96 ALPERIA,7 su- 1,Belgrado,19/03/2022
21.17,,FABBRI Leonardo,97,C.S. AERONAUTICA MILITARE,3 qu- 1,Istanbul,02/03/2023
21.14,,PONZIO Nicholas  james,95,ATHLETIC CLUB 96 ALPERIA,4 su- 1,Madrid,02/03/2022
21.11,,FABBRI Leonardo,97,C.S. AERONAUTICA MILITARE,2 su- 1,Ostrava,05/02/2020
21.07,,WEIR Zane,95,G.A. FIAMME GIALLE,2 su- 1,Lodz,11/02/2022
20.87,,WEIR Zane,95,G.A. FIAMME GIALLE,2 su- 1,Ancona,27/02/2022
20.81,,PONZIO Nicholas  james,95,ATHLETIC CLUB 96 ALPERIA,3 su- 1,Louisville,12/02/2022
20.69,,FABBRI Leonardo,97,C.S. AERONAUTICA MILITARE,1 su- 1,Ancona,17/02/2019
20.60,,PONZIO Nicholas  james,95,ATHLETIC CLUB 96 ALPERIA,3 su- 1,Ancona,19/02/2023
20.57,,FABBRI Leonardo,97,C.S. AERONAUTICA MILITARE,4 su- 1,Lodz,11/02/2022
20.46,,FABBRI Leonardo,97,C.S. AERONAUTICA MILITARE,1 su- 1,Padova,28/02/2021
20.43,,PONZIO Nicholas  james,95,ATHLETIC CLUB 96 ALPERIA,4 su- 1,New York,11/02/2023
20.42,,FABBRI Leonardo,97,C.S. AERONAUTICA MILITARE,5 su- 1,Torun,22/02/2022
20.40,,FABBRI Leonardo,97,C.S. AERONAUTICA MILITARE,3 su- 1,Ancona,27/02/2022
20.36,,FABBRI Leonardo,97,C.S. AERONAUTICA MILITARE,1 su- 1,Ancona,21/02/2021
20.29,,FABBRI Leonardo,97,C.S. AERONAUTICA MILITARE,5 su- 1,Madrid,21/02/2020
20.20,,FABBRI Leonardo,97,C.S. AERONAUTICA MILITARE,1 su- 1,Vienna,26/01/2019
20.11,,FABBRI Leonardo,97,C.S. AERONAUTICA MILITARE,6 su- 1,Torun,17/02/2021
20.03,,BIANCHETTI Sebastiano,96,G.S. FIAMME ORO PADOVA,4 su- 1,Ancona,19/02/2023
19.96,,FABBRI Leonardo,97,C.S. AERONAUTICA MILITARE,11 qu- 1,Torun,05/03/2021
19.95,,FABBRI Leonardo,97,C.S. AERONAUTICA MILITARE,1 su- 1,Padova,13/01/2018
19.92,,FABBRI Leonardo,97,C.S. AERONAUTICA MILITARE,1 su- 1,Padova,19/01/2019
19.89,,FABBRI Leonardo,97,C.S. AERONAUTICA MILITARE,1 su- 1,Ancona,02/02/2019
19.83,,PONZIO Nicholas  james,95,ATHLETIC CLUB 96 ALPERIA,10 qu- 1,Istanbul,02/03/2023
19.73,,BIANCHETTI Sebastiano,96,G.S. FIAMME ORO PADOVA,4 su- 1,Ancona,27/02/2022
19.71,,FABBRI Leonardo,97,C.S. AERONAUTICA MILITARE,14 qu- 1,Glasgow,01/03/2019
19.56,,SECCI Daniele,92,G.A. FIAMME GIALLE,1 fi- 1,Padova,22/02/2015
19.52,,BIANCHETTI Sebastiano,96,G.S. FIAMME ORO PADOVA,1 su- 1,Schio,09/02/2017
