Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
2.38,,TAMBERI Gianmarco,92,G.A. FIAMME GIALLE,1 se- 1,Hustopece,13/02/2016
2.36,,TAMBERI Gianmarco,92,G.A. FIAMME GIALLE,1 su- 1,Ancona,06/03/2016
2.36,,TAMBERI Gianmarco,92,G.A. FIAMME GIALLE,1 su- 1,Portland,19/03/2016
2.35,,TAMBERI Gianmarco,92,G.A. FIAMME GIALLE,1 se- 1,Banska Bystrica,04/02/2016
2.35,,FASSINOTTI Marco,89,C.S. AERONAUTICA MILITARE,2 se- 1,Banska Bystrica,04/02/2016
2.35,,TAMBERI Gianmarco,92,ATL-ETICA SAN VENDEMIANO,1 su- 1,Ancona,21/02/2021
2.35,,TAMBERI Gianmarco,92,ATL-ETICA SAN VENDEMIANO,2 fi- 1,Torun,07/03/2021
2.34,,FASSINOTTI Marco,89,C.S. AERONAUTICA MILITARE,1 su- 1,Ancona,23/02/2014
2.34,,FASSINOTTI Marco,89,C.S. AERONAUTICA MILITARE,1 se- 1,Hustopece,24/01/2015
2.34,,TAMBERI Gianmarco,92,ATL-ETICA SAN VENDEMIANO,3 su- 1,Torun,17/02/2021
2.33,,CHESANI Silvano,88,G.S. FIAMME ORO PADOVA,1 su- 1,Ancona,17/02/2013
2.33,,FASSINOTTI Marco,89,C.S. AERONAUTICA MILITARE,5 su- 1,Arnstadt,08/02/2014
2.33,,FASSINOTTI Marco,89,C.S. AERONAUTICA MILITARE,1 su- 1,Birmingham,17/01/2016
2.33,,TAMBERI Gianmarco,92,G.A. FIAMME GIALLE,1 se- 1,Trinec,07/02/2016
2.32,,TALOTTI Alessandro,80,C.S. CARABINIERI SEZ. ATLETICA,3 su- 1,Glasgow,29/01/2005
2.32,,FASSINOTTI Marco,89,C.S. AERONAUTICA MILITARE,1 su- 1,Birmingham,11/01/2015
2.32,,TAMBERI Gianmarco,92,G.A. FIAMME GIALLE,1 su- 1,Ancona,15/02/2019
2.32,,TAMBERI Gianmarco,92,G.A. FIAMME GIALLE,1 fi- 1,Glasgow,02/03/2019
2.32,,TAMBERI Gianmarco,92,ATL-ETICA SAN VENDEMIANO,1 se- 2,Ancona,30/01/2021
2.31,,CIOTTI Giulio,76,G.S. FIAMME AZZURRE,3 su- 1,Hustopece,21/01/2006
2.31,,CIOTTI Nicola,76,C.S. CARABINIERI SEZ. ATLETICA,4 su- 1,Hustopece,21/01/2006
2.31,,CHESANI Silvano,88,G.S. FIAMME ORO PADOVA,1 su- 1,Ancona,26/02/2012
2.31,,CHESANI Silvano,88,G.S. FIAMME ORO PADOVA,2 fi- 1,Praga,08/03/2015
2.31,,TAMBERI Gianmarco,92,G.A. FIAMME GIALLE,1 su- 1,Siena,29/02/2020
2.31,,TAMBERI Gianmarco,92,ATL-ETICA SAN VENDEMIANO,1 su- 1,Banska Bystrica,02/02/2021
2.31,,TAMBERI Gianmarco,92,G.S. FIAMME ORO PADOVA,3 su- 1,Belgrado,20/03/2022
2.30,,BETTINELLI Andrea,78,G.A. FIAMME GIALLE,1 qu- 2,Madrid,05/03/2005
2.30,,BETTINELLI Andrea,78,G.A. FIAMME GIALLE,6 fi- 1,Madrid,06/03/2005
2.30,,CIOTTI Nicola,76,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Bucarest,05/02/2006
2.30,,BETTINELLI Andrea,78,G.A. FIAMME GIALLE,2 fi- 1,Bucarest,09/02/2007
2.30,,CAMPIOLI Filippo,82,C.S. ESERCITO,2 fi- 1,Novi Sad,08/02/2008
2.30,,CIOTTI Nicola,76,C.S. CARABINIERI SEZ. ATLETICA,3 fi- 1,Banska Bystrica,11/02/2009
2.30,,CAMPIOLI Filippo,82,C.S. ESERCITO,4 qu- 1,Torino,06/03/2009
2.30,,TAMBERI Gianmarco,92,G.A. FIAMME GIALLE,3 se- 1,Banska Bystrica,06/02/2013
2.30,,FASSINOTTI Marco,89,C.S. AERONAUTICA MILITARE,2 su- 1,Birmingham,15/02/2014
2.30,,CHESANI Silvano,88,G.S. FIAMME ORO PADOVA,3 se- 1,Hustopece,24/01/2015
2.30,,CHESANI Silvano,88,G.S. FIAMME ORO PADOVA,4 se- 1,Hustopece,13/02/2016
2.29,,BETTINELLI Andrea,78,G.A. FIAMME GIALLE,1 su- 1,Ancona,18/02/2007
2.29,,CAMPIOLI Filippo,82,C.S. ESERCITO,4 fi- 1,Torino,07/03/2009
2.29,,FASSINOTTI Marco,89,C.S. AERONAUTICA MILITARE,6 fi- 1,Parigi,05/03/2011
2.29,,TAMBERI Gianmarco,92,G.A. FIAMME GIALLE,5 fi- 1,Goteborg,02/03/2013
2.29,,FASSINOTTI Marco,89,C.S. AERONAUTICA MILITARE,6 fi- 1,Sopot,09/03/2014
2.29,,CHESANI Silvano,88,G.S. FIAMME ORO PADOVA,1 su- 1,Padova,22/02/2015
2.28,,CIOTTI Nicola,76,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Ancona,20/02/2005
2.28,,CIOTTI Giulio,76,G.S. FIAMME AZZURRE,3 su- 1,Ostrava,18/01/2006
2.28,,CIOTTI Nicola,76,C.S. CARABINIERI SEZ. ATLETICA,2 su- 1,Stoccolma,02/02/2006
2.28,,TALOTTI Alessandro,80,C.S. CARABINIERI SEZ. ATLETICA,3 fi- 1,Hustopece,23/01/2010
2.28,,CIOTTI Nicola,76,C.S. CARABINIERI SEZ. ATLETICA,6 fi- 1,Banska Bystrika,09/02/2011
2.28,,CHESANI Silvano,88,G.S. FIAMME ORO PADOVA,6 se- 1,Banska Bystrica,06/02/2013
2.28,,FASSINOTTI Marco,89,C.S. AERONAUTICA MILITARE,1 se- 1,Birmingham,12/01/2014
2.28,,FASSINOTTI Marco,89,C.S. AERONAUTICA MILITARE,1 su- 1,Colonia,29/01/2014
2.28,,CHESANI Silvano,88,G.S. FIAMME ORO PADOVA,1 su- 1,Padova,14/01/2015
2.28,,CHESANI Silvano,88,G.S. FIAMME ORO PADOVA,4 qu- 1,Praga,07/03/2015
2.28,,TAMBERI Gianmarco,92,G.A. FIAMME GIALLE,5 qu- 1,Praga,07/03/2015
2.28,,CHESANI Silvano,88,G.S. FIAMME ORO PADOVA,1 qu- 1,Belgrado,04/03/2017
2.27,,CIOTTI Nicola,76,C.S. CARABINIERI SEZ. ATLETICA,6 qu- 1,Madrid,05/03/2005
2.27,,TALOTTI Alessandro,80,C.S. CARABINIERI SEZ. ATLETICA,7 qu- 1,Madrid,05/03/2005
2.27,,CAMPIOLI Filippo,82,C.S. ESERCITO,1 su- 1,Tampere,04/02/2007
2.27,,CIOTTI Nicola,76,C.S. CARABINIERI SEZ. ATLETICA,2 su- 1,Ancona,18/02/2007
2.27,,BETTINELLI Andrea,78,G.A. FIAMME GIALLE,3 qu- 2,Birmingham,03/03/2007
2.27,,CIOTTI Nicola,76,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Torino,22/02/2009
2.27,,BETTINELLI Andrea,78,G.A. FIAMME GIALLE,99 su- 1,Torino,22/02/2009
2.27,,CAMPIOLI Filippo,82,C.S. ESERCITO,99 su- 1,Torino,22/02/2009
2.27,,CIOTTI Nicola,76,C.S. CARABINIERI SEZ. ATLETICA,1 fi- 1,Praga,26/02/2009
2.27,,CIOTTI Nicola,76,C.S. CARABINIERI SEZ. ATLETICA,6 qu- 1,Torino,06/03/2009
2.27,,FASSINOTTI Marco,89,C.S. AERONAUTICA MILITARE,7 qu- 1,Parigi,04/03/2011
2.27,,CAMPIOLI Filippo,82,C.S. ESERCITO,1 su- 1,Hirson,21/01/2012
2.27,,FASSINOTTI Marco,89,C.S. AERONAUTICA MILITARE,1 su- 1,Londra,26/01/2013
2.27,,FASSINOTTI Marco,89,C.S. AERONAUTICA MILITARE,2 su- 1,Ancona,17/02/2013
2.27,,CHESANI Silvano,88,G.S. FIAMME ORO PADOVA,6 fi- 1,Belgrado,05/03/2017
2.27,,TAMBERI Gianmarco,92,G.A. FIAMME GIALLE,2 su- 1,Banska Bystrica,09/02/2019
2.27,,SOTTILE Stefano,98,G.S. FIAMME AZZURRE,2 su- 1,Weinheim,03/02/2023
2.26,,BETTINELLI Andrea,78,G.A. FIAMME GIALLE,2 su- 1,Ancona,20/02/2005
2.26,,CAMPIOLI Filippo,82,C.S. ESERCITO,1 fi- 2,Hirson,27/01/2007
2.26,,CAMPIOLI Filippo,82,C.S. ESERCITO,1 su- 1,Genova,24/02/2008
2.26,,FASSINOTTI Marco,89,C.S. AERONAUTICA MILITARE,2 su- 1,Ancona,26/02/2012
2.26,,CAMPIOLI Filippo,82,C.S. ESERCITO,3 su- 1,Ancona,26/02/2012
2.26,,FASSINOTTI Marco,89,C.S. AERONAUTICA MILITARE,1 su- 1,Brno,11/02/2014
2.26,,LEMMI Andrea,84,G.A. FIAMME GIALLE,1 su- 1,Lucca,24/01/2015
2.26,,TAMBERI Gianmarco,92,G.A. FIAMME GIALLE,4 su- 1,Karlsruhe,02/02/2019
2.26,,SOTTILE Stefano,98,G.S. FIAMME AZZURRE,1 su- 1,Ancona,19/02/2023
2.25,,CIOTTI Nicola,76,C.S. CARABINIERI SEZ. ATLETICA,7 su- 1,Banska Bystrica,08/02/2005
2.25,,CIOTTI Giulio,76,G.S. FIAMME AZZURRE,4 su- 1,Bucarest,05/02/2006
2.25,,CIOTTI Nicola,76,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Ancona,19/02/2006
2.25,,CIOTTI Giulio,76,G.S. FIAMME AZZURRE,2 su- 1,Ancona,19/02/2006
2.25,,CIOTTI Nicola,76,C.S. CARABINIERI SEZ. ATLETICA,6 fi- 1,Bucarest,09/02/2007
2.25,,CAMPIOLI Filippo,82,C.S. ESERCITO,1 su- 1,Ancona,02/02/2008
2.25,,CIOTTI Nicola,76,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Tampere,07/02/2009
2.25,,TALOTTI Alessandro,80,C.S. CARABINIERI SEZ. ATLETICA,2 su- 1,Torino,22/02/2009
2.25,,CIOTTI Giulio,76,G.S. FIAMME AZZURRE,3 su- 1,Torino,22/02/2009
2.25,,CIOTTI Nicola,76,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Ancona,20/02/2011
2.25,,CAMPIOLI Filippo,82,C.S. ESERCITO,5 su- 1,Trinec,30/01/2012
2.25,,CHESANI Silvano,88,G.S. FIAMME ORO PADOVA,7 su- 1,Banska Bystrica,08/02/2012
2.25,,FASSINOTTI Marco,89,C.S. AERONAUTICA MILITARE,7 qu- 1,Sopot,08/03/2014
2.25,,CHESANI Silvano,88,G.S. FIAMME ORO PADOVA,12 se- 1,Banska Bystrica,04/02/2015
