Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
17.73,,DONATO Fabrizio,76,G.A. FIAMME GIALLE,2 fi- 1,Parigi,06/03/2011
17.70,,GRECO Daniele,89,G.S. FIAMME ORO PADOVA,1 fi- 1,Goteborg,02/03/2013
17.59,,DONATO Fabrizio,76,G.A. FIAMME GIALLE,1 fi- 1,Torino,07/03/2009
17.42,,DONATO Fabrizio,76,G.A. FIAMME GIALLE,1 su- 1,Torino,22/02/2009
17.39,,DONATO Fabrizio,76,G.A. FIAMME GIALLE,1 su- 1,Ancona,28/02/2010
17.33,+0.0,DONATO Fabrizio,76,G.A. FIAMME GIALLE,1 su- 1,Ancona,05/02/2006
17.28,,DONATO Fabrizio,76,G.A. FIAMME GIALLE,4 fi- 1,Istanbul,11/03/2012
17.28,,GRECO Daniele,89,G.S. FIAMME ORO PADOVA,5 fi- 1,Istanbul,11/03/2012
17.27,,DONATO Fabrizio,76,G.A. FIAMME GIALLE,4 fi- 1,Valencia,09/03/2008
17.26,,IHEMEJE Chiebuka emmanuel,98,ATL. ESTRADA,1 su- 1,Fayetteville,13/03/2021
17.24,+0.0,DONATO Fabrizio,76,G.A. FIAMME GIALLE,1 su- 1,Ancona,19/02/2006
17.24,,GRECO Daniele,89,G.S. FIAMME ORO PADOVA,1 su- 1,Ancona,21/01/2012
17.24,,DONATO Fabrizio,76,G.A. FIAMME GIALLE,1 su- 1,Lievin,14/02/2012
17.13,,DONATO Fabrizio,76,G.A. FIAMME GIALLE,2 fi- 1,Belgrado,05/03/2017
17.12,,SCHEMBRI Fabrizio,81,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Saronno,30/01/2009
17.09,,DIAZ HERNANDEZ Andy,95,ATL.LIBERTAS UNICUSANO LIVORNO,3 su- 1,Val-de-reuil,04/02/2023
17.07,,DONATO Fabrizio,76,G.A. FIAMME GIALLE,2 qu- 1,Istanbul,10/03/2012
17.07,,GRECO Daniele,89,G.S. FIAMME ORO PADOVA,1 su- 1,Ancona,02/02/2013
17.06,,DONATO Fabrizio,76,G.A. FIAMME GIALLE,1 su- 1,Genova,24/02/2008
17.04,+0.0,DONATO Fabrizio,76,G.A. FIAMME GIALLE,1 se- 1,Ancona,22/01/2006
17.03,,DONATO Fabrizio,76,G.A. FIAMME GIALLE,1 su- 1,Ancona,05/02/2011
17.00,,SCHEMBRI Fabrizio,81,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Ancona,20/02/2011
16.99,,DONATO Fabrizio,76,G.A. FIAMME GIALLE,4 qu- 1,Parigi,04/03/2011
16.99,,IHEMEJE Chiebuka emmanuel,98,C.S. AERONAUTICA MILITARE,1 su- 1,Fayetteville,28/01/2023
16.96,,DONATO Fabrizio,76,G.A. FIAMME GIALLE,5 qu- 1,Valencia,07/03/2008
16.95,,GRECO Daniele,89,G.S. FIAMME ORO PADOVA,1 su- 1,Ancona,13/02/2010
16.94,,GRECO Daniele,89,G.S. FIAMME ORO PADOVA,5 qu- 1,Istanbul,10/03/2012
16.94,,GRECO Daniele,89,G.S. FIAMME ORO PADOVA,1 qu- 1,Goteborg,01/03/2013
16.94,,DONATO Fabrizio,76,G.A. FIAMME GIALLE,1 su- 1,Ancona,18/02/2018
16.93,+0.0,DONATO Fabrizio,76,G.A. FIAMME GIALLE,1 su- 1,Ancona,18/02/2007
16.93,,SCHEMBRI Fabrizio,81,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Saronno,15/01/2011
16.92,,SCHEMBRI Fabrizio,81,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Saronno,01/02/2008
16.92,,DONATO Fabrizio,76,G.A. FIAMME GIALLE,4 fi- 1,Karlsruhe,15/02/2009
16.89,,BOCCHI Tobia,97,C.S. CARABINIERI SEZ. ATLETICA,4 su- 1,Lievin,09/02/2021
16.88,,DONATO Fabrizio,76,G.A. FIAMME GIALLE,5 fi- 1,Doha,14/03/2010
16.85,+0.0,CAMOSSI Paolo,74,G.S. FIAMME AZZURRE,2 su- 1,Ancona,19/02/2006
16.85,,CHIARI Andrea,91,ATL. RICCARDI MILANO,1 su- 1,Ancona,26/02/2012
16.83,,SCHEMBRI Fabrizio,81,C.S. CARABINIERI SEZ. ATLETICA,2 su- 1,Genova,24/02/2008
16.83,,GRECO Daniele,89,G.S. FIAMME ORO PADOVA,2 su- 1,Torino,22/02/2009
16.83,,IHEMEJE Chiebuka emmanuel,98,ATL. ESTRADA,1 su- 1,Birmingham,12/03/2022
16.83,,BOCCHI Tobia,97,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Ancona,19/02/2023
16.82,,DONATO Fabrizio,76,G.A. FIAMME GIALLE,5 qu- 1,Doha,12/03/2010
16.82,,SCHEMBRI Fabrizio,81,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Ancona,05/03/2016
16.79,,BOCCHI Tobia,97,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Ancona,21/02/2021
16.78,,SCHEMBRI Fabrizio,81,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Ancona,22/02/2014
16.76,,FORTE Simone,96,G.A. FIAMME GIALLE,1 su- 1,Ancona,17/02/2019
16.76,,DALLAVALLE Andrea,99,G.A. FIAMME GIALLE,1 su- 1,Modena,05/02/2023
16.75,,GRECO Daniele,89,G.S. FIAMME ORO PADOVA,7 qu- 1,Parigi,04/03/2011
16.74,,DONATO Fabrizio,76,G.A. FIAMME GIALLE,2 su- 1,Ancona,05/03/2016
16.73,,CAMOSSI Paolo,74,G.S. FIAMME AZZURRE,3 su- 1,Genova,24/02/2008
16.72,,SCHEMBRI Fabrizio,81,C.S. CARABINIERI SEZ. ATLETICA,5 fi- 1,Lievin,08/02/2011
16.72,,DONATO Fabrizio,76,G.A. FIAMME GIALLE,2 su- 1,Ancona,17/02/2019
16.71,+0.0,DONATO Fabrizio,76,G.A. FIAMME GIALLE,1 su- 1,Ancona,11/02/2007
16.71,,SCHEMBRI Fabrizio,81,C.S. CARABINIERI SEZ. ATLETICA,2 su- 1,Ancona,26/02/2012
16.71,,DONATO Fabrizio,76,G.A. FIAMME GIALLE,1 su- 1,Ancona,21/02/2016
16.71,,BOCCHI Tobia,97,C.S. CARABINIERI SEZ. ATLETICA,3 su- 1,Ancona,17/02/2019
16.70,,DONATO Fabrizio,76,G.A. FIAMME GIALLE,1 su- 1,Ancona,31/01/2015
16.70,,DONATO Fabrizio,76,G.A. FIAMME GIALLE,8 qu- 1,Belgrado,03/03/2017
16.69,,IHEMEJE Chiebuka emmanuel,98,ATL. ESTRADA,1 su- 1,Chicago,12/02/2022
16.68,+0.0,SARDANO Emanuele,79,C.S. CARABINIERI SEZ. ATLETICA,3 su- 1,Ancona,19/02/2006
16.65,+0.0,MORELLO Salvatore,74,A.S.D. C.U.S. PALERMO,1 su- 1,Ancona,20/02/2005
16.65,,DONATO Fabrizio,76,G.A. FIAMME GIALLE,5 qu- 1,Torino,06/03/2009
16.65,,SCHEMBRI Fabrizio,81,C.S. CARABINIERI SEZ. ATLETICA,99 su- 1,Saronno,21/02/2010
16.65,,GRECO Daniele,89,G.S. FIAMME ORO PADOVA,2 su- 1,Ancona,20/02/2011
16.65,,BONI Michele,81,C.S. AERONAUTICA MILITARE,1 su- 1,Ancona,19/01/2013
16.65,,GRECO Daniele,89,G.S. FIAMME ORO PADOVA,1 su- 1,Ancona,01/02/2014
16.65,,BOCCHI Tobia,97,C.S. CARABINIERI SEZ. ATLETICA,4 fi- 1,Torun,07/03/2021
16.64,+0.0,CAMOSSI Paolo,74,G.S. FIAMME AZZURRE,2 su- 1,Ancona,05/02/2006
16.64,,FORTE Simone,96,G.A. FIAMME GIALLE,6 qu- 1,Glasgow,01/03/2019
16.62,,FORTE Simone,96,G.A. FIAMME GIALLE,3 su- 1,Ancona,05/03/2016
