Prest.,Vento,Atleta,Anno,Società,Città,Data
14.65,+0.7,SCOPEL Gioia,02,ANA ATL.FELTRE,Padova,22/05/2021
14.71,+2.5,SCOPEL Gioia,02,ANA ATL.FELTRE,Cleveland,06/05/2023
14.74,+1.3,SCOPEL Gioia,02,ANA ATL.FELTRE,Firenze,11/06/2022
14.75,+3.1,SCOPEL Gioia,02,ANA ATL.FELTRE,Agordo,22/08/2020
14.76,+1.1,SCOPEL Gioia,02,ANA ATL.FELTRE,Grosseto,12/06/2021
14.79,+1.4,SCOPEL Gioia,02,ANA ATL.FELTRE,Modena,25/04/2022
14.80,+0.7,SCOPEL Gioia,02,ANA ATL.FELTRE,Venezia,29/05/2021
14.82,-0.7,SCOPEL Gioia,02,ANA ATL.FELTRE,Padova,14/05/2022
14.85,,SCOPEL Gioia,02,ANA ATL.FELTRE,Bergamo,03/07/2021
14.85,+0.4,SCOPEL Gioia,02,ANA ATL.FELTRE,Jonesboro,22/04/2023
14.87,+0.0,SCOPEL Gioia,02,ANA ATL.FELTRE,Clinton,28/04/2023
14.89,-0.4,SCOPEL Gioia,02,ANA ATL.FELTRE,Bolzano,21/05/2022
14.91,-1.1,SCOPEL Gioia,02,ANA ATL.FELTRE,Vicenza,01/06/2019
14.91,-0.8,SCOPEL Gioia,02,ANA ATL.FELTRE,Vicenza,15/05/2021
14.98,-0.8,SCOPEL Gioia,02,ANA ATL.FELTRE,Bolzano,05/06/2021
14.98,-0.1,SCOPEL Gioia,02,ANA ATL.FELTRE,Verona,11/09/2021
15.08,-0.4,SCOPEL Gioia,02,ANA ATL.FELTRE,Bolzano,02/06/2022
15.13,+1.1,SCOPEL Gioia,02,ANA ATL.FELTRE,Vicenza,11/07/2020
15.14,+0.1,SCOPEL Gioia,02,ANA ATL.FELTRE,Modena,08/09/2021
15.24,-0.9,SCOPEL Gioia,02,ANA ATL.FELTRE,Vicenza,08/05/2021
15.27,-0.4,SCOPEL Gioia,02,ANA ATL.FELTRE,Majano,25/04/2021
15.29,+0.0,SCOPEL Gioia,02,ANA ATL.FELTRE,Grosseto,19/09/2020
15.30,-3.3,SCOPEL Gioia,02,ANA ATL.FELTRE,Vittorio Veneto,28/05/2022
15.30,-1.6,SCOPEL Gioia,02,ANA ATL.FELTRE,Trieste,24/07/2022
15.33,+0.1,SCOPEL Gioia,02,ANA ATL.FELTRE,Vittorio Veneto,04/07/2020
15.42,-1.5,SCOPEL Gioia,02,ANA ATL.FELTRE,Mestre,05/09/2020
15.42,-1.6,SCOPEL Gioia,02,ANA ATL.FELTRE,Caorle,27/05/2023
15.47,+0.2,SCOPEL Gioia,02,ANA ATL.FELTRE,Mestre,19/07/2020
15.49,-1.1,SCOPEL Gioia,02,ANA ATL.FELTRE,San Biagio Di Callalta,11/05/2019
16.14,+0.6,DE PAOLI Camilla,05,ANA ATL.FELTRE,Borgo Valbelluna,06/06/2023
