Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
37:54,,TONIN Francesca,94,ANA ATL.FELTRE,1 su- 1,Feltre,25/08/2018
38:17,,TONIN Francesca,94,ANA ATL.FELTRE,8 su- 1,Vicenza,18/03/2018
39:54,,TONIN Francesca,94,ANA ATL.FELTRE,36 su- 1,Alberobello,01/09/2018
40:04,,TONIN Francesca,94,ANA ATL.FELTRE,5 su- 1,Bassano Del Grappa,01/07/2018
40:56,,TONIN Francesca,94,ANA ATL.FELTRE,1 su- 1,Feltre,26/08/2017
43:08,,DE BACCO Letizia,87,ANA ATL.FELTRE,22 su- 1,Camisano,11/05/2019
44:55,,DE BACCO Letizia,87,ANA ATL.FELTRE,59 su- 1,Trieste,18/11/2018
45:45,,MACCAGNAN Rossella susanna,86,ANA ATL.FELTRE,19 su- 1,Feltre,28/08/2021
46:07,,DUCATI Marianna,85,ANA ATL.FELTRE,8 su- 1,Feltre,26/08/2017
46:32,,MACCAGNAN Rossella susanna,86,ANA ATL.FELTRE,27 su- 1,Bardolino,17/10/2021
47:13,,DE SIMOI Genny,78,ANA ATL.FELTRE,18 su- 1,Feltre,31/08/2019
48:55,,DAL MOLIN Monica,67,ANA ATL.FELTRE,14 su- 1,Feltre,25/08/2018
53:44,,TONIOLO Maria,59,ANA ATL.FELTRE,25 su- 1,Feltre,31/08/2019
