Prest.,Vento,Atleta,Anno,Società,Città,Data
32.85,,TAMBURLIN Anna,00,ANA ATL.FELTRE,Bussolengo,27/05/2018
32.85,,TAMBURLIN Anna,00,ANA ATL.FELTRE,Bussolengo,27/05/2018
30.47,,TAMBURLIN Anna,00,ANA ATL.FELTRE,Arzignano,08/07/2018
30.47,,TAMBURLIN Anna,00,ANA ATL.FELTRE,Arzignano,08/07/2018
29.74,,SAIONI Chiara,94,ANA ATL.FELTRE,Bastia Umbra,12/06/2011
29.74,,SAIONI Chiara,94,ANA ATL.FELTRE,Bastia Umbra,12/06/2011
29.53,,TAMBURLIN Anna,00,ANA ATL.FELTRE,Caorle,06/05/2018
29.53,,TAMBURLIN Anna,00,ANA ATL.FELTRE,Caorle,06/05/2018
28.20,,SAIONI Chiara,94,ANA ATL.FELTRE,Verona,30/05/2010
28.20,,SAIONI Chiara,94,ANA ATL.FELTRE,Verona,30/05/2010
28.19,,SAIONI Chiara,94,ANA ATL.FELTRE,Bassano Del Grappa,18/09/2011
28.19,,SAIONI Chiara,94,ANA ATL.FELTRE,Bassano Del Grappa,18/09/2011
28.05,,SAIONI Chiara,94,ANA ATL.FELTRE,Trento,14/09/2010
28.05,,SAIONI Chiara,94,ANA ATL.FELTRE,Trento,14/09/2010
27.96,,SAIONI Chiara,94,ANA ATL.FELTRE,Rovigo,08/05/2011
27.96,,SAIONI Chiara,94,ANA ATL.FELTRE,Rovigo,08/05/2011
27.76,,SAIONI Chiara,94,ANA ATL.FELTRE,Mogliano Veneto,19/09/2010
27.76,,SAIONI Chiara,94,ANA ATL.FELTRE,Mogliano Veneto,19/09/2010
26.91,,SAIONI Chiara,94,ANA ATL.FELTRE,Montebelluna,01/05/2011
26.91,,SAIONI Chiara,94,ANA ATL.FELTRE,Montebelluna,01/05/2011
26.65,,SAIONI Chiara,94,ANA ATL.FELTRE,Treviso,17/04/2011
26.65,,SAIONI Chiara,94,ANA ATL.FELTRE,Treviso,17/04/2011
26.44,,SAIONI Chiara,94,ANA ATL.FELTRE,Belluno,14/07/2011
26.44,,SAIONI Chiara,94,ANA ATL.FELTRE,Belluno,14/07/2011
26.10,,SAIONI Chiara,94,ANA ATL.FELTRE,San Giovanni Lupatoto,02/07/2011
26.10,,SAIONI Chiara,94,ANA ATL.FELTRE,San Giovanni Lupatoto,02/07/2011
26.04,,SAIONI Chiara,94,ANA ATL.FELTRE,Belluno,16/10/2010
26.04,,SAIONI Chiara,94,ANA ATL.FELTRE,Belluno,16/10/2010
25.88,,TAMBURLIN Anna,00,ANA ATL.FELTRE,Agordo,22/05/2016
25.88,,TAMBURLIN Anna,00,ANA ATL.FELTRE,Agordo,22/05/2016
25.87,,SAIONI Chiara,94,ANA ATL.FELTRE,Belluno,10/04/2010
25.87,,SAIONI Chiara,94,ANA ATL.FELTRE,Belluno,10/04/2010
25.37,,SAIONI Chiara,94,ANA ATL.FELTRE,Trento,21/09/2011
25.37,,SAIONI Chiara,94,ANA ATL.FELTRE,Trento,21/09/2011
25.14,,SAIONI Chiara,94,ANA ATL.FELTRE,Mestre,09/05/2010
25.14,,SAIONI Chiara,94,ANA ATL.FELTRE,Mestre,09/05/2010
25.12,,SAIONI Chiara,94,ANA ATL.FELTRE,Padova,11/02/2012
25.12,,SAIONI Chiara,94,ANA ATL.FELTRE,Padova,11/02/2012
24.65,,SAIONI Chiara,94,ANA ATL.FELTRE,Vicenza,22/05/2011
24.65,,SAIONI Chiara,94,ANA ATL.FELTRE,Vicenza,22/05/2011
24.59,,TAMBURLIN Anna,00,ANA ATL.FELTRE,Padova,25/04/2016
24.59,,TAMBURLIN Anna,00,ANA ATL.FELTRE,Padova,25/04/2016
24.30,,PIOLO Carlotta,06,ANA ATL.FELTRE,Montebelluna,13/07/2022
24.30,,PIOLO Carlotta,06,ANA ATL.FELTRE,Montebelluna,13/07/2022
24.26,,SAIONI Chiara,94,ANA ATL.FELTRE,Marcon,06/05/2012
24.26,,SAIONI Chiara,94,ANA ATL.FELTRE,Marcon,06/05/2012
24.15,,PIOLO Carlotta,06,ANA ATL.FELTRE,Padova,15/05/2022
24.15,,PIOLO Carlotta,06,ANA ATL.FELTRE,Padova,15/05/2022
23.97,,SAIONI Chiara,94,ANA ATL.FELTRE,Treviso,18/04/2010
23.97,,SAIONI Chiara,94,ANA ATL.FELTRE,Treviso,18/04/2010
23.18,,SAIONI Chiara,94,ANA ATL.FELTRE,Bassano Del Grappa,16/09/2012
23.18,,SAIONI Chiara,94,ANA ATL.FELTRE,Bassano Del Grappa,16/09/2012
23.12,,SAIONI Chiara,94,ANA ATL.FELTRE,Vicenza,20/05/2012
23.12,,SAIONI Chiara,94,ANA ATL.FELTRE,Vicenza,20/05/2012
16.76,,PAULETTI Alice,95,ANA ATL.FELTRE,Vicenza,22/05/2011
16.76,,PAULETTI Alice,95,ANA ATL.FELTRE,Vicenza,22/05/2011
11.52,,CESCATO Beatrice,93,ANA ATL.FELTRE,Treviso,18/04/2010
11.52,,CESCATO Beatrice,93,ANA ATL.FELTRE,Treviso,18/04/2010
9.26,,DALLA ROSA Silvia,93,ANA ATL.FELTRE,Rosa,24/05/2009
9.26,,DALLA ROSA Silvia,93,ANA ATL.FELTRE,Rosa,24/05/2009
