Prest.,Vento,Atleta,Anno,Società,Città,Data
5.12,-0.2,SCOPEL Gioia,02,ANA ATL.FELTRE,Udine,08/08/2020
5.12,-0.2,SCOPEL Gioia,02,ANA ATL.FELTRE,Udine,08/08/2020
5.11,-4.4,SCOPEL Gioia,02,ANA ATL.FELTRE,San Giovanni Lupatoto,14/04/2019
5.11,-0.2,SCOPEL Gioia,02,ANA ATL.FELTRE,Padova,25/04/2019
5.11,-4.4,SCOPEL Gioia,02,ANA ATL.FELTRE,San Giovanni Lupatoto,14/04/2019
5.11,-0.2,SCOPEL Gioia,02,ANA ATL.FELTRE,Padova,25/04/2019
5.05,+1.4,FONTANA Stefania,94,ANA ATL.FELTRE,Trento,13/05/2012
5.05,+2.1,DE PAOLI Camilla,05,ANA ATL.FELTRE,Cles,10/09/2022
5.05,+1.4,FONTANA Stefania,94,ANA ATL.FELTRE,Trento,13/05/2012
5.05,+2.1,DE PAOLI Camilla,05,ANA ATL.FELTRE,Cles,10/09/2022
5.03,,FONTANA Stefania,94,ANA ATL.FELTRE,Feltre,18/06/2011
5.03,+1.7,SCHENAL Anna,04,ANA ATL.FELTRE,Treviso,26/07/2020
5.03,,FONTANA Stefania,94,ANA ATL.FELTRE,Feltre,18/06/2011
5.03,+1.7,SCHENAL Anna,04,ANA ATL.FELTRE,Treviso,26/07/2020
5.02,+2.2,FONTANA Stefania,94,ANA ATL.FELTRE,Rovigo,08/05/2011
5.02,+2.2,FONTANA Stefania,94,ANA ATL.FELTRE,Rovigo,08/05/2011
5.00,+0.1,FONTANA Stefania,94,ANA ATL.FELTRE,Rovigo,08/05/2011
5.00,+0.1,FONTANA Stefania,94,ANA ATL.FELTRE,Rovigo,08/05/2011
4.93,,FONTANA Stefania,94,ANA ATL.FELTRE,Padova,18/05/2011
4.93,+1.4,FONTANA Stefania,94,ANA ATL.FELTRE,Vicenza,22/05/2011
4.93,,FONTANA Stefania,94,ANA ATL.FELTRE,Padova,18/05/2011
4.93,+1.4,FONTANA Stefania,94,ANA ATL.FELTRE,Vicenza,22/05/2011
4.92,+1.0,SCHENAL Anna,04,ANA ATL.FELTRE,Abano Terme,31/07/2020
4.92,+1.0,SCHENAL Anna,04,ANA ATL.FELTRE,Abano Terme,31/07/2020
4.91,-0.1,MARAZZINI Giulia,98,ANA ATL.FELTRE,Vicenza,03/05/2015
4.91,-0.1,MARAZZINI Giulia,98,ANA ATL.FELTRE,Vicenza,03/05/2015
4.90,+0.4,FONTANA Stefania,94,ANA ATL.FELTRE,Bastia Umbra,12/06/2011
4.90,+0.4,FONTANA Stefania,94,ANA ATL.FELTRE,Bastia Umbra,12/06/2011
4.88,,FONTANA Stefania,94,ANA ATL.FELTRE,Belluno,09/04/2011
4.88,,FONTANA Stefania,94,ANA ATL.FELTRE,Belluno,09/04/2011
4.83,-0.2,FONTANA Stefania,94,ANA ATL.FELTRE,Bassano Del Grappa,15/09/2012
4.83,+1.6,DE PAOLI Camilla,05,ANA ATL.FELTRE,Cles,10/09/2022
4.83,-0.2,FONTANA Stefania,94,ANA ATL.FELTRE,Bassano Del Grappa,15/09/2012
4.83,+1.6,DE PAOLI Camilla,05,ANA ATL.FELTRE,Cles,10/09/2022
4.82,,FONTANA Stefania,94,ANA ATL.FELTRE,Belluno,10/04/2010
4.82,-1.5,FONTANA Stefania,94,ANA ATL.FELTRE,Vicenza,15/04/2012
4.82,-1.7,SCOPEL Gioia,02,ANA ATL.FELTRE,San Giovanni Lupatoto,08/04/2018
4.82,+1.5,SCHENAL Anna,04,ANA ATL.FELTRE,Vicenza,09/05/2021
4.82,,FONTANA Stefania,94,ANA ATL.FELTRE,Belluno,10/04/2010
4.82,-1.5,FONTANA Stefania,94,ANA ATL.FELTRE,Vicenza,15/04/2012
4.82,-1.7,SCOPEL Gioia,02,ANA ATL.FELTRE,San Giovanni Lupatoto,08/04/2018
4.82,+1.5,SCHENAL Anna,04,ANA ATL.FELTRE,Vicenza,09/05/2021
4.81,-0.8,FONTANA Stefania,94,ANA ATL.FELTRE,Montebelluna,01/05/2011
4.81,-0.6,FONTANA Stefania,94,ANA ATL.FELTRE,San Giovanni Lupatoto,02/07/2011
