Prest.,Vento,Atleta,Anno,Società,Città,Data
13.36,+0.0,DAL PONT Rossella,88,ANA ATL.FELTRE,Cortina D Ampezzo,19/08/2005
13.49,-0.2,DAL PONT Rossella,88,ANA ATL.FELTRE,Conegliano,25/04/2005
13.3,+0.0,DAL PONT Rossella,88,ANA ATL.FELTRE,Belluno,23/04/2005
13.54,+0.0,DAL PONT Rossella,88,ANA ATL.FELTRE,Padova,01/05/2005
13.4,+0.0,DAL PONT Rossella,88,ANA ATL.FELTRE,Longarone,22/06/2005
13.4,+0.0,DAL PONT Rossella,88,ANA ATL.FELTRE,Feltre,28/08/2005
11.80,+2.8,DALLO Francesca,90,ANA ATL.FELTRE,Tunisi,05/08/2006
11.98,+0.2,DALLO Francesca,90,ANA ATL.FELTRE,Lignano Sabbiadoro,28/09/2006
12.05,+1.9,DALLO Francesca,90,ANA ATL.FELTRE,Lignano Sabbiadoro,27/09/2006
12.13,-0.1,DALLO Francesca,90,ANA ATL.FELTRE,Fano,07/10/2006
12.14,+0.4,DALLO Francesca,90,ANA ATL.FELTRE,Vicenza,27/05/2006
11.9,+0.6,DALLO Francesca,90,ANA ATL.FELTRE,Mestre Venezia,16/09/2006
12.17,-1.1,DALLO Francesca,90,ANA ATL.FELTRE,Fano,07/10/2006
12.18,+0.0,DALLO Francesca,90,ANA ATL.FELTRE,Tezze Sul Brenta,07/06/2006
12.40,-1.0,DALLO Francesca,90,ANA ATL.FELTRE,Vittorio Veneto,13/05/2006
12.42,-1.0,DALLO Francesca,90,ANA ATL.FELTRE,Conegliano,25/04/2006
12.65,-3.1,DALLO Francesca,90,ANA ATL.FELTRE,Lignano Sabbiadoro,26/09/2006
12.9,+0.0,DAL PONT Rossella,88,ANA ATL.FELTRE,Belluno,21/06/2006
12.23,+3.4,DALLO Francesca,90,ANA ATL.FELTRE,Cesenatico,06/10/2007
12.33,+0.6,DALLO Francesca,90,ANA ATL.FELTRE,Belgrado,23/07/2007
12.34,+0.9,DALLO Francesca,90,ANA ATL.FELTRE,Vicenza,12/05/2007
12.42,+1.2,DALLO Francesca,90,ANA ATL.FELTRE,Belgrado,23/07/2007
12.42,-0.6,DALLO Francesca,90,ANA ATL.FELTRE,Cesenatico,06/10/2007
12.48,-0.9,DALLO Francesca,90,ANA ATL.FELTRE,Vicenza,15/09/2007
13.01,-4.3,DALLO Francesca,90,ANA ATL.FELTRE,Pergine,07/07/2007
14.5,,GALLON Valentina,91,ANA ATL.FELTRE,Belluno,29/08/2007
13.92,-0.1,DE BASTIANI Silvia,92,ANA ATL.FELTRE,Piombino Dese,05/06/2008
13.96,-1.2,DE BASTIANI Silvia,92,ANA ATL.FELTRE,Abano Terme,24/05/2008
13.0,,FACCHIN Alessia,93,ANA ATL.FELTRE,Feltre,20/06/2009
13.1,,BERNARD Elisa,92,ANA ATL.FELTRE,Feltre,20/06/2009
13.5,,ZAETTA Chiara,92,ANA ATL.FELTRE,Feltre,26/08/2009
13.98,-1.0,BERNARD Elisa,92,ANA ATL.FELTRE,Rosa,23/05/2009
14.01,-0.2,BERNARD Elisa,92,ANA ATL.FELTRE,Conegliano,15/07/2009
13.8,,FACCHIN Alessia,93,ANA ATL.FELTRE,Feltre,26/08/2009
13.9,,BERNARD Elisa,92,ANA ATL.FELTRE,Feltre,26/08/2009
14.64,-1.0,ZATTA Alessia,93,ANA ATL.FELTRE,Rosa,23/05/2009
13.72,+0.4,ZAETTA Chiara,92,ANA ATL.FELTRE,Feltre,19/06/2010
13.91,,FONTANA Stefania,94,ANA ATL.FELTRE,Borgo Valsugana,23/05/2010
13.96,+0.6,FACCHIN Alessia,93,ANA ATL.FELTRE,Feltre,26/05/2010
14.04,+0.0,FACCHIN Alessia,93,ANA ATL.FELTRE,Feltre,26/05/2010
14.32,,POLIZZI Giuliana,94,ANA ATL.FELTRE,Borgo Valsugana,23/05/2010
14.2,,FACCHIN Alessia,93,ANA ATL.FELTRE,Belluno,10/04/2010
14.47,+0.6,POLIZZI Giuliana,94,ANA ATL.FELTRE,Feltre,26/05/2010
14.51,-0.9,DE MARCHI Veronica,94,ANA ATL.FELTRE,Mestre,08/05/2010
14.52,-0.5,POLIZZI Giuliana,94,ANA ATL.FELTRE,Verona,02/06/2010
14.3,,FONTANA Stefania,94,ANA ATL.FELTRE,Belluno,10/04/2010
14.59,+0.0,POLIZZI Giuliana,94,ANA ATL.FELTRE,Feltre,26/05/2010
14.60,-0.5,ZATTA Alessia,93,ANA ATL.FELTRE,Verona,02/06/2010
14.96,+0.0,POLIZZI Giuliana,94,ANA ATL.FELTRE,Rossano Veneto,05/09/2010
15.00,-0.3,POLIZZI Giuliana,94,ANA ATL.FELTRE,Mogliano Veneto,18/09/2010
15.0,,DE MARCHI Veronica,94,ANA ATL.FELTRE,Belluno,10/04/2010
13.30,+0.5,SPADA Silvia,95,ANA ATL.FELTRE,Feltre,18/06/2011
13.43,-0.5,CURIC Tea,95,ANA ATL.FELTRE,Bastia Umbra,11/06/2011
13.48,-0.5,SPADA Silvia,95,ANA ATL.FELTRE,Marcon,10/04/2011
13.48,+0.9,CURIC Tea,95,ANA ATL.FELTRE,Rovigo,07/05/2011
13.52,+0.5,CURIC Tea,95,ANA ATL.FELTRE,Feltre,18/06/2011
13.55,-0.2,CURIC Tea,95,ANA ATL.FELTRE,Vicenza,21/05/2011
13.5,,SPADA Silvia,95,ANA ATL.FELTRE,Feltre,27/08/2011
14.06,-1.3,CURIC Tea,95,ANA ATL.FELTRE,Marcon,10/04/2011
13.9,,CRIVELLER Ilaria,95,ANA ATL.FELTRE,Feltre,27/08/2011
14.24,-2.0,CRIVELLER Ilaria,95,ANA ATL.FELTRE,Marcon,10/04/2011
14.1,,FONTANA Stefania,94,ANA ATL.FELTRE,Feltre,27/08/2011
14.36,+0.2,FACCHIN Alessia,93,ANA ATL.FELTRE,Feltre,18/06/2011
14.71,+0.3,POLIZZI Giuliana,94,ANA ATL.FELTRE,Rovigo,07/05/2011
13.17,-0.3,CURIC Tea,95,ANA ATL.FELTRE,Vicenza,19/05/2012
13.24,-2.0,CURIC Tea,95,ANA ATL.FELTRE,Abano Terme,12/05/2012
13.1,,CURIC Tea,95,ANA ATL.FELTRE,Feltre,23/08/2012
13.57,+0.2,SPADA Silvia,95,ANA ATL.FELTRE,Quinto Di Treviso,04/07/2012
13.5,,CRIVELLER Ilaria,95,ANA ATL.FELTRE,Feltre,23/08/2012
13.79,+0.5,SPADA Silvia,95,ANA ATL.FELTRE,Bassano Del Grappa,15/09/2012
13.81,+1.3,CRIVELLER Ilaria,95,ANA ATL.FELTRE,Vicenza,15/04/2012
14.02,-0.4,BASSANI Rossella,96,ANA ATL.FELTRE,Abano Terme,12/05/2012
14.04,-0.3,CRIVELLER Ilaria,95,ANA ATL.FELTRE,Bassano Del Grappa,15/09/2012
14.62,+0.9,BASSANI Rossella,96,ANA ATL.FELTRE,Treviso,22/04/2012
14.64,-0.3,FACCHIN Alessia,93,ANA ATL.FELTRE,Bassano Del Grappa,15/09/2012
15.45,-0.3,PELLINI Giulia,96,ANA ATL.FELTRE,Bassano Del Grappa,15/09/2012
13.26,+3.3,SPADA Silvia,95,ANA ATL.FELTRE,Marcon,11/05/2013
13.31,+3.3,CURIC Tea,95,ANA ATL.FELTRE,Marcon,11/05/2013
13.50,+2.4,CRIVELLER Ilaria,95,ANA ATL.FELTRE,Marcon,11/05/2013
13.58,+2.7,DALLA BALLA Marta,97,ANA ATL.FELTRE,Marcon,11/05/2013
13.71,+0.3,DALLA BALLA Marta,97,ANA ATL.FELTRE,Conegliano,07/06/2013
13.77,+0.1,CRIVELLER Ilaria,95,ANA ATL.FELTRE,Feltre,22/06/2013
13.6,,SPADA Silvia,95,ANA ATL.FELTRE,Feltre,13/04/2013
13.84,+0.3,CRIVELLER Ilaria,95,ANA ATL.FELTRE,Conegliano,07/06/2013
13.89,+0.1,DALLA BALLA Marta,97,ANA ATL.FELTRE,Feltre,22/06/2013
14.27,+3.4,FACCHIN Alessia,93,ANA ATL.FELTRE,Marcon,11/05/2013
14.28,+0.1,STRAPPAZZON Irene,96,ANA ATL.FELTRE,Conegliano,07/06/2013
14.58,-0.6,STRAPPAZZON Irene,96,ANA ATL.FELTRE,Montebelluna,04/05/2013
14.66,-1.0,STRAPPAZZON Irene,96,ANA ATL.FELTRE,Vicenza,18/05/2013
12.72,+1.2,BOTTEGA Samantha,94,ANA ATL.FELTRE,Trento,09/09/2014
12.8,,BOTTEGA Samantha,94,ANA ATL.FELTRE,Belluno,21/08/2014
13.20,-1.8,BOTTEGA Samantha,94,ANA ATL.FELTRE,Santa Cristina,30/08/2014
13.61,+0.6,ZABOT Alice,98,ANA ATL.FELTRE,Marcon,14/06/2014
13.5,,ZABOT Alice,98,ANA ATL.FELTRE,Rovigo,20/05/2014
13.6,,ZABOT Alice,98,ANA ATL.FELTRE,Feltre,23/09/2014
14.08,-1.0,ZABOT Alice,98,ANA ATL.FELTRE,Padova,20/09/2014
12.67,+1.3,BOTTEGA Samantha,94,ANA ATL.FELTRE,Bologna,16/05/2015
12.71,-0.6,BOTTEGA Samantha,94,ANA ATL.FELTRE,Codroipo,02/06/2015
12.72,-0.7,BOTTEGA Samantha,94,ANA ATL.FELTRE,Rovigo,06/06/2015
12.74,+0.2,BOTTEGA Samantha,94,ANA ATL.FELTRE,Trieste,31/05/2015
12.77,+0.4,BOTTEGA Samantha,94,ANA ATL.FELTRE,Conegliano,24/06/2015
12.98,-0.4,BOTTEGA Samantha,94,ANA ATL.FELTRE,Palmanova,01/05/2015
13.71,+0.1,ZABOT Alice,98,ANA ATL.FELTRE,Feltre,20/06/2015
13.98,-0.6,ZABOT Alice,98,ANA ATL.FELTRE,Marcon,09/05/2015
14.13,-0.9,MALACARNE Veronica,99,ANA ATL.FELTRE,Vicenza,02/05/2015
14.42,+0.8,VIECELI Gloria,99,ANA ATL.FELTRE,Vicenza,02/05/2015
14.56,-2.7,FILOSA Annalisa,99,ANA ATL.FELTRE,Caprino Veronese,27/06/2015
13.99,-1.8,RENTO Ilaria,01,ANA ATL.FELTRE,Caorle,27/05/2017
14.37,+0.9,PARTELI Elena,00,ANA ATL.FELTRE,Feltre,23/08/2017
14.82,+1.3,DALLA CORTE Giada,01,ANA ATL.FELTRE,Feltre,23/08/2017
14.87,-0.1,DALLA CORTE Giada,01,ANA ATL.FELTRE,Vicenza,13/05/2017
13.05,+1.0,DALLA SANTA Angela,99,ANA ATL.FELTRE,Bussolengo,26/05/2018
13.16,+0.9,DALLA SANTA Angela,99,ANA ATL.FELTRE,Feltre,31/08/2018
