Prest.,Vento,Atleta,Anno,Società,Città,Data
19.3,+0.0,DALLO Francesca,90,ANA ATL.FELTRE,Pous D Alpago,08/04/2006
21.23,-0.8,DE CARLI Alessandra,01,ANA ATL.FELTRE,Rovereto,22/04/2017
21.31,,GIACOMIN Gaia,03,ANA ATL.FELTRE,Rovereto,14/04/2019
19.5,-3.9,SCOPEL Gioia,02,ANA ATL.FELTRE,Feltre,26/03/2022
20.1,-1.2,SCHENAL Anna,04,ANA ATL.FELTRE,Feltre,26/03/2022
20.2,-3.9,BARP Anna asia,04,ANA ATL.FELTRE,Feltre,26/03/2022
20.4,-2.1,DE PAOLI Camilla,05,ANA ATL.FELTRE,Feltre,26/03/2022
20.5,-2.1,CASSOL Anita,05,ANA ATL.FELTRE,Feltre,26/03/2022
20.9,-2.1,COLUSSI Ilary,06,ANA ATL.FELTRE,Feltre,26/03/2022
21.1,-1.2,RENTO Ilaria,01,ANA ATL.FELTRE,Feltre,26/03/2022
22.0,-1.2,COMIOTTO Giada,06,ANA ATL.FELTRE,Feltre,26/03/2022
22.5,-1.2,DE BORTOLI Giulia,04,ANA ATL.FELTRE,Feltre,26/03/2022
