Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
2:14.89,,FANTINEL Ilaria,98,ANA ATL.FELTRE,2 se- 2,Trento,19/07/2016
2:14.9,,D'ALBERTO Arianna,00,ANA ATL.FELTRE,2 se- 1,Domegge Di Cadore,21/08/2021
2:19.79,,BOTTEGA Samantha,94,ANA ATL.FELTRE,3 se- 3,Pergine Valsugana,03/08/2014
2:19.84,,ROSSA Marilena,02,ANA ATL.FELTRE,4 se- 1,Grosseto,11/06/2021
2:20.67,,PAGANIN Agnese,03,ANA ATL.FELTRE,12 se- 1,Padova,22/05/2021
2:21.3,,DAL PONT Rossella,88,ANA ATL.FELTRE,2 se- 1,Puos D Alpago,11/06/2005
2:22.89,,ZAETTA Chiara,92,ANA ATL.FELTRE,2 su- 1,Feltre,26/05/2010
2:25.03,,STALLIVIERE Veronica,92,ANA ATL.FELTRE,5 se- 3,Trento,28/07/2009
2:25.13,,CORRENT Chiara,99,ANA ATL.FELTRE,3 se- 5,Trento,19/07/2016
2:25.65,,DA RIN DE MONEGO Beatrice,03,ANA ATL.FELTRE,1 se- 3,Vicenza,16/05/2021
2:26.30,,CHIESURIN Gioia,01,ANA ATL.FELTRE,7 se- 4,Venezia,30/05/2021
2:28.62,,COLUSSI Leila,06,ANA ATL.FELTRE,4 se- 2,Feltre,08/06/2022
2:29.38,,DALLA GASPERINA Nadia,98,ANA ATL.FELTRE,5 se- 1,Vedelago,13/09/2014
2:30.43,,BEE Nicole,91,ANA ATL.FELTRE,8 se- 3,Caorle,28/05/2023
2:30.73,,ROSSA Elena,04,ANA ATL.FELTRE,3 se- 3,Vittorio Veneto,29/05/2022
2:31.92,,NICOLETTO Giada,94,ANA ATL.FELTRE,9 su- 1,Bastia Umbra,12/06/2011
2:34.64,,DE SIMOI Genny,78,ANA ATL.FELTRE,4 se- 2,Borgo Valbelluna,06/06/2023
2:34.9,,DUCATI Marianna,85,ANA ATL.FELTRE,1 se- 1,Feltre,23/08/2012
2:35.18,,TONIN Francesca,94,ANA ATL.FELTRE,6 su- 1,Feltre,26/05/2010
2:35.31,,PERENZIN Alice,87,ANA ATL.FELTRE,4 se- 1,Piombino Dese,06/07/2005
2:35.62,,DALLA SANTA Alessia,01,ANA ATL.FELTRE,4 se- 2,Treviso,29/05/2019
2:38.34,,DALLA ROSA Silvia,93,ANA ATL.FELTRE,7 se- 6,Trento,31/07/2012
2:38.47,,FANTINEL Sara,05,ANA ATL.FELTRE,7 se- 1,Trento,19/07/2022
2:38.68,,STACH Marta,95,ANA ATL.FELTRE,2 se- 2,Vicenza,27/05/2012
2:41.21,,DE CARLI Matilde,05,ANA ATL.FELTRE,5 se- 3,Feltre,08/06/2022
2:42.31,,MENEGAZZO Silvia,07,ANA ATL.FELTRE,4 se- 3,Borgo Valbelluna,06/06/2023
2:45.37,,DE BACCO Emma,06,ANA ATL.FELTRE,9 se- 2,Borgo Valbelluna,06/06/2023
2:48.29,,BRUNELLI Diana,78,ANA ATL.FELTRE,9 se- 7,Trento,31/07/2012
2:52.02,,FANTINEL Mara,98,ANA ATL.FELTRE,3 se- 2,Rossano Veneto,07/09/2014
3:00.14,,CANOVA Nicol,01,ANA ATL.FELTRE,8 se- 4,San Biagio Di Callalta,12/05/2019
3:06.27,,ZABOT Gigliola,73,ANA ATL.FELTRE,5 se- 3,Borgo Valbelluna,06/06/2023
3:08.15,,ANGELETTI Serena,93,ANA ATL.FELTRE,7 se- 2,Rosa,24/05/2009
3:14.44,,LAKHDAR Nouhalia,96,ANA ATL.FELTRE,8 se- 1,Abano Terme,13/05/2012
