Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
1h22:39,,TONIN Francesca,94,ANA ATL.FELTRE,6 su- 1,Cittadella,17/12/2017
1h27:56,,SCHIEVENIN Federica,83,ANA ATL.FELTRE,22 su- 1,Cittadella,27/12/2015
1h32:41,,MENEGAT Francesca,95,ANA ATL.FELTRE,21 su- 1,Verona,17/11/2019
1h36:34,,VOLKOVA Svetlana,88,ANA ATL.FELTRE,32 su- 1,Iesolo,25/05/2019
1h36:57,,MACCAGNAN Rossella susanna,86,ANA ATL.FELTRE,23 su- 1,San Biagio Di Callalta,07/11/2021
1h37:08,,ZABOT Gigliola,73,ANA ATL.FELTRE,47 su- 1,Riva Del Garda,08/11/2015
1h40:16,,DALLA BALLA Marta,97,ANA ATL.FELTRE,231 su- 1,Reggio Nell'emilia,26/03/2023
1h40:42,,ARBOIT Diletta,96,ANA ATL.FELTRE,30 su- 1,Jesolo,26/06/2021
1h46:57,,ZULLIAN Anna,81,ANA ATL.FELTRE,806 su- 1,Treviso,14/10/2018
1h48:13,,TONIOLO Maria,59,ANA ATL.FELTRE,314 su- 1,Pordenone,30/09/2018
1h50:31,,LOAT Cinzia,75,ANA ATL.FELTRE,741 su- 1,Palmanova,27/11/2022
1h51:47,,BRANDALISE Chiara,73,ANA ATL.FELTRE,12 su- 1,Brugnera,15/03/2015
1h51:51,,BOITO Chiara,75,ANA ATL.FELTRE,354 su- 1,Verona,12/02/2017
1h52:32,,DEON Nadia,65,ANA ATL.FELTRE,411 su- 1,Palermo,19/11/2017
1h54:00,,D'INCA' Nicoletta,67,ANA ATL.FELTRE,225 su- 1,Treviso,08/10/2017
1h56:01,,SCHIEVENIN Magali,68,ANA ATL.FELTRE,134 su- 1,Lignano Sabbiadoro,11/06/2016
2h03:47,,MANFROI Laura,67,ANA ATL.FELTRE,410 su- 1,Verona,15/11/2015
2h03:48,,FAVARETTO Paola,64,ANA ATL.FELTRE,413 su- 1,Verona,15/11/2015
2h03:48,,FRANZOIA Emanuela,70,ANA ATL.FELTRE,411 su- 1,Verona,15/11/2015
2h03:54,,PAULETTI Elena,68,ANA ATL.FELTRE,420 su- 1,Verona,15/11/2015
2h07:40,,FAJETI Fausta,61,ANA ATL.FELTRE,232 su- 1,Bibione,06/05/2018
2h34:43,,ZAETTA Serena,79,ANA ATL.FELTRE,1821 su- 1,Verona,14/02/2016
