Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
7.17,,SIRAGNA Lorenzo,01,ANA ATL.FELTRE,1 fi- 3,Udine,27/01/2019
7.17,,ZIVOJINOVIC Milan,01,ANA ATL.FELTRE,2 fi- 3,Udine,27/01/2019
7.17,,SIRAGNA Lorenzo,01,ANA ATL.FELTRE,7 ba- 5,Ancona,02/02/2019
7.21,,ZIVOJINOVIC Milan,01,ANA ATL.FELTRE,1 ba- 5,Padova,31/01/2021
7.24,,DALLA SEGA Andrea,95,ANA ATL.FELTRE,2 ba- 1,Modena,11/03/2012
7.24,,DALLA SEGA Andrea,95,ANA ATL.FELTRE,2 fi- 1,Modena,11/03/2012
7.24,,ZIVOJINOVIC Milan,01,ANA ATL.FELTRE,3 ba- 2,Udine,27/01/2019
7.25,,DALLA SEGA Andrea,95,ANA ATL.FELTRE,2 ba- 1,Pergine Valsugana,04/02/2012
7.25,,ROLDO Demis,85,ANA ATL.FELTRE,3 fi- 2,Padova,05/01/2019
7.26,,ZIVOJINOVIC Milan,01,ANA ATL.FELTRE,2 ba- 1,Padova,26/01/2020
7.26,,ZIVOJINOVIC Milan,01,ANA ATL.FELTRE,7 ba- 2,Ancona,08/02/2020
7.26,,SIRAGNA Lorenzo,01,ANA ATL.FELTRE,4 ba- 5,Padova,13/02/2021
7.28,,DALLA SEGA Andrea,95,ANA ATL.FELTRE,3 ba- 6,Ancona,19/02/2012
7.28,,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,2 ba- 4,Padova,10/02/2019
7.28,,ZIVOJINOVIC Milan,01,ANA ATL.FELTRE,5 su- 1,Padova,15/02/2020
7.29,,DALLA SEGA Andrea,95,ANA ATL.FELTRE,8 sf- 1,Ancona,19/02/2012
7.29,,DALLA SEGA Andrea,95,ANA ATL.FELTRE,4 fi- 3,Padova,09/02/2013
7.29,,ROLDO Demis,85,ANA ATL.FELTRE,2 ba- 1,Padova,05/01/2019
7.30,,SIRAGNA Lorenzo,01,ANA ATL.FELTRE,3 ba- 9,Udine,27/01/2019
7.30,,ZABOT Julian,02,ANA ATL.FELTRE,4 ba- 5,Padova,18/01/2020
7.31,,TIREL Enrico,93,ANA ATL.FELTRE,2 ba- 9,Udine,12/02/2012
7.31,,SIRAGNA Lorenzo,01,ANA ATL.FELTRE,5 ba- 4,Padova,23/01/2021
7.32,,DALLA SEGA Andrea,95,ANA ATL.FELTRE,1 fi- 1,Padova,14/01/2012
7.32,,DALLA SEGA Andrea,95,ANA ATL.FELTRE,5 fi- 2,Pergine Valsugana,04/02/2012
7.32,,DALLA SEGA Andrea,95,ANA ATL.FELTRE,5 ba- 1,Padova,09/02/2013
7.32,,SIRAGNA Lorenzo,01,ANA ATL.FELTRE,3 ba- 9,Padova,21/01/2018
7.33,,MANISCALCHI Stefano,90,ANA ATL.FELTRE,2 ba- 4,Padova,24/01/2009
7.33,,MANISCALCHI Stefano,90,ANA ATL.FELTRE,2 ba- 3,Padova,07/02/2009
7.33,,ROLDO Demis,85,ANA ATL.FELTRE,5 ba- 3,Padova,10/02/2019
7.34,,DALLA SEGA Andrea,95,ANA ATL.FELTRE,3 ba- 8,Udine,27/01/2013
7.34,,ZABOT Julian,02,ANA ATL.FELTRE,1 ba- 1,Padova,26/01/2020
7.35,,MANISCALCHI Stefano,90,ANA ATL.FELTRE,2 fi- 2,Pergine Valsugana,06/02/2010
7.35,,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,3 fi- 2,Padova,11/02/2018
7.36,,TIREL Enrico,93,ANA ATL.FELTRE,8 fi- 3,Udine,12/02/2012
7.36,,SIRAGNA Lorenzo,01,ANA ATL.FELTRE,8 ba- 3,Padova,18/01/2020
7.37,,ZABOT Alex,98,ANA ATL.FELTRE,1 se- 4,Padova,11/01/2015
7.37,,ZABOT Julian,02,ANA ATL.FELTRE,3 fi- 1,Padova,03/02/2019
7.37,,ZABOT Julian,02,ANA ATL.FELTRE,4 ba- 1,Padova,03/02/2019
7.37,,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,8 fi- 3,Padova,10/02/2019
7.38,,MANISCALCHI Stefano,90,ANA ATL.FELTRE,2 ba- 1,Pergine,16/02/2008
7.38,,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,4 se- 2,Padova,10/01/2016
7.38,,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,4 ba- 8,Padova,22/01/2017
7.39,,MANISCALCHI Stefano,90,ANA ATL.FELTRE,6 ba- 3,Genova,25/02/2007
7.39,,MANISCALCHI Stefano,90,ANA ATL.FELTRE,6 fi- 1,Udine,09/01/2010
7.39,,DALLA SEGA Andrea,95,ANA ATL.FELTRE,4 ba- 1,Padova,12/01/2013
7.39,,ZABOT Julian,02,ANA ATL.FELTRE,7 ba- 5,Padova,13/02/2021
7.40,,SIRAGNA Lorenzo,01,ANA ATL.FELTRE,2 ba- 1,Padova,07/01/2018
7.40,,ZABOT Julian,02,ANA ATL.FELTRE,7 ba- 4,Padova,10/02/2019
7.41,,MANISCALCHI Stefano,90,ANA ATL.FELTRE,6 fi- 1,Pergine,16/02/2008
7.41,,ZABOT Julian,02,ANA ATL.FELTRE,7 ba- 6,Padova,31/01/2021
7.42,,MANISCALCHI Stefano,90,ANA ATL.FELTRE,4 ba- 5,Pergine Valsugana,06/02/2010
7.42,,DALLA SEGA Andrea,95,ANA ATL.FELTRE,1 ba- 9,Padova,14/01/2012
7.42,,DALLA SEGA Andrea,95,ANA ATL.FELTRE,1 ba- 3,Udine,22/01/2012
7.42,,ZABOT Julian,02,ANA ATL.FELTRE,2 ba- 6,Padova,07/01/2018
7.43,,MANISCALCHI Stefano,90,ANA ATL.FELTRE,1 ba- 2,Udine,09/01/2010
7.43,,MANISCALCHI Stefano,90,ANA ATL.FELTRE,3 ba- 2,Padova,18/01/2014
7.43,,ZABOT Julian,02,ANA ATL.FELTRE,5 ba- 3,Padova,04/01/2020
7.44,,MANISCALCHI Stefano,90,ANA ATL.FELTRE,6 ba- 4,Padova,25/01/2014
7.44,,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,2 se- 8,Padova,11/01/2015
7.44,,ZABOT Alex,98,ANA ATL.FELTRE,2 ba- 5,Padova,18/01/2015
7.44,,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,3 ba- 1,Padova,11/02/2018
7.44,,MARIN Pietro,01,ANA ATL.FELTRE,3 ba- 1,Padova,05/01/2019
7.44,,ZABOT Julian,02,ANA ATL.FELTRE,3 ba- 4,Padova,05/01/2019
7.45,,MANISCALCHI Stefano,90,ANA ATL.FELTRE,1 fi- 3,Padova,19/01/2008
7.45,,MANISCALCHI Stefano,90,ANA ATL.FELTRE,5 se- 3,Padova,11/01/2015
7.45,,MANISCALCHI Stefano,90,ANA ATL.FELTRE,3 ba- 9,Padova,18/01/2015
7.45,,ZABOT Julian,02,ANA ATL.FELTRE,2 ba- 2,Padova,21/01/2018
7.45,,DALLA SEGA Davide,99,ANA ATL.FELTRE,4 ba- 5,Padova,21/01/2018
7.46,,ZABOT Julian,02,ANA ATL.FELTRE,4 ba- 1,Udine,27/01/2019
7.46,,ZABOT Julian,02,ANA ATL.FELTRE,8 ba- 4,Padova,23/01/2021
7.47,,MANISCALCHI Stefano,90,ANA ATL.FELTRE,3 ba- 2,Padova,19/01/2008
7.48,,MANISCALCHI Stefano,90,ANA ATL.FELTRE,2 ba- 6,Pergine,10/02/2007
7.48,,MARIN Pietro,01,ANA ATL.FELTRE,7 ba- 7,Padova,18/01/2020
7.49,,DALLA SEGA Davide,99,ANA ATL.FELTRE,4 ba- 5,Padova,08/01/2017
7.50,,MANISCALCHI Stefano,90,ANA ATL.FELTRE,2 ba- 6,Padova,20/01/2007
7.50,,AGOSTINETTO Isacco,99,ANA ATL.FELTRE,5 ba- 5,Padova,11/02/2018
7.51,,ZABOT Alex,98,ANA ATL.FELTRE,3 ba- 1,Padova,01/02/2015
7.51,,ZABOT Julian,02,ANA ATL.FELTRE,3 ba- 4,Padova,03/02/2018
7.53,,VELLO Michele,97,ANA ATL.FELTRE,4 se- 4,Padova,11/01/2015
7.54,,MANISCALCHI Stefano,90,ANA ATL.FELTRE,1 ba- 3,Padova,04/02/2006
7.54,,DALLA SEGA Andrea,95,ANA ATL.FELTRE,8 ba- 5,Padova,18/01/2014
7.54,,MARIN Pietro,01,ANA ATL.FELTRE,4 ba- 4,Padova,26/01/2020
7.55,,MANISCALCHI Stefano,90,ANA ATL.FELTRE,2 fi- 1,Padova,04/02/2006
7.55,,MANISCALCHI Stefano,90,ANA ATL.FELTRE,4 ba- 1,Pergine Valsugana,04/02/2012
7.55,,VELLO Michele,97,ANA ATL.FELTRE,2 ba- 1,Padova,18/01/2014
7.56,,MANISCALCHI Stefano,90,ANA ATL.FELTRE,7 se- 2,Padova,10/01/2016
7.56,,MARIN Pietro,01,ANA ATL.FELTRE,5 ba- 1,Udine,27/01/2019
7.58,,DALLA SEGA Davide,99,ANA ATL.FELTRE,7 ba- 3,Padova,23/01/2021
7.58,,SCOPEL Simone,06,ANA ATL.FELTRE,1 ba- 1,Padova,29/01/2023
7.59,,ZABOT Alex,98,ANA ATL.FELTRE,3 ba- 1,Padova,18/01/2014
7.59,,SIRAGNA Lorenzo,01,ANA ATL.FELTRE,6 ba- 5,Padova,08/01/2017
7.60,,DALLA CORTE Matteo,01,ANA ATL.FELTRE,7 ba- 6,Padova,23/01/2021
7.61,,MANISCALCHI Stefano,90,ANA ATL.FELTRE,3 fi- 1,Padova,21/01/2006
7.61,,VELLO Michele,97,ANA ATL.FELTRE,5 ba- 6,Padova,08/01/2017
7.62,,MANISCALCHI Stefano,90,ANA ATL.FELTRE,2 ba- 3,Padova,15/01/2011
7.63,,PARANI Aire,94,ANA ATL.FELTRE,3 ba- 3,Pergine Valsugana,06/02/2010
7.63,,AGOSTINETTO Isacco,99,ANA ATL.FELTRE,5 ba- 1,Padova,18/01/2015
7.64,,VELLO Michele,97,ANA ATL.FELTRE,4 ba- 2,Padova,22/01/2017
7.64,,MANISCALCHI Stefano,90,ANA ATL.FELTRE,6 ba- 2,Padova,03/02/2018
7.64,,DALLA CORTE Matteo,01,ANA ATL.FELTRE,6 ba- 8,Padova,13/02/2021
7.65,,DALLA CORTE Matteo,01,ANA ATL.FELTRE,4 ba- 1,Padova,18/01/2020
7.66,,DALLA CORTE Matteo,01,ANA ATL.FELTRE,3 ba- 1,Padova,26/01/2020
