Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
1:49.58,,PERCO Emilio,94,ANA ATL.FELTRE,1 su- 1,Ancona,02/03/2013
1:50.44,,PERCO Emilio,94,ANA ATL.FELTRE,1 se- 2,Linz,31/01/2013
1:50.64,,PERCO Emilio,94,ANA ATL.FELTRE,3 se- 4,Ancona,17/02/2013
1:50.92,,PERCO Emilio,94,ANA ATL.FELTRE,1 se- 2,Ancona,24/02/2013
1:52.34,,PERCO Emilio,94,ANA ATL.FELTRE,5 se- 3,Ancona,23/02/2014
1:54.53,,PERCO Emilio,94,ANA ATL.FELTRE,1 se- 1,Padova,25/01/2014
1:55.16,,PERCO Emilio,94,ANA ATL.FELTRE,3 se- 3,Ancona,09/02/2014
1:55.18,,COSTA Edgard,99,ANA ATL.FELTRE,5 se- 4,Ancona,04/02/2018
1:55.50,,COSTA Edgard,99,ANA ATL.FELTRE,7 se- 1,Padova,20/01/2018
1:55.96,,COSTA Edgard,99,ANA ATL.FELTRE,4 se- 3,Ancona,05/02/2017
1:56.44,,COSTA Edgard,99,ANA ATL.FELTRE,3 se- 1,Padova,13/01/2018
1:56.48,,COSTA Edgard,99,ANA ATL.FELTRE,1 se- 2,Padova,14/01/2017
1:56.84,,DE PAOLI Nicola,92,ANA ATL.FELTRE,1 se- 3,Padova,31/01/2015
1:56.97,,DE PAOLI Nicola,92,ANA ATL.FELTRE,2 se- 2,Padova,17/01/2015
1:57.01,,COSTA Edgard,99,ANA ATL.FELTRE,2 se- 3,Padova,21/01/2017
1:57.38,,POLESANA Filippo,00,ANA ATL.FELTRE,2 se- 3,Padova,05/02/2022
1:57.40,,COSTA Edgard,99,ANA ATL.FELTRE,1 se- 3,Padova,16/01/2016
1:57.44,,COSTA Edgard,99,ANA ATL.FELTRE,3 se- 4,Padova,30/01/2016
1:57.69,,COSTA Edgard,99,ANA ATL.FELTRE,9 se- 1,Padova,27/01/2018
1:57.81,,POLESANA Filippo,00,ANA ATL.FELTRE,3 se- 2,Padova,08/01/2022
1:58.78,,ROSSA Matteo,98,ANA ATL.FELTRE,6 se- 3,Padova,21/01/2017
1:59.86,,DAL SASSO Alberto,98,ANA ATL.FELTRE,1 se- 1,Padova,07/02/2015
2:00.15,,COSTA Edgard,99,ANA ATL.FELTRE,2 se- 9,Padova,17/01/2015
2:00.30,,PERCO Emilio,94,ANA ATL.FELTRE,7 se- 3,Ancona,08/02/2015
2:00.34,,COSTA Edgard,99,ANA ATL.FELTRE,2 se- 1,Padova,07/02/2015
2:00.57,,PERCO Emilio,94,ANA ATL.FELTRE,6 se- 2,Ancona,19/02/2012
2:00.82,,ROSSA Matteo,98,ANA ATL.FELTRE,3 se- 1,Padova,07/02/2015
2:00.98,,BONAN Marco,00,ANA ATL.FELTRE,1 se- 6,Padova,21/01/2017
2:02.78,,DEOLA Ruben iavor,00,ANA ATL.FELTRE,2 se- 7,Padova,21/01/2017
2:04.39,,BONAN Marco,00,ANA ATL.FELTRE,2 se- 7,Padova,30/01/2016
2:05.53,,DE BARBA Mattia,02,ANA ATL.FELTRE,5 se- 8,Padova,31/01/2021
2:06.13,,BONAN Marco,00,ANA ATL.FELTRE,2 se- 5,Padova,16/01/2016
2:07.13,,DE BARBA Mattia,02,ANA ATL.FELTRE,5 se- 7,Padova,19/01/2019
2:08.53,,DEOLA Ruben iavor,00,ANA ATL.FELTRE,2 se- 1,Padova,16/01/2016
2:08.65,,CORSO Lorenzo,99,ANA ATL.FELTRE,3 se- 6,Padova,16/01/2016
2:08.97,,DEOLA Ruben iavor,00,ANA ATL.FELTRE,3 se- 8,Padova,30/01/2016
2:11.75,,DE BARBA Mattia,02,ANA ATL.FELTRE,4 se- 7,Padova,04/02/2018
2:23.47,,DA RIN DE MONEGO Lorenzo,00,ANA ATL.FELTRE,7 se- 1,Padova,21/01/2017
2:33.23,,DA RIN DE MONEGO Lorenzo,00,ANA ATL.FELTRE,8 se- 9,Padova,30/01/2016
2:33.83,,DA RIN DE MONEGO Lorenzo,00,ANA ATL.FELTRE,7 se- 9,Padova,16/01/2016
