Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
3:56.82,,PERCO Emilio,94,ANA ATL.FELTRE,1 se- 1,Padova,19/01/2014
3:57.90,,DEOLA Ruben iavor,00,ANA ATL.FELTRE,6 su- 1,Ancona,05/02/2022
4:03.05,,POLESANA Filippo,00,ANA ATL.FELTRE,9 se- 1,Padova,12/02/2022
4:06.19,,COSTA Edgard,99,ANA ATL.FELTRE,3 su- 1,Padova,29/01/2017
4:10.02,,ROSSA Matteo,98,ANA ATL.FELTRE,3 se- 1,Padova,05/02/2017
4:22.21,,BONAN Marco,00,ANA ATL.FELTRE,8 se- 1,Padova,05/02/2017
4:30.14,,DE BARBA Mattia,02,ANA ATL.FELTRE,11 se- 3,Padova,24/01/2021
4:30.82,,DALLA PALMA Davide,90,ANA ATL.FELTRE,4 su- 1,Padova,07/02/2009
4:39.09,,POLESANA Giacomo,05,ANA ATL.FELTRE,6 se- 4,Padova,29/01/2022
4:47.39,,BRUSATI Alex,04,ANA ATL.FELTRE,4 se- 5,Padova,29/01/2022
4:51.27,,DA RIN DE MONEGO Lorenzo,00,ANA ATL.FELTRE,6 se- 4,Padova,05/02/2017
4:51.86,,FANTINEL Davide,05,ANA ATL.FELTRE,6 se- 5,Padova,29/01/2022
5:06.89,,PRIMOLAN Nicola,02,ANA ATL.FELTRE,10 se- 5,Padova,10/02/2019
