Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
7.17,,SIRAGNA Lorenzo,01,ANA ATL.FELTRE,1 fi- 3,Udine,27/01/2019
7.17,,ZIVOJINOVIC Milan,01,ANA ATL.FELTRE,2 fi- 3,Udine,27/01/2019
7.24,,DALLA SEGA Andrea,95,ANA ATL.FELTRE,2 ba- 1,Modena,11/03/2012
7.25,,ROLDO Demis,85,ANA ATL.FELTRE,3 fi- 2,Padova,05/01/2019
7.28,,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,2 ba- 4,Padova,10/02/2019
7.30,,ZABOT Julian,02,ANA ATL.FELTRE,4 ba- 5,Padova,18/01/2020
7.31,,TIREL Enrico,93,ANA ATL.FELTRE,2 ba- 9,Udine,12/02/2012
7.33,,MANISCALCHI Stefano,90,ANA ATL.FELTRE,2 ba- 4,Padova,24/01/2009
7.37,,ZABOT Alex,98,ANA ATL.FELTRE,1 se- 4,Padova,11/01/2015
7.44,,MARIN Pietro,01,ANA ATL.FELTRE,3 ba- 1,Padova,05/01/2019
7.45,,DALLA SEGA Davide,99,ANA ATL.FELTRE,4 ba- 5,Padova,21/01/2018
7.50,,AGOSTINETTO Isacco,99,ANA ATL.FELTRE,5 ba- 5,Padova,11/02/2018
7.53,,VELLO Michele,97,ANA ATL.FELTRE,4 se- 4,Padova,11/01/2015
7.58,,SCOPEL Simone,06,ANA ATL.FELTRE,1 ba- 1,Padova,29/01/2023
7.60,,DALLA CORTE Matteo,01,ANA ATL.FELTRE,7 ba- 6,Padova,23/01/2021
7.63,,PARANI Aire,94,ANA ATL.FELTRE,3 ba- 3,Pergine Valsugana,06/02/2010
7.68,,DE PAOLI Federico,02,ANA ATL.FELTRE,4 ba- 2,Padova,18/01/2020
7.78,,EL AOMARI Abderrahmane,78,ANA ATL.FELTRE,4 se- 2,Padova,11/02/2017
7.79,,BARBANTE Lorenzo,95,ANA ATL.FELTRE,3 ba- 8,Padova,14/01/2012
7.80,,MADONNA Donato,91,ANA ATL.FELTRE,3 se- 9,Padova,10/01/2016
7.85,,ZINGALE Giacomo,94,ANA ATL.FELTRE,5 ba- 7,Pergine Valsugana,06/02/2010
7.88,,MILOSEVIC Petar,03,ANA ATL.FELTRE,7 ba- 1,Padova,26/01/2020
7.89,,CRIVELLER Marco,03,ANA ATL.FELTRE,7 ba- 1,Padova,10/02/2019
7.92,,ARGENTA Alessio,06,ANA ATL.FELTRE,5 ba- 2,Padova,29/01/2023
7.94,,CECCHET Giovanni,06,ANA ATL.FELTRE,3 ba- 6,Padova,06/02/2022
7.96,,CAPPELLO Massimiliano,91,ANA ATL.FELTRE,4 ba- 6,Padova,24/01/2010
8.06,,ZUGLIAN Giorgio,00,ANA ATL.FELTRE,7 ba- 3,Padova,03/02/2018
