Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
1:47.82,,PERCO Emilio,94,ANA ATL.FELTRE,10 su- 1,Padova,06/07/2014
1:48.26,,PERCO Emilio,94,ANA ATL.FELTRE,1 se- 2,Caprino Veronese,31/05/2014
1:48.32,,PERCO Emilio,94,ANA ATL.FELTRE,8 su- 1,Lignano Sabbiadoro,08/07/2014
1:48.56,,PERCO Emilio,94,ANA ATL.FELTRE,3 se- 1,Salisburgo,24/05/2014
1:48.88,,PERCO Emilio,94,ANA ATL.FELTRE,3 se- 1,Chiari,24/06/2012
1:49.10,,SECK Mor,85,ANA ATL.FELTRE,5 su- 1,Rovereto,27/08/2019
1:49.22,,PERCO Emilio,94,ANA ATL.FELTRE,7 se- 1,Pergine Valsugana,21/07/2012
1:49.28,,PERCO Emilio,94,ANA ATL.FELTRE,7 se- 7,Caprino Veronese,09/06/2012
1:49.31,,SECK Mor,85,ANA ATL.FELTRE,2 se- 2,Cles,24/08/2019
1:49.66,,PERCO Emilio,94,ANA ATL.FELTRE,1 fi- 1,Torino,07/06/2014
1:49.71,,PERCO Emilio,94,ANA ATL.FELTRE,5 su- 1,Bressanone,08/07/2012
1:50.43,,PERCO Emilio,94,ANA ATL.FELTRE,1 se- 4,Marcon,11/09/2012
1:50.62,,PERCO Emilio,94,ANA ATL.FELTRE,2 su- 1,Pavia,05/05/2013
1:50.84,,PERCO Emilio,94,ANA ATL.FELTRE,6 se- 2,Rovereto,06/05/2012
1:51.50,,SECK Mor,85,ANA ATL.FELTRE,8 su- 1,Vicenza,19/07/2019
1:51.66,,PERCO Emilio,94,ANA ATL.FELTRE,5 su- 1,Gavardo,18/05/2014
1:51.98,,PERCO Emilio,94,ANA ATL.FELTRE,4 ba- 1,Rovereto,18/07/2014
1:52.20,,PERCO Emilio,94,ANA ATL.FELTRE,7 se- 1,Pergine Valsugana,03/08/2014
1:52.29,,PERCO Emilio,94,ANA ATL.FELTRE,1 se- 2,Bassano Del Grappa,16/09/2012
1:52.41,,PERCO Emilio,94,ANA ATL.FELTRE,1 se- 1,Trento,09/09/2014
1:52.53,,COSTA Edgard,99,ANA ATL.FELTRE,7 se- 1,San Biagio Di Callalta,21/05/2017
1:52.86,,PERCO Emilio,94,ANA ATL.FELTRE,1 su- 1,Caorle,03/06/2012
1:52.94,,DAL SASSO Alberto,98,ANA ATL.FELTRE,6 fi- 1,Firenze,10/06/2017
1:53.04,,PERCO Emilio,94,ANA ATL.FELTRE,2 ba- 2,Torino,06/06/2014
1:53.40,,COSTA Edgard,99,ANA ATL.FELTRE,6 se- 1,Bussolengo,07/05/2017
1:53.65,,PERCO Emilio,94,ANA ATL.FELTRE,1 se- 1,Bassano Del Grappa,18/09/2011
1:53.70,,PERCO Emilio,94,ANA ATL.FELTRE,1 se- 5,Rieti,02/10/2011
1:53.92,,DE PAOLI Nicola,92,ANA ATL.FELTRE,2 se- 2,Fidenza,23/05/2015
1:54.05,,COSTA Edgard,99,ANA ATL.FELTRE,6 se- 1,Palmanova,01/05/2017
1:54.45,,DAL SASSO Alberto,98,ANA ATL.FELTRE,6 se- 1,Vicenza,08/05/2016
1:54.50,,DAL SASSO Alberto,98,ANA ATL.FELTRE,9 se- 1,San Biagio Di Callalta,12/05/2019
1:54.72,,DAL SASSO Alberto,98,ANA ATL.FELTRE,2 se- 2,San Biagio Di Callalta,21/05/2017
1:54.74,,DE PAOLI Nicola,92,ANA ATL.FELTRE,3 se- 1,Trento,09/09/2014
1:54.80,,PERCO Emilio,94,ANA ATL.FELTRE,5 ba- 3,Trabzon,26/07/2011
1:54.88,,COSTA Edgard,99,ANA ATL.FELTRE,2 su- 1,Caorle,28/05/2017
1:54.90,,DE PAOLI Nicola,92,ANA ATL.FELTRE,1 se- 2,Trento,22/07/2014
1:54.92,,DAL SASSO Alberto,98,ANA ATL.FELTRE,1 ba- 3,Milano,19/06/2015
1:55.06,,DAL SASSO Alberto,98,ANA ATL.FELTRE,2 se- 1,Brugnera,05/09/2015
1:55.09,,COSTA Edgard,99,ANA ATL.FELTRE,9 se- 1,Bussolengo,27/05/2018
1:55.19,,PERCO Emilio,94,ANA ATL.FELTRE,1 se- 2,Bussolengo,03/09/2011
1:55.24,,DE PAOLI Nicola,92,ANA ATL.FELTRE,5 se- 1,Marcon,10/05/2015
1:55.2,,DE PAOLI Nicola,92,ANA ATL.FELTRE,1 se- 1,Belluno,22/08/2013
1:55.46,,COSTA Edgard,99,ANA ATL.FELTRE,2 se- 2,Conegliano,25/09/2016
1:55.55,,DAL SASSO Alberto,98,ANA ATL.FELTRE,2 se- 2,Trento,21/07/2015
1:55.58,,DE PAOLI Nicola,92,ANA ATL.FELTRE,1 se- 4,Trento,30/07/2013
1:55.62,,DAL SASSO Alberto,98,ANA ATL.FELTRE,9 se- 1,Bussolengo,07/05/2017
1:55.70,,ROSSA Matteo,98,ANA ATL.FELTRE,3 se- 2,Vicenza,08/05/2016
1:55.71,,DAL SASSO Alberto,98,ANA ATL.FELTRE,3 su- 1,Caorle,28/05/2017
1:55.74,,COSTA Edgard,99,ANA ATL.FELTRE,2 se- 3,Trento,19/07/2016
1:55.75,,DAL SASSO Alberto,98,ANA ATL.FELTRE,5 se- 1,Palmanova,01/05/2019
1:55.77,,POLESANA Federico,94,ANA ATL.FELTRE,2 se- 3,Trento,30/07/2013
