Prest.,Vento,Atleta,Anno,Società,Città,Data
6.74,+0.0,ZIVOJINOVIC Milan,01,ANA ATL.FELTRE,Feltre,26/06/2021
6.74,+0.0,ZIVOJINOVIC Milan,01,ANA ATL.FELTRE,Feltre,26/06/2021
6.61,+0.3,ZIVOJINOVIC Milan,01,ANA ATL.FELTRE,Venezia,29/05/2021
6.61,+0.3,ZIVOJINOVIC Milan,01,ANA ATL.FELTRE,Venezia,29/05/2021
6.58,+0.4,ZIVOJINOVIC Milan,01,ANA ATL.FELTRE,Verona,02/06/2022
6.58,+0.4,ZIVOJINOVIC Milan,01,ANA ATL.FELTRE,Verona,02/06/2022
6.55,-0.1,ZIVOJINOVIC Milan,01,ANA ATL.FELTRE,Vicenza,02/06/2019
6.55,-0.1,ZIVOJINOVIC Milan,01,ANA ATL.FELTRE,Vicenza,02/06/2019
6.54,+0.7,ZIVOJINOVIC Milan,01,ANA ATL.FELTRE,Feltre,18/05/2019
6.54,+0.7,ZIVOJINOVIC Milan,01,ANA ATL.FELTRE,Feltre,18/05/2019
6.49,-0.1,ZIVOJINOVIC Milan,01,ANA ATL.FELTRE,Vicenza,15/05/2021
6.49,-0.1,ZIVOJINOVIC Milan,01,ANA ATL.FELTRE,Vicenza,15/05/2021
6.34,+1.0,ZIVOJINOVIC Milan,01,ANA ATL.FELTRE,San Biagio Di Callalta,12/05/2019
6.34,+1.0,ZIVOJINOVIC Milan,01,ANA ATL.FELTRE,San Biagio Di Callalta,12/05/2019
6.33,-0.1,ZIVOJINOVIC Milan,01,ANA ATL.FELTRE,San Biagio Di Callalta,02/07/2022
6.33,-0.1,ZIVOJINOVIC Milan,01,ANA ATL.FELTRE,San Biagio Di Callalta,02/07/2022
6.20,,TAMBURLIN Piero,96,ANA ATL.FELTRE,Trento,09/06/2013
6.20,,TAMBURLIN Piero,96,ANA ATL.FELTRE,Trento,09/06/2013
6.19,-1.5,ZIVOJINOVIC Milan,01,ANA ATL.FELTRE,Padova,15/05/2022
6.19,-1.5,ZIVOJINOVIC Milan,01,ANA ATL.FELTRE,Padova,15/05/2022
6.12,,TAMBURLIN Piero,96,ANA ATL.FELTRE,Feltre,13/04/2013
6.12,-0.3,ZIVOJINOVIC Milan,01,ANA ATL.FELTRE,Padova,01/05/2022
