Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
17.2,+0.0,MANISCALCHI Stefano,90,ANA ATL.FELTRE,3 se- 1,Pous D Alpago,08/04/2006
17.57,-1.5,GIAZZON Francesco,00,ANA ATL.FELTRE,1 se- 7,Rovereto,22/04/2017
17.58,-1.3,DALLA SEGA Davide,99,ANA ATL.FELTRE,4 se- 2,Rovereto,22/04/2017
17.85,-2.6,SIRAGNA Lorenzo,01,ANA ATL.FELTRE,2 se- 8,Rovereto,22/04/2017
18.03,-3.9,MANISCALCHI Stefano,90,ANA ATL.FELTRE,2 se- 1,Rovereto,22/04/2017
17.19,-1.8,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,5 se- 1,Vedelago,30/06/2018
17.44,,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,2 se- 6,Rovereto,14/04/2019
17.60,,DALLA SEGA Davide,99,ANA ATL.FELTRE,4 se- 6,Rovereto,14/04/2019
18.28,,CRIVELLER Marco,03,ANA ATL.FELTRE,4 se- 3,Rovereto,14/04/2019
17.7,-2.0,ZABOT Julian,02,ANA ATL.FELTRE,1 se- 2,Feltre,26/03/2022
17.7,-2.0,DE PAOLI Federico,02,ANA ATL.FELTRE,2 se- 2,Feltre,26/03/2022
18.5,-2.0,DALLA CORTE Matteo,01,ANA ATL.FELTRE,3 se- 2,Feltre,26/03/2022
18.6,-2.0,EL AOMARI Abderrahmane,78,ANA ATL.FELTRE,1 se- 1,Feltre,26/03/2022
