Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
21.39,,DA COL Fabio,93,ANA ATL.FELTRE,5 su- 1,Saronno,27/06/2010
25.00,,TONO Lorenzo,94,ANA ATL.FELTRE,10 su- 1,Saronno,12/06/2011
52.91,,MARRONE Sebastiano,96,ANA ATL.FELTRE,1 se- 1,Padova,21/04/2012
51.08,,MARRONE Sebastiano,96,ANA ATL.FELTRE,3 su- 1,Bassano Del Grappa,16/09/2012
50.82,,MARRONE Sebastiano,96,ANA ATL.FELTRE,3 su- 1,Vicenza,27/05/2012
49.92,,MARRONE Sebastiano,96,ANA ATL.FELTRE,2 su- 1,Bastia Umbra,24/06/2012
49.84,,MARRONE Sebastiano,96,ANA ATL.FELTRE,2 se- 1,Mestre,01/04/2012
49.29,,MARRONE Sebastiano,96,ANA ATL.FELTRE,2 su- 1,Abano Terme,13/05/2012
46.21,,MARRONE Sebastiano,96,ANA ATL.FELTRE,14 se- 2,Firenze,30/09/2012
57.99,,MARRONE Sebastiano,96,ANA ATL.FELTRE,2 su- 1,Bassano Del Grappa,22/09/2013
57.31,,MARRONE Sebastiano,96,ANA ATL.FELTRE,1 se- 1,Vicenza,26/10/2013
55.88,,MARRONE Sebastiano,96,ANA ATL.FELTRE,8 se- 2,Jesolo,05/10/2013
55.79,,MARRONE Sebastiano,96,ANA ATL.FELTRE,1 su- 1,Vicenza,19/05/2013
54.04,,MARRONE Sebastiano,96,ANA ATL.FELTRE,2 su- 1,Mestre,12/06/2013
53.35,,MARRONE Sebastiano,96,ANA ATL.FELTRE,3 su- 1,Montebelluna,05/05/2013
52.90,,MARRONE Sebastiano,96,ANA ATL.FELTRE,1 su- 1,Trento,09/06/2013
28.08,,CICCOMASCOLO Lorenzo,97,ANA ATL.FELTRE,8 su- 1,Trento,05/10/2014
26.36,,CICCOMASCOLO Lorenzo,97,ANA ATL.FELTRE,10 su- 1,Vicenza,04/05/2014
38.80,,PICCOLO Fabio,00,ANA ATL.FELTRE,8 su- 1,Rosa,18/09/2016
36.21,,PICCOLO Fabio,00,ANA ATL.FELTRE,6 su- 1,Bovolone,02/10/2016
29.47,,PICCOLO Fabio,00,ANA ATL.FELTRE,3 su- 1,Udine,06/08/2016
28.81,,PICCOLO Fabio,00,ANA ATL.FELTRE,12 su- 1,Vicenza,01/05/2016
31.32,,GURRIERI Davide,00,ANA ATL.FELTRE,9 su- 1,Chiari,01/10/2017
25.50,,DALLA CORTE Matteo,01,ANA ATL.FELTRE,9 su- 1,Bovolone,30/09/2018
