Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
5.56,,CANOVA Luca,91,ANA ATL.FELTRE,2 su- 1,Belluno,29/08/2007
5.78,-0.4,CANOVA Luca,91,ANA ATL.FELTRE,2 su- 1,Rosa,14/06/2008
4.98,,COPPE Giulio,93,ANA ATL.FELTRE,2 se- 1,Feltre,20/06/2009
5.58,-0.3,D'AGOSTINI Enrico,94,ANA ATL.FELTRE,10 su- 1,Saronno,27/06/2010
5.51,-0.1,D'AGOSTINI Enrico,94,ANA ATL.FELTRE,3 su- 1,Feltre,19/06/2010
5.24,+1.0,D'AGOSTINI Enrico,94,ANA ATL.FELTRE,14 su- 1,Mestre,09/05/2010
5.19,+1.2,D'AGOSTINI Enrico,94,ANA ATL.FELTRE,16 su- 1,Verona,30/05/2010
6.06,,SOPPELSA Mattia,94,ANA ATL.FELTRE,3 se- 1,Padova,18/05/2011
5.96,+0.5,TREVISAN David,94,ANA ATL.FELTRE,8 su- 1,Rovigo,08/05/2011
5.87,+4.0,DALLA POZZA Elia,91,ANA ATL.FELTRE,20 su- 1,Marcon,15/05/2011
5.76,+0.8,TREVISAN David,94,ANA ATL.FELTRE,12 su- 1,Vicenza,22/05/2011
5.69,+0.7,VENDRAME Marco,95,ANA ATL.FELTRE,14 su- 1,Vicenza,22/05/2011
5.61,+0.7,SOPPELSA Mattia,94,ANA ATL.FELTRE,10 su- 1,Saronno,12/06/2011
5.60,+0.1,VENDRAME Marco,95,ANA ATL.FELTRE,15 su- 1,Rovigo,08/05/2011
5.52,-0.3,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,17 su- 1,Vicenza,22/05/2011
5.76,+0.0,SARTORI Tommaso,95,ANA ATL.FELTRE,11 su- 1,Bastia Umbra,24/06/2012
5.55,,TAMBURLIN Piero,96,ANA ATL.FELTRE,1 se- 1,Feltre,14/04/2012
5.48,+0.7,SARTORI Tommaso,95,ANA ATL.FELTRE,18 su- 1,Vicenza,27/05/2012
5.35,+2.8,TAMBURLIN Piero,96,ANA ATL.FELTRE,18 su- 1,Abano Terme,13/05/2012
5.33,+1.7,TAMBURLIN Piero,96,ANA ATL.FELTRE,18 su- 1,Abano Terme,13/05/2012
5.25,+1.1,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,20 se- 1,Vicenza,20/05/2012
