Prest.,Vento,Atleta,Anno,Società,Città,Data
21.95,+3.9,SIRAGNA Lorenzo,01,ANA ATL.FELTRE,San Biagio Di Callalta,12/05/2019
22.39,-1.2,ZIVOJINOVIC Milan,01,ANA ATL.FELTRE,San Giovanni Lupatoto,06/07/2019
22.44,+1.2,DALLA SEGA Andrea,95,ANA ATL.FELTRE,Marcon,13/06/2012
22.55,-1.3,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,Bolzano,09/06/2018
22.74,+0.1,PERCO Emilio,94,ANA ATL.FELTRE,Vicenza,14/04/2013
22.78,+1.9,MANISCALCHI Stefano,90,ANA ATL.FELTRE,Treviso,07/09/2008
22.96,+1.3,DALLA SEGA Davide,99,ANA ATL.FELTRE,Bolzano,18/08/2018
22.98,+0.7,VELLO Michele,97,ANA ATL.FELTRE,Bolzano,09/06/2014
23.00,+2.7,PARANI Aire,94,ANA ATL.FELTRE,Montebelluna,01/05/2011
23.02,+0.1,BORTOLIN Sebastiano,98,ANA ATL.FELTRE,Agordo,22/05/2016
23.15,-1.2,TIREL Enrico,93,ANA ATL.FELTRE,Saronno,27/06/2010
23.20,+0.4,ZABOT Julian,02,ANA ATL.FELTRE,Feltre,08/06/2022
23.44,+2.2,ZABOT Alex,98,ANA ATL.FELTRE,Agordo,22/05/2016
23.52,+0.4,CRIVELLER Marco,03,ANA ATL.FELTRE,Feltre,08/06/2022
23.69,+0.6,MARIN Pietro,01,ANA ATL.FELTRE,Bolzano,09/06/2018
23.70,-0.3,DE PAOLI Jacopo,88,ANA ATL.FELTRE,Arzignano,14/09/2005
23.74,+1.1,DE PAOLI Federico,02,ANA ATL.FELTRE,Treviso,18/04/2021
23.83,+1.0,SCOPEL Luca,94,ANA ATL.FELTRE,Chiari,07/06/2018
23.85,-1.4,GIAZZON Francesco,00,ANA ATL.FELTRE,San Biagio Di Callalta,21/05/2017
24.03,-0.6,SCOPEL Simone,06,ANA ATL.FELTRE,Rovereto,16/04/2023
24.05,-1.4,DALLA CORTE Matteo,01,ANA ATL.FELTRE,Cassola,12/09/2021
24.12,-0.8,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,Abano Terme,01/07/2011
24.33,+1.9,BARBANTE Lorenzo,95,ANA ATL.FELTRE,Rovigo,08/05/2011
24.33,+0.6,EL AOMARI Abderrahmane,78,ANA ATL.FELTRE,Vicenza,20/05/2012
24.48,-0.4,MILOSEVIC Petar,03,ANA ATL.FELTRE,San Biagio Di Callalta,13/09/2020
24.59,-1.7,AGOSTINETTO Isacco,99,ANA ATL.FELTRE,Marcon,11/04/2015
24.4,,VENDRAME Marco,95,ANA ATL.FELTRE,Feltre,28/08/2014
24.72,+0.0,MAHJOUBI Amir mattia,00,ANA ATL.FELTRE,Bassano Del Grappa,12/09/2017
24.74,-0.2,ZINGALE Giacomo,94,ANA ATL.FELTRE,Verona,30/05/2010
25.01,+1.1,DEOLA Ruben iavor,00,ANA ATL.FELTRE,Bovolone,02/10/2016
25.06,-1.2,COSTA Edgard,99,ANA ATL.FELTRE,Marcon,11/04/2015
25.10,+0.1,ARGENTA Alessio,06,ANA ATL.FELTRE,Pordenone,30/09/2023
25.14,+0.7,MADONNA Donato,91,ANA ATL.FELTRE,Agordo,22/05/2016
25.26,-0.9,LUCA Cristian,00,ANA ATL.FELTRE,Vicenza,01/05/2016
25.29,+0.8,TONO Lorenzo,94,ANA ATL.FELTRE,Marcon,06/04/2014
26.01,-2.4,ZUGLIAN Giorgio,00,ANA ATL.FELTRE,San Biagio Di Callalta,29/04/2018
26.05,,CANOVA Luca,91,ANA ATL.FELTRE,Pous D Alpago,05/09/2007
26.2,,CAPPELLO Massimiliano,91,ANA ATL.FELTRE,Belluno,03/10/2009
