Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
6:05.82,,BONAN Marco,00,ANA ATL.FELTRE,4 se- 2,Rieti,16/06/2017
6:09.70,,POLESANA Federico,94,ANA ATL.FELTRE,1 su- 1,Bovolone,30/04/2017
6:16.12,,PERCO Emilio,94,ANA ATL.FELTRE,1 su- 1,Vicenza,21/05/2011
6:25.81,,DE BARBA Mattia,02,ANA ATL.FELTRE,13 se- 2,Agropoli,21/06/2019
6:31.38,,PIZZOLOTTO Edoardo,96,ANA ATL.FELTRE,3 su- 1,Bassano Del Grappa,21/09/2013
6:31.87,,ROSSA Matteo,98,ANA ATL.FELTRE,1 su- 1,Rosa,19/09/2015
6:31.89,,COSTA Edgard,99,ANA ATL.FELTRE,2 su- 1,Rosa,19/09/2015
7:03.37,,ROSSI Mattia,93,ANA ATL.FELTRE,5 su- 1,Saronno,26/06/2010
7:11.36,,LIRA Riccardo,95,ANA ATL.FELTRE,5 su- 1,Bassano Del Grappa,17/09/2011
7:20.69,,PERENZIN Luca,94,ANA ATL.FELTRE,6 su- 1,Mogliano Veneto,18/09/2010
