Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
35.30,,SIRAGNA Lorenzo,01,ANA ATL.FELTRE,2 se- 1,Rovereto,14/04/2019
35.86,,MANISCALCHI Stefano,90,ANA ATL.FELTRE,1 se- 9,Conegliano,10/04/2010
35.93,,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,4 se- 1,Rovereto,22/04/2017
35.7,,TIREL Enrico,93,ANA ATL.FELTRE,1 se- 1,Belluno,16/10/2010
36.1,,VELLO Michele,97,ANA ATL.FELTRE,2 se- 1,Feltre,14/10/2017
36.4,,COSTA Edgard,99,ANA ATL.FELTRE,3 se- 1,Feltre,14/10/2017
36.4,,ZIVOJINOVIC Milan,01,ANA ATL.FELTRE,1 se- 1,Belluno,19/10/2019
36.6,,ZABOT Julian,02,ANA ATL.FELTRE,2 se- 1,Belluno,19/10/2019
36.8,,DALLA SEGA Davide,99,ANA ATL.FELTRE,4 se- 1,Feltre,14/10/2017
37.6,,POLESANA Filippo,00,ANA ATL.FELTRE,3 se- 2,Borgo Valbelluna,21/06/2023
38.4,,MAHJOUBI Amir mattia,00,ANA ATL.FELTRE,3 se- 2,Feltre,14/10/2017
39.2,,DALLA CORTE Matteo,01,ANA ATL.FELTRE,5 se- 1,Belluno,19/10/2019
39.2,,DE PAOLI Federico,02,ANA ATL.FELTRE,3 se- 2,Belluno,19/10/2019
39.5,,AGOSTINETTO Isacco,99,ANA ATL.FELTRE,5 se- 2,Feltre,14/10/2017
39.6,,EL AOMARI Abderrahmane,78,ANA ATL.FELTRE,2 se- 3,Agordo,18/10/2014
39.6,,POLESANA Giacomo,05,ANA ATL.FELTRE,3 se- 2,Feltre,13/04/2022
40.2,,CRIVELLER Marco,03,ANA ATL.FELTRE,4 se- 2,Belluno,19/10/2019
40.6,,BRUSATI Alex,04,ANA ATL.FELTRE,2 se- 1,Feltre,13/04/2022
41.7,,ZUGLIAN Giorgio,00,ANA ATL.FELTRE,3 se- 3,Feltre,14/10/2017
44.4,,FANTINEL Davide,05,ANA ATL.FELTRE,2 se- 2,Feltre,16/06/2021
49.2,,MAZZOCCO Simone,06,ANA ATL.FELTRE,3 se- 1,Feltre,13/04/2022
