Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
42.11,,CANOVA Luca,91,ANA ATL.FELTRE,1 su- 1,Rosa,14/06/2008
40.37,,MARRONE Sebastiano,96,ANA ATL.FELTRE,2 su- 1,Trento,08/06/2013
36.35,,DOGLIONI Giorgio,96,ANA ATL.FELTRE,5 su- 1,Montebelluna,04/05/2013
28.60,,DE MARTINI Alessandro,97,ANA ATL.FELTRE,11 su- 1,Caorle,31/05/2014
27.99,,DA COL Fabio,93,ANA ATL.FELTRE,10 su- 1,Saronno,26/06/2010
27.72,,BERTOLDIN Davide,01,ANA ATL.FELTRE,8 su- 1,Bovolone,29/09/2018
26.42,,ZAPPIA Matteo,98,ANA ATL.FELTRE,1 se- 1,Agordo,18/10/2014
24.75,,ZAETTA Gabriele,94,ANA ATL.FELTRE,12 su- 1,Saronno,11/06/2011
23.09,,VISCA Gianmarco,95,ANA ATL.FELTRE,3 su- 1,Cervia,10/09/2011
21.85,,SCOPEL Simone,06,ANA ATL.FELTRE,8 se- 2,Lana,24/04/2022
