Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
14.82,,DOGLIONI Giorgio,96,ANA ATL.FELTRE,2 se- 1,Jesolo,05/10/2013
13.80,,MARRONE Sebastiano,96,ANA ATL.FELTRE,4 su- 1,Abano Terme,13/05/2012
13.04,,ZAETTA Gabriele,94,ANA ATL.FELTRE,1 su- 1,Feltre,18/06/2011
12.90,,GURRIERI Davide,00,ANA ATL.FELTRE,2 su- 1,Chiari,01/10/2017
12.64,,ORZES Alex,94,ANA ATL.FELTRE,2 se- 1,Padova,18/05/2011
12.57,,CICCOMASCOLO Lorenzo,97,ANA ATL.FELTRE,4 su- 1,Trento,05/10/2014
11.82,,PICCOLO Fabio,00,ANA ATL.FELTRE,3 su- 1,Udine,06/08/2016
10.02,,TREVISAN David,94,ANA ATL.FELTRE,2 su- 1,Feltre,19/06/2010
10.00,,BARCHET Samuele,01,ANA ATL.FELTRE,16 su- 1,San Biagio Di Callalta,13/05/2018
9.43,,CORSO Lorenzo,99,ANA ATL.FELTRE,15 su- 1,Rosa,20/09/2015
9.32,,TIREL Enrico,93,ANA ATL.FELTRE,1 se- 1,Feltre,20/06/2009
8.49,,ZUGLIAN Giorgio,00,ANA ATL.FELTRE,4 se- 1,Agordo,15/05/2016
7.80,,SCOPEL Simone,06,ANA ATL.FELTRE,11 se- 2,Lana,23/04/2022
