Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
6.74,+0.0,ZIVOJINOVIC Milan,01,ANA ATL.FELTRE,2 su- 1,Feltre,26/06/2021
6.20,,TAMBURLIN Piero,96,ANA ATL.FELTRE,8 su- 1,Trento,09/06/2013
6.08,+1.1,ARGENTA Alessio,06,ANA ATL.FELTRE,6 su- 1,Feltre,01/07/2023
6.06,,SOPPELSA Mattia,94,ANA ATL.FELTRE,3 se- 1,Padova,18/05/2011
5.96,+1.0,BIESUZ Enrico,02,ANA ATL.FELTRE,4 su- 1,Bovolone,30/09/2018
5.96,+0.5,TREVISAN David,94,ANA ATL.FELTRE,8 su- 1,Rovigo,08/05/2011
5.87,+4.0,DALLA POZZA Elia,91,ANA ATL.FELTRE,20 su- 1,Marcon,15/05/2011
5.86,,VENDRAME Marco,95,ANA ATL.FELTRE,2 se- 1,Feltre,28/08/2014
5.83,+1.1,BENVEGNU' Edoardo,00,ANA ATL.FELTRE,5 se- 1,Jesolo,17/09/2017
5.79,+4.0,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,10 su- 1,Caprino Veronese,28/06/2015
5.78,-0.4,CANOVA Luca,91,ANA ATL.FELTRE,2 su- 1,Rosa,14/06/2008
5.78,+2.3,VELLO Michele,97,ANA ATL.FELTRE,8 se- 1,Agordo,22/05/2016
5.76,+0.0,SARTORI Tommaso,95,ANA ATL.FELTRE,11 su- 1,Bastia Umbra,24/06/2012
5.69,+0.0,AGOSTINETTO Isacco,99,ANA ATL.FELTRE,8 su- 1,Bovolone,02/10/2016
5.58,-0.3,D'AGOSTINI Enrico,94,ANA ATL.FELTRE,10 su- 1,Saronno,27/06/2010
5.57,+0.0,DE PAOLI Federico,02,ANA ATL.FELTRE,2 su- 1,San Vito Al Tagliamento,31/08/2019
5.51,-0.1,PHUSRIRIT Wikran,98,ANA ATL.FELTRE,9 su- 1,Aquila,04/10/2015
5.47,+0.0,VOICU Ioan alexandru,97,ANA ATL.FELTRE,12 su- 1,Trento,05/10/2014
5.33,-2.1,COSTA Edgard,99,ANA ATL.FELTRE,14 su- 1,Vicenza,03/05/2015
5.33,+1.1,SCOPEL Simone,06,ANA ATL.FELTRE,12 se- 2,Lana,23/04/2022
5.31,-0.5,DALLA CORTE Matteo,01,ANA ATL.FELTRE,6 su- 1,Lana,03/09/2022
5.24,+1.2,HAROUF Omar,99,ANA ATL.FELTRE,5 se- 1,Vicenza,01/05/2016
5.24,-1.0,MAHJOUBI Amir mattia,00,ANA ATL.FELTRE,6 se- 1,Vicenza,14/05/2017
5.03,-0.5,GRIS Matteo,02,ANA ATL.FELTRE,20 su- 1,Piombino Dese,25/04/2018
4.98,,COPPE Giulio,93,ANA ATL.FELTRE,2 se- 1,Feltre,20/06/2009
4.67,-0.1,ZAPPIA Matteo,98,ANA ATL.FELTRE,22 su- 1,Vicenza,04/05/2014
4.36,+0.3,PERSICO Michele,98,ANA ATL.FELTRE,29 se- 1,Vicenza,08/05/2016
