Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
14.91,-1.1,SCOPEL Gioia,02,ANA ATL.FELTRE,2 se- 1,Vicenza,01/06/2019
15.49,-1.1,SCOPEL Gioia,02,ANA ATL.FELTRE,3 se- 4,San Biagio Di Callalta,11/05/2019
14.75,+3.1,SCOPEL Gioia,02,ANA ATL.FELTRE,3 su- 1,Agordo,22/08/2020
15.13,+1.1,SCOPEL Gioia,02,ANA ATL.FELTRE,3 se- 2,Vicenza,11/07/2020
15.29,+0.0,SCOPEL Gioia,02,ANA ATL.FELTRE,4 ba- 3,Grosseto,19/09/2020
15.33,+0.1,SCOPEL Gioia,02,ANA ATL.FELTRE,3 se- 1,Vittorio Veneto,04/07/2020
15.42,-1.5,SCOPEL Gioia,02,ANA ATL.FELTRE,2 su- 1,Mestre,05/09/2020
15.47,+0.2,SCOPEL Gioia,02,ANA ATL.FELTRE,1 se- 1,Mestre,19/07/2020
14.65,+0.7,SCOPEL Gioia,02,ANA ATL.FELTRE,3 se- 1,Padova,22/05/2021
14.76,+1.1,SCOPEL Gioia,02,ANA ATL.FELTRE,4 ba- 1,Grosseto,12/06/2021
14.80,+0.7,SCOPEL Gioia,02,ANA ATL.FELTRE,4 se- 1,Venezia,29/05/2021
14.85,,SCOPEL Gioia,02,ANA ATL.FELTRE,4 su- 1,Bergamo,03/07/2021
14.91,-0.8,SCOPEL Gioia,02,ANA ATL.FELTRE,4 se- 1,Vicenza,15/05/2021
14.98,-0.8,SCOPEL Gioia,02,ANA ATL.FELTRE,3 su- 1,Bolzano,05/06/2021
14.98,-0.1,SCOPEL Gioia,02,ANA ATL.FELTRE,1 su- 1,Verona,11/09/2021
15.14,+0.1,SCOPEL Gioia,02,ANA ATL.FELTRE,3 se- 1,Modena,08/09/2021
15.24,-0.9,SCOPEL Gioia,02,ANA ATL.FELTRE,2 se- 1,Vicenza,08/05/2021
15.27,-0.4,SCOPEL Gioia,02,ANA ATL.FELTRE,3 su- 1,Majano,25/04/2021
14.74,+1.3,SCOPEL Gioia,02,ANA ATL.FELTRE,4 ba- 1,Firenze,11/06/2022
14.79,+1.4,SCOPEL Gioia,02,ANA ATL.FELTRE,4 se- 1,Modena,25/04/2022
14.82,-0.7,SCOPEL Gioia,02,ANA ATL.FELTRE,6 se- 1,Padova,14/05/2022
14.89,-0.4,SCOPEL Gioia,02,ANA ATL.FELTRE,99 su- 1,Bolzano,21/05/2022
15.08,-0.4,SCOPEL Gioia,02,ANA ATL.FELTRE,1 su- 1,Bolzano,02/06/2022
15.30,-3.3,SCOPEL Gioia,02,ANA ATL.FELTRE,2 se- 1,Vittorio Veneto,28/05/2022
15.30,-1.6,SCOPEL Gioia,02,ANA ATL.FELTRE,5 su- 1,Trieste,24/07/2022
14.71,+2.5,SCOPEL Gioia,02,ANA ATL.FELTRE,3 se- 1,Cleveland,06/05/2023
14.85,+0.4,SCOPEL Gioia,02,ANA ATL.FELTRE,3 se- 1,Jonesboro,22/04/2023
14.87,+0.0,SCOPEL Gioia,02,ANA ATL.FELTRE,4 su- 1,Clinton,28/04/2023
15.42,-1.6,SCOPEL Gioia,02,ANA ATL.FELTRE,3 su- 1,Caorle,27/05/2023
16.14,+0.6,DE PAOLI Camilla,05,ANA ATL.FELTRE,2 su- 1,Borgo Valbelluna,06/06/2023
