Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
21:03.92,,PERENZIN Alice,87,ANA ATL.FELTRE,2 su- 1,Feltre,21/06/2012
22:39.29,,VETTORATA Greta,90,ANA ATL.FELTRE,3 su- 1,Feltre,21/06/2012
20:25.83,,VETTORATA Greta,90,ANA ATL.FELTRE,3 su- 1,Feltre,22/06/2013
22:02.10,,COLMANET Elena,96,ANA ATL.FELTRE,5 su- 1,Feltre,22/06/2013
22:37.07,,COLMANET Elena,96,ANA ATL.FELTRE,13 su- 1,Vicenza,11/05/2014
17:21.7,,FANTINEL Ilaria,98,ANA ATL.FELTRE,1 se- 1,Belluno,18/10/2015
17:26.31,,FANTINEL Ilaria,98,ANA ATL.FELTRE,1 su- 1,Bovolone,05/06/2016
17:28.02,,FANTINEL Ilaria,98,ANA ATL.FELTRE,2 su- 1,Bressanone,10/06/2016
20:39.42,,COLMANET Elena,96,ANA ATL.FELTRE,12 su- 1,Vicenza,08/05/2016
20:50.57,,COLMANET Elena,96,ANA ATL.FELTRE,8 su- 1,Agordo,22/05/2016
21:05.20,,COLMANET Elena,96,ANA ATL.FELTRE,6 su- 1,Bovolone,05/06/2016
21:32.60,,MENEGAT Francesca,95,ANA ATL.FELTRE,16 su- 1,Vicenza,08/05/2016
21:33.10,,MENEGAT Francesca,95,ANA ATL.FELTRE,9 su- 1,Agordo,22/05/2016
18:29.71,,TONIN Francesca,94,ANA ATL.FELTRE,5 su- 1,Caorle,06/05/2018
19:14.01,,PRADEL Meryl,92,ANA ATL.FELTRE,2 su- 1,Padova,25/04/2019
20:33.98,,GIOVANELLI Anna,97,ANA ATL.FELTRE,11 su- 1,San Biagio Di Callalta,12/05/2019
19:08.42,,CHIESURIN Gioia,01,ANA ATL.FELTRE,2 su- 1,Agordo,23/08/2020
18:47.98,,PRADEL Meryl,92,ANA ATL.FELTRE,7 su- 1,Padova,15/05/2022
19:50.32,,SCHIEVENIN Federica,83,ANA ATL.FELTRE,1 su- 1,Mezzano,24/05/2023
22:50.02,,ZABOT Gigliola,73,ANA ATL.FELTRE,2 su- 1,Mezzano,24/05/2023
