Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
3.00,,SPADA Stefania,98,ANA ATL.FELTRE,2 se- 1,Agordo,18/10/2014
2.90,,SPADA Stefania,98,ANA ATL.FELTRE,14 qu- 2,Rieti,21/06/2014
2.80,,SPADA Stefania,98,ANA ATL.FELTRE,4 su- 1,Vicenza,04/05/2014
2.80,,SPADA Stefania,98,ANA ATL.FELTRE,4 su- 1,Caorle,01/06/2014
2.70,,SPADA Stefania,98,ANA ATL.FELTRE,4 su- 1,Marcon,15/06/2014
2.70,,SPADA Stefania,98,ANA ATL.FELTRE,6 su- 1,Padova,21/09/2014
2.60,,SPADA Stefania,98,ANA ATL.FELTRE,2 se- 1,Feltre,13/04/2014
2.60,,SPADA Stefania,98,ANA ATL.FELTRE,4 su- 1,Vicenza,03/05/2015
2.50,,SPADA Stefania,98,ANA ATL.FELTRE,2 su- 1,Borgo Valsugana,31/05/2015
2.50,,SPADA Stefania,98,ANA ATL.FELTRE,17 su- 1,Rovigo,07/06/2015
