Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
32.75,,TAMBURLIN Anna,00,ANA ATL.FELTRE,2 su- 1,Jesolo,17/09/2017
32.35,,PIOLO Carlotta,06,ANA ATL.FELTRE,4 su- 1,Verona,02/06/2023
31.26,,TAMBURLIN Anna,00,ANA ATL.FELTRE,9 su- 1,Rosa,18/09/2016
29.94,,PIOLO Carlotta,06,ANA ATL.FELTRE,6 se- 2,Borgo Valbelluna,07/05/2023
27.81,,TAMBURLIN Anna,00,ANA ATL.FELTRE,4 se- 1,Vicenza,01/05/2016
23.97,,PIOLO Carlotta,06,ANA ATL.FELTRE,9 su- 1,Caorle,22/05/2022
23.70,,PIOLO Carlotta,06,ANA ATL.FELTRE,17 su- 1,Verona,08/05/2022
23.23,,MENEGAZZO Silvia,07,ANA ATL.FELTRE,12 su- 1,Verona,02/06/2023
21.52,,SCOPEL Diletta,04,ANA ATL.FELTRE,9 su- 1,Udine,08/08/2020
21.52,,SCOPEL Diletta,04,ANA ATL.FELTRE,12 su- 1,Treviso,18/04/2021
20.75,,SCOPEL Diletta,04,ANA ATL.FELTRE,3 su- 1,Abano Terme,31/07/2020
18.80,,SCOPEL Diletta,04,ANA ATL.FELTRE,9 su- 1,Mestre,06/09/2020
18.31,,SCOPEL Diletta,04,ANA ATL.FELTRE,14 su- 1,Verona,12/09/2021
18.27,,SCOPEL Diletta,04,ANA ATL.FELTRE,7 su- 1,San Biagio Di Callalta,01/05/2021
13.42,,DE RIZ Chiara,05,ANA ATL.FELTRE,12 su- 1,Cles,26/09/2021
