Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
12.01,,CESCATO Beatrice,93,ANA ATL.FELTRE,2 su- 1,Bressanone,23/05/2010
11.08,,CESCATO Beatrice,93,ANA ATL.FELTRE,4 su- 1,Vicenza,14/09/2010
11.03,,CESCATO Beatrice,93,ANA ATL.FELTRE,6 su- 1,Rieti,03/10/2010
11.03,,CESCATO Beatrice,93,ANA ATL.FELTRE,3 su- 1,Marcon,09/05/2015
10.86,,CESCATO Beatrice,93,ANA ATL.FELTRE,1 su- 1,Rossano Veneto,05/09/2010
10.65,,CESCATO Beatrice,93,ANA ATL.FELTRE,1 se- 1,Longarone,01/05/2010
10.63,,CESCATO Beatrice,93,ANA ATL.FELTRE,1 se- 1,Feltre,26/08/2009
10.62,,CESCATO Beatrice,93,ANA ATL.FELTRE,1 su- 1,Verona,02/06/2010
10.59,,CESCATO Beatrice,93,ANA ATL.FELTRE,4 se- 1,Conegliano,15/07/2009
10.51,,CESCATO Beatrice,93,ANA ATL.FELTRE,1 su- 1,Mogliano Veneto,18/09/2010
10.49,,CESCATO Beatrice,93,ANA ATL.FELTRE,3 su- 1,Mogliano Veneto,19/09/2009
10.48,,CESCATO Beatrice,93,ANA ATL.FELTRE,1 se- 1,Feltre,25/08/2010
10.39,,CESCATO Beatrice,93,ANA ATL.FELTRE,3 su- 1,Pergine E Borgo Valsugana,13/09/2009
10.36,,CESCATO Beatrice,93,ANA ATL.FELTRE,7 su- 1,Grosseto,04/10/2009
10.32,,CESCATO Beatrice,93,ANA ATL.FELTRE,2 su- 1,Mestre,02/05/2009
10.31,,CESCATO Beatrice,93,ANA ATL.FELTRE,2 su- 1,Rosa,23/05/2009
10.29,,CESCATO Beatrice,93,ANA ATL.FELTRE,4 su- 1,Treviso,18/04/2010
10.27,,CESCATO Beatrice,93,ANA ATL.FELTRE,2 su- 1,Mestre,08/05/2010
10.23,,CESCATO Beatrice,93,ANA ATL.FELTRE,2 su- 1,Conegliano,10/04/2010
10.22,,CESCATO Beatrice,93,ANA ATL.FELTRE,4 su- 1,Pordenone,23/06/2010
10.07,,CESCATO Beatrice,93,ANA ATL.FELTRE,1 su- 1,Feltre,19/06/2010
10.03,,CESCATO Beatrice,93,ANA ATL.FELTRE,3 su- 1,Rossano Veneto,06/09/2009
9.78,,CESCATO Beatrice,93,ANA ATL.FELTRE,2 su- 1,Vicenza,19/04/2009
8.97,,MARCHESE Martina,94,ANA ATL.FELTRE,8 su- 1,Treviso,17/04/2011
8.94,,MARCHESE Martina,94,ANA ATL.FELTRE,2 se- 1,Padova,18/05/2011
8.81,,MARCHESE Martina,94,ANA ATL.FELTRE,6 su- 1,Rovigo,07/05/2011
8.72,,MARCHESE Martina,94,ANA ATL.FELTRE,4 su- 1,Vicenza,21/05/2011
8.61,,MARCHESE Martina,94,ANA ATL.FELTRE,7 su- 1,Bastia Umbra,11/06/2011
8.60,,MARCHESE Martina,94,ANA ATL.FELTRE,4 su- 1,Bassano Del Grappa,17/09/2011
8.57,,MARCHESE Martina,94,ANA ATL.FELTRE,5 su- 1,Feltre,18/06/2011
8.53,,MARCHESE Martina,94,ANA ATL.FELTRE,5 su- 1,Mogliano Veneto,18/09/2010
8.47,,MARCHESE Martina,94,ANA ATL.FELTRE,2 se- 1,Feltre,25/08/2010
8.18,,SAIONI Chiara,94,ANA ATL.FELTRE,8 su- 1,Treviso,18/04/2010
8.08,,MARCHESE Martina,94,ANA ATL.FELTRE,11 su- 1,Vicenza,19/05/2012
8.04,,SAIONI Chiara,94,ANA ATL.FELTRE,3 se- 1,Longarone,01/05/2010
8.03,,SAIONI Chiara,94,ANA ATL.FELTRE,8 su- 1,Rovigo,07/05/2011
7.96,,MARCHESE Martina,94,ANA ATL.FELTRE,9 su- 1,Verona,02/06/2010
7.94,,SAIONI Chiara,94,ANA ATL.FELTRE,3 se- 1,Feltre,25/08/2010
7.91,,SAIONI Chiara,94,ANA ATL.FELTRE,6 su- 1,Feltre,18/06/2011
7.90,,SCOPEL Diletta,04,ANA ATL.FELTRE,16 su- 1,Padova,14/05/2022
7.70,,MARCHESE Martina,94,ANA ATL.FELTRE,11 su- 1,Marcon,10/04/2011
7.50,,PAULETTI Alice,95,ANA ATL.FELTRE,8 su- 1,Vicenza,21/05/2011
7.28,,BASSANI Hilary,92,ANA ATL.FELTRE,10 su- 1,Rosa,23/05/2009
