Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
9:38.76,,CORSO Lorenzo,99,ANA ATL.FELTRE,4 se- 3,Padova,30/01/2016
9:14.19,,DEOLA Ruben iavor,00,ANA ATL.FELTRE,9 se- 1,Padova,04/02/2018
9:18.94,,BONAN Marco,00,ANA ATL.FELTRE,10 se- 1,Padova,04/02/2018
10:14.36,,CAPPELLETTO Pablo luis,02,ANA ATL.FELTRE,8 se- 2,Padova,04/02/2018
10:17.79,,SCOPEL Mattia,00,ANA ATL.FELTRE,9 se- 2,Padova,04/02/2018
10:22.84,,ANTONIOL Samuel,02,ANA ATL.FELTRE,10 se- 2,Padova,04/02/2018
10:27.17,,DA RIN DE MONEGO Lorenzo,00,ANA ATL.FELTRE,11 se- 2,Padova,04/02/2018
9:24.35,,BRUNET Lorenzo,02,ANA ATL.FELTRE,6 se- 2,Padova,03/02/2019
9:34.35,,LOSS Nikolas,01,ANA ATL.FELTRE,4 se- 4,Padova,03/02/2019
8:46.06,,DEOLA Ruben iavor,00,ANA ATL.FELTRE,5 se- 2,Padova,31/01/2021
8:35.58,,DEOLA Ruben iavor,00,ANA ATL.FELTRE,4 se- 1,Padova,15/01/2022
8:36.20,,DEOLA Ruben iavor,00,ANA ATL.FELTRE,7 su- 1,Ancona,06/02/2022
8:56.62,,POLESANA Filippo,00,ANA ATL.FELTRE,2 se- 2,Padova,15/01/2022
