Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
1.80,,VENDRAME Marco,95,ANA ATL.FELTRE,3 se- 1,Padova,16/01/2011
1.80,,VENDRAME Marco,95,ANA ATL.FELTRE,2 se- 1,Padova,29/01/2011
1.80,,VENDRAME Marco,95,ANA ATL.FELTRE,9 su- 1,Ancona,12/02/2011
1.90,,VENDRAME Marco,95,ANA ATL.FELTRE,4 su- 1,Pordenone,29/01/2012
1.89,,VENDRAME Marco,95,ANA ATL.FELTRE,4 su- 1,Udine,22/01/2012
1.86,,VENDRAME Marco,95,ANA ATL.FELTRE,3 su- 1,Udine,05/02/2012
1.85,,VENDRAME Marco,95,ANA ATL.FELTRE,8 su- 1,Ancona,18/02/2012
1.84,,VENDRAME Marco,95,ANA ATL.FELTRE,3 su- 1,Padova,15/01/2012
1.80,,VENDRAME Marco,95,ANA ATL.FELTRE,5 su- 1,Padova,04/02/2012
1.88,,VENDRAME Marco,95,ANA ATL.FELTRE,4 su- 1,Udine,03/03/2013
1.86,,VENDRAME Marco,95,ANA ATL.FELTRE,1 su- 1,Udine,03/02/2013
1.85,,VENDRAME Marco,95,ANA ATL.FELTRE,2 su- 1,Pordenone,09/02/2013
1.94,,VENDRAME Marco,95,ANA ATL.FELTRE,7 su- 1,Ancona,08/02/2014
1.94,,VENDRAME Marco,95,ANA ATL.FELTRE,9 su- 1,Padova,16/02/2014
1.90,,VENDRAME Marco,95,ANA ATL.FELTRE,10 su- 1,Pordenone,01/02/2014
1.90,,VENDRAME Marco,95,ANA ATL.FELTRE,7 su- 1,Padova,02/02/2014
1.47,,DALLA CORTE Matteo,01,ANA ATL.FELTRE,11 se- 2,Padova,12/02/2022
