Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
14.97,-0.2,TIREL Enrico,93,ANA ATL.FELTRE,2 su- 1,Vicenza,21/05/2011
15.15,+0.8,TIREL Enrico,93,ANA ATL.FELTRE,2 su- 1,Rovigo,07/05/2011
15.33,-2.1,TIREL Enrico,93,ANA ATL.FELTRE,2 su- 1,Marcon,10/04/2011
15.43,+1.0,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,5 ba- 4,Rieti,15/06/2013
15.46,+0.6,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,5 su- 1,Pordenone,19/06/2013
15.74,-0.6,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,3 su- 1,Vicenza,18/05/2013
14.71,+1.4,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,2 su- 1,Treviso,28/05/2014
14.71,-0.2,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,5 fi- 1,Torino,07/06/2014
14.71,+0.3,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,5 sf- 2,Torino,07/06/2014
14.77,+0.4,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,2 ba- 3,Torino,07/06/2014
15.23,-1.4,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,2 su- 1,Sacile,17/05/2014
15.24,-0.6,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,3 su- 1,Vedelago,02/07/2014
15.29,-0.3,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,3 su- 1,Marcon,06/04/2014
15.33,+0.0,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,2 su- 1,Vicenza,03/05/2014
15.36,-2.0,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,1 se- 2,Caorle,25/05/2014
15.47,-0.2,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,3 su- 1,Vedelago,13/09/2014
15.29,+0.6,DE PAOLI Federico,02,ANA ATL.FELTRE,3 su- 1,Udine,08/08/2020
15.42,-1.1,DE PAOLI Federico,02,ANA ATL.FELTRE,6 ba- 3,Grosseto,19/09/2020
15.53,+1.6,DE PAOLI Federico,02,ANA ATL.FELTRE,3 su- 1,Agordo,23/08/2020
15.54,+0.1,DE PAOLI Federico,02,ANA ATL.FELTRE,4 fi- 1,Mestre,05/09/2020
15.55,-1.8,DE PAOLI Federico,02,ANA ATL.FELTRE,2 ba- 1,Mestre,05/09/2020
15.83,-1.9,DE PAOLI Federico,02,ANA ATL.FELTRE,2 su- 1,Treviso,26/07/2020
16.11,-2.4,DE PAOLI Federico,02,ANA ATL.FELTRE,2 se- 2,Mestre,19/07/2020
14.98,+0.1,DE PAOLI Federico,02,ANA ATL.FELTRE,1 su- 1,Vicenza,08/05/2021
14.98,+0.6,DE PAOLI Federico,02,ANA ATL.FELTRE,1 su- 1,Padova,22/05/2021
15.09,+1.6,DE PAOLI Federico,02,ANA ATL.FELTRE,6 ba- 1,Grosseto,12/06/2021
15.20,+0.9,DE PAOLI Federico,02,ANA ATL.FELTRE,1 su- 1,Modena,08/09/2021
17.05,-0.3,DE PAOLI Federico,02,ANA ATL.FELTRE,5 su- 1,Vicenza,15/05/2021
