Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
10:52.14,,RUBIN Mauro,73,ANA ATL.FELTRE,18 su- 1,Marcon,14/05/2011
11:06.81,,ROSSI Mattia,93,ANA ATL.FELTRE,19 su- 1,Marcon,14/05/2011
9:29.09,,POLESANA Federico,94,ANA ATL.FELTRE,4 su- 1,Vicenza,19/05/2012
9:31.86,,POLESANA Federico,94,ANA ATL.FELTRE,6 su- 1,Caprino Veronese,09/06/2012
9:44.74,,POLESANA Federico,94,ANA ATL.FELTRE,7 su- 1,Misano Adriatico,16/06/2012
9:54.15,,POLESANA Federico,94,ANA ATL.FELTRE,3 su- 1,Bassano Del Grappa,15/09/2012
10:42.00,,RUBIN Mauro,73,ANA ATL.FELTRE,15 su- 1,Vicenza,19/05/2012
9:34.65,,POLESANA Federico,94,ANA ATL.FELTRE,1 su- 1,Bassano Del Grappa,21/09/2013
9:35.89,,POLESANA Federico,94,ANA ATL.FELTRE,2 su- 1,Rovigo,07/09/2013
9:43.61,,POLESANA Federico,94,ANA ATL.FELTRE,3 su- 1,Vedelago,29/06/2013
9:56.17,,POLESANA Federico,94,ANA ATL.FELTRE,6 su- 1,Marcon,11/05/2013
9:56.32,,POLESANA Federico,94,ANA ATL.FELTRE,13 su- 1,Caprino Veronese,08/06/2013
9:59.17,,POLESANA Federico,94,ANA ATL.FELTRE,15 su- 1,Rieti,14/06/2013
9:42.51,,POLESANA Federico,94,ANA ATL.FELTRE,7 se- 1,Torino,06/06/2014
9:43.65,,POLESANA Federico,94,ANA ATL.FELTRE,15 su- 1,Caprino Veronese,31/05/2014
9:45.33,,POLESANA Federico,94,ANA ATL.FELTRE,2 su- 1,Bassano Del Grappa,28/06/2014
9:52.37,,POLESANA Federico,94,ANA ATL.FELTRE,12 su- 1,Milano,23/05/2014
9:55.43,,POLESANA Federico,94,ANA ATL.FELTRE,6 su- 1,Vicenza,10/05/2014
9:20.25,,POLESANA Federico,94,ANA ATL.FELTRE,4 su- 1,Fidenza,22/05/2015
9:24.27,,POLESANA Federico,94,ANA ATL.FELTRE,6 su- 1,Rieti,12/06/2015
9:25.54,,POLESANA Federico,94,ANA ATL.FELTRE,1 su- 1,Marcon,09/05/2015
9:24.18,,POLESANA Federico,94,ANA ATL.FELTRE,2 su- 1,Agordo,21/05/2016
9:25.87,,POLESANA Federico,94,ANA ATL.FELTRE,3 su- 1,Vicenza,07/05/2016
9:31.97,,POLESANA Federico,94,ANA ATL.FELTRE,8 su- 1,Bressanone,10/06/2016
9:35.89,,POLESANA Federico,94,ANA ATL.FELTRE,4 su- 1,Bussolengo,06/05/2017
9:49.36,,POLESANA Federico,94,ANA ATL.FELTRE,5 su- 1,Arzignano,24/09/2017
9:41.71,,BONAN Marco,00,ANA ATL.FELTRE,4 su- 1,Caorle,05/05/2018
9:43.97,,BONAN Marco,00,ANA ATL.FELTRE,1 su- 1,Trento,12/09/2018
9:45.86,,BONAN Marco,00,ANA ATL.FELTRE,9 su- 1,Agropoli,01/06/2018
9:22.35,,BONAN Marco,00,ANA ATL.FELTRE,1 su- 1,Vittorio Veneto,13/07/2019
9:22.65,,BONAN Marco,00,ANA ATL.FELTRE,12 su- 1,Bressanone,28/07/2019
9:23.36,,BONAN Marco,00,ANA ATL.FELTRE,6 su- 1,Rieti,07/06/2019
9:27.13,,BONAN Marco,00,ANA ATL.FELTRE,5 su- 1,San Biagio Di Callalta,11/05/2019
9:31.76,,BONAN Marco,00,ANA ATL.FELTRE,5 su- 1,Castiglione Della Pescaia,26/05/2019
