Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
2h30:30,,SPADA Nicola,85,ANA ATL.FELTRE,32 se- 1,Valencia,17/11/2013
2h49:56,,BEE Ivo,71,ANA ATL.FELTRE,30 su- 1,Padova,27/04/2014
2h54:33,,ZANNINI Simone,76,ANA ATL.FELTRE,40 su- 1,Padova,27/04/2014
2h59:16,,DE BORTOLI Isidoro,83,ANA ATL.FELTRE,270 su- 1,Firenze,30/11/2014
3h11:10,,TODESCO Arno,65,ANA ATL.FELTRE,60 su- 1,Lucca,26/10/2014
3h12:20,,TODESCO Arno,65,ANA ATL.FELTRE,159 su- 1,Padova,27/04/2014
3h29:03,,POLETTI Alvano,69,ANA ATL.FELTRE,1478 su- 1,Firenze,30/11/2014
3h31:35,,GAIO Elio,73,ANA ATL.FELTRE,1650 su- 1,Firenze,30/11/2014
3h54:27,,ALTIERI Ferdinando,71,ANA ATL.FELTRE,3308 su- 1,Firenze,30/11/2014
2h53:32,,ZANNINI Simone,76,ANA ATL.FELTRE,72 su- 1,Reggio Emilia,13/12/2015
3h03:03,,TODESCO Arno,65,ANA ATL.FELTRE,43 su- 1,Rimini,26/04/2015
3h12:07,,CASTELLAZ Marco,76,ANA ATL.FELTRE,361 su- 1,Reggio Emilia,13/12/2015
3h31:10,,DE BASTIANI Flavio,67,ANA ATL.FELTRE,323 su- 1,Padova,19/04/2015
2h58:40,,ZANNINI Simone,76,ANA ATL.FELTRE,84 su- 1,Verona,20/11/2016
3h27:26,,BEE Marco,68,ANA ATL.FELTRE,219 su- 1,Conegliano,06/03/2016
3h32:47,,TODESCO Arno,65,ANA ATL.FELTRE,269 su- 1,Conegliano,06/03/2016
3h37:53,,D'ALBERTO Dario,71,ANA ATL.FELTRE,319 su- 1,Conegliano,06/03/2016
3h39:12,,VISPI Piergiorgio,72,ANA ATL.FELTRE,2301 su- 1,Firenze,27/11/2016
2h34:06,,SACCHET Lucio,81,ANA ATL.FELTRE,104 se- 1,Francoforte,29/10/2017
2h44:47,,MAHJOUBI Abdelaziz,67,ANA ATL.FELTRE,44 su- 1,Firenze,26/11/2017
3h11:23,,PATERNESI Marco,73,ANA ATL.FELTRE,636 su- 1,Firenze,26/11/2017
3h53:38,,SAMPIERI Danilo,64,ANA ATL.FELTRE,1486 su- 1,Verona,19/11/2017
3h27:30,,PATERNESI Marco,73,ANA ATL.FELTRE,988 su- 1,Milano,08/04/2018
2h58:23,,POLLONI Michele,91,ANA ATL.FELTRE,175 su- 1,Firenze,27/11/2022
3h00:47,,POLLONI Michele,91,ANA ATL.FELTRE,177 su- 1,Roma,27/03/2022
3h20:06,,MAHJOUBI Abdelaziz,67,ANA ATL.FELTRE,663 su- 1,Roma,19/03/2023
3h22:59,,TAUFER Marco,91,ANA ATL.FELTRE,763 su- 1,Roma,19/03/2023
3h55:20,,IANNIKIS Giorgio,91,ANA ATL.FELTRE,2434 su- 1,Roma,19/03/2023
