Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
9.25,,DALLA POZZA Elia,91,ANA ATL.FELTRE,16 su- 1,Marcon,15/05/2011
11.09,,STRAPPAZZON Nicola,87,ANA ATL.FELTRE,3 su- 1,Rovereto,29/06/2012
10.21,,CICCOMASCOLO Lorenzo,97,ANA ATL.FELTRE,4 su- 1,Rovereto,28/06/2013
11.40,,DOGLIONI Giorgio,96,ANA ATL.FELTRE,9 su- 1,Bassano Del Grappa,29/06/2014
10.42,,TOIGO Robin,92,ANA ATL.FELTRE,1 se- 1,Feltre,28/08/2014
11.88,,DOGLIONI Giorgio,96,ANA ATL.FELTRE,11 su- 1,Marcon,10/05/2015
8.49,,BARP Andrea,71,ANA ATL.FELTRE,17 su- 1,Marcon,10/05/2015
12.37,,DOGLIONI Giorgio,96,ANA ATL.FELTRE,4 su- 1,Conegliano,25/09/2016
12.15,,DOGLIONI Giorgio,96,ANA ATL.FELTRE,6 su- 1,Agordo,22/05/2016
11.45,,DOGLIONI Giorgio,96,ANA ATL.FELTRE,9 su- 1,Vicenza,08/05/2016
12.78,,DOGLIONI Giorgio,96,ANA ATL.FELTRE,2 su- 1,Padova,25/04/2017
12.25,,DOGLIONI Giorgio,96,ANA ATL.FELTRE,6 su- 1,Bussolengo,07/05/2017
11.95,,DOGLIONI Giorgio,96,ANA ATL.FELTRE,6 su- 1,Arzignano,25/06/2017
11.78,,DOGLIONI Giorgio,96,ANA ATL.FELTRE,1 se- 1,Feltre,14/10/2017
12.36,,DOGLIONI Giorgio,96,ANA ATL.FELTRE,8 su- 1,Caorle,06/05/2018
12.02,,DOGLIONI Giorgio,96,ANA ATL.FELTRE,4 su- 1,San Biagio Di Callalta,29/04/2018
12.40,,DOGLIONI Giorgio,96,ANA ATL.FELTRE,6 su- 1,San Biagio Di Callalta,12/05/2019
11.56,,DOGLIONI Giorgio,96,ANA ATL.FELTRE,5 su- 1,Trento,12/10/2019
10.54,,DALLA CORTE Matteo,01,ANA ATL.FELTRE,15 su- 1,Padova,15/05/2022
10.51,,DALLA CORTE Matteo,01,ANA ATL.FELTRE,1 su- 1,Lana,03/09/2022
10.37,,DALLA CORTE Matteo,01,ANA ATL.FELTRE,8 su- 1,Vittorio Veneto,29/05/2022
9.90,,DALLA CORTE Matteo,01,ANA ATL.FELTRE,1 su- 1,Domegge Di Cadore,30/04/2022
9.31,,DALLA CORTE Matteo,01,ANA ATL.FELTRE,5 su- 1,Lana,23/04/2022
10.02,,DALLA CORTE Matteo,01,ANA ATL.FELTRE,8 su- 1,Bovolone,29/04/2023
9.96,,DALLA CORTE Matteo,01,ANA ATL.FELTRE,11 su- 1,Caorle,28/05/2023
