Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
14.85,+0.5,ROLDO Demis,85,ANA ATL.FELTRE,1 su- 1,Codroipo,02/06/2017
14.95,+0.0,ROLDO Demis,85,ANA ATL.FELTRE,4 se- 1,Bussolengo,26/05/2018
14.98,-1.1,ROLDO Demis,85,ANA ATL.FELTRE,1 se- 1,Arzignano,24/06/2017
15.06,+0.1,ROLDO Demis,85,ANA ATL.FELTRE,7 ba- 2,Trieste,01/07/2017
15.09,+0.0,ROLDO Demis,85,ANA ATL.FELTRE,2 se- 1,Treviso,23/05/2018
15.14,+1.0,ROLDO Demis,85,ANA ATL.FELTRE,1 se- 3,San Biagio Di Callalta,20/05/2017
15.30,-1.0,ROLDO Demis,85,ANA ATL.FELTRE,3 se- 1,Caorle,05/05/2018
15.38,-0.2,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,1 se- 2,Marcon,14/06/2014
15.45,-1.2,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,4 ba- 2,Rieti,13/06/2015
15.45,-1.2,ROLDO Demis,85,ANA ATL.FELTRE,2 se- 2,Vittorio Veneto,13/07/2019
15.57,-1.2,TIREL Enrico,93,ANA ATL.FELTRE,1 se- 3,Marcon,14/05/2011
15.58,+1.3,DE PAOLI Federico,02,ANA ATL.FELTRE,5 ba- 1,Firenze,11/06/2022
15.59,+0.0,ROLDO Demis,85,ANA ATL.FELTRE,3 su- 1,Bergamo,25/08/2018
15.66,+0.5,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,2 se- 2,Vicenza,10/05/2014
15.66,-0.4,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,3 se- 1,Bassano Del Grappa,28/06/2014
15.67,+1.3,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,2 se- 2,Rovigo,06/06/2015
15.70,-0.2,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,1 se- 3,Conegliano,25/09/2016
15.73,-2.2,ROLDO Demis,85,ANA ATL.FELTRE,4 se- 1,Vedelago,30/06/2018
15.74,-0.2,TIREL Enrico,93,ANA ATL.FELTRE,4 se- 2,Vicenza,19/05/2012
15.80,-1.2,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,1 su- 1,Bolzano,09/06/2014
15.92,+0.9,DE PAOLI Federico,02,ANA ATL.FELTRE,99 su- 1,Bolzano,21/05/2022
15.93,+2.3,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,2 se- 2,Rosa,06/07/2013
15.96,+0.0,DE PAOLI Federico,02,ANA ATL.FELTRE,2 se- 2,Modena,25/04/2022
15.97,-1.0,DE PAOLI Federico,02,ANA ATL.FELTRE,1 su- 1,Bolzano,02/06/2022
15.99,-1.2,DE PAOLI Federico,02,ANA ATL.FELTRE,5 se- 1,Padova,14/05/2022
16.01,+1.8,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,5 se- 1,Bovolone,04/06/2016
16.11,+0.7,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,6 su- 1,Rovereto,28/06/2013
16.20,-2.0,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,4 ba- 1,Vedelago,29/06/2013
16.27,+2.0,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,1 se- 3,Marcon,11/05/2013
16.31,+0.6,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,3 se- 2,Conegliano,07/06/2013
16.68,-4.0,DE PAOLI Federico,02,ANA ATL.FELTRE,5 su- 1,Trieste,24/07/2022
17.14,+2.0,COLLE Nicola,96,ANA ATL.FELTRE,3 se- 3,Marcon,11/05/2013
19.48,-1.7,DALLA CORTE Matteo,01,ANA ATL.FELTRE,5 su- 1,Lana,04/09/2022
20.37,+0.0,DALLA CORTE Matteo,01,ANA ATL.FELTRE,6 se- 1,Bovolone,30/04/2023
20.64,-0.7,DALLA CORTE Matteo,01,ANA ATL.FELTRE,3 se- 1,Lana,24/04/2022
