Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
48.56,,PERCO Emilio,94,ANA ATL.FELTRE,2 se- 1,Trento,01/05/2013
48.59,,PERCO Emilio,94,ANA ATL.FELTRE,1 se- 1,Trento,18/09/2012
48.90,,PERCO Emilio,94,ANA ATL.FELTRE,1 se- 1,Feltre,21/06/2014
49.35,,PERCO Emilio,94,ANA ATL.FELTRE,2 se- 4,Bassano Del Grappa,15/09/2012
49.45,,PERCO Emilio,94,ANA ATL.FELTRE,1 se- 7,Rovigo,01/09/2012
49.45,,PERCO Emilio,94,ANA ATL.FELTRE,2 se- 2,Modena,06/09/2014
50.19,,SIRAGNA Lorenzo,01,ANA ATL.FELTRE,3 se- 2,Padova,25/04/2019
50.26,,COSTA Edgard,99,ANA ATL.FELTRE,2 se- 3,Arzignano,24/06/2017
50.27,,TIREL Enrico,93,ANA ATL.FELTRE,3 se- 6,Feltre,21/06/2012
50.30,,TIREL Enrico,93,ANA ATL.FELTRE,2 se- 7,Rovigo,01/09/2012
50.47,,SIRAGNA Lorenzo,01,ANA ATL.FELTRE,7 se- 1,Bressanone,20/05/2018
50.60,,DE PAOLI Jacopo,88,ANA ATL.FELTRE,4 fi- 1,Rieti,25/09/2005
50.67,,SIRAGNA Lorenzo,01,ANA ATL.FELTRE,3 se- 2,San Biagio Di Callalta,11/05/2019
50.70,,SIRAGNA Lorenzo,01,ANA ATL.FELTRE,1 se- 1,San Biagio Di Callalta,12/05/2018
50.77,,DE PAOLI Jacopo,88,ANA ATL.FELTRE,3 ba- 3,Rieti,24/09/2005
50.84,,DE PAOLI Jacopo,88,ANA ATL.FELTRE,1 se- 1,Pordenone,08/10/2005
50.85,,DE PAOLI Jacopo,88,ANA ATL.FELTRE,3 se- 1,Rossano Veneto,10/09/2005
50.89,,COSTA Edgard,99,ANA ATL.FELTRE,3 se- 2,Bussolengo,06/05/2017
50.90,,COSTA Edgard,99,ANA ATL.FELTRE,1 se- 2,Bovolone,01/10/2016
50.95,,BORTOLIN Sebastiano,98,ANA ATL.FELTRE,1 se- 2,Padova,25/04/2016
50.96,,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,3 se- 2,Catania,16/06/2017
51.00,,PARANI Aire,94,ANA ATL.FELTRE,2 se- 1,Padova,18/05/2011
51.02,,BORTOLIN Sebastiano,98,ANA ATL.FELTRE,1 se- 2,Vicenza,07/05/2016
51.20,,VELLO Michele,97,ANA ATL.FELTRE,1 se- 3,Feltre,23/08/2017
51.22,,BORTOLIN Sebastiano,98,ANA ATL.FELTRE,2 se- 3,Agordo,21/05/2016
51.24,,SIRAGNA Lorenzo,01,ANA ATL.FELTRE,2 se- 3,Caorle,05/05/2018
51.25,,DE PAOLI Jacopo,88,ANA ATL.FELTRE,4 se- 1,Abano Terme,15/05/2005
51.27,,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,2 se- 5,San Biagio Di Callalta,20/05/2017
51.29,,COSTA Edgard,99,ANA ATL.FELTRE,1 se- 1,Rossano Veneto,11/09/2016
51.1,,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,1 se- 1,Agordo,30/09/2017
51.45,,COSTA Edgard,99,ANA ATL.FELTRE,2 se- 1,Rosa,17/09/2016
51.47,,SIRAGNA Lorenzo,01,ANA ATL.FELTRE,1 se- 1,Vicenza,15/09/2018
51.48,,PARANI Aire,94,ANA ATL.FELTRE,1 se- 1,Rovigo,07/05/2011
51.48,,VELLO Michele,97,ANA ATL.FELTRE,2 se- 1,Arzignano,24/09/2017
51.52,,TIREL Enrico,93,ANA ATL.FELTRE,3 se- 4,Pergine Valsugana,25/07/2009
51.57,,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,3 se- 2,Arzignano,24/09/2017
51.61,,SIRAGNA Lorenzo,01,ANA ATL.FELTRE,1 se- 2,Bovolone,29/09/2018
51.63,,PARANI Aire,94,ANA ATL.FELTRE,3 se- 1,Vicenza,19/05/2012
51.64,,COSTA Edgard,99,ANA ATL.FELTRE,1 se- 2,Aquila,03/10/2015
51.68,,TIREL Enrico,93,ANA ATL.FELTRE,1 se- 1,Mestre,02/05/2009
51.68,,TIREL Enrico,93,ANA ATL.FELTRE,1 se- 1,Treviso,22/04/2012
51.71,,SIRAGNA Lorenzo,01,ANA ATL.FELTRE,1 se- 3,Piombino Dese,25/04/2018
51.80,,ZIVOJINOVIC Milan,01,ANA ATL.FELTRE,1 se- 3,Feltre,22/06/2019
51.88,,DAL SASSO Alberto,98,ANA ATL.FELTRE,1 se- 7,Feltre,22/06/2019
51.92,,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,3 se- 4,Isernia,19/05/2018
51.94,,BORTOLIN Sebastiano,98,ANA ATL.FELTRE,1 se- 2,Caorle,09/04/2016
51.7,,TIREL Enrico,93,ANA ATL.FELTRE,1 se- 1,Feltre,25/08/2010
51.95,,PARANI Aire,94,ANA ATL.FELTRE,4 se- 3,Marcon,14/05/2011
51.98,,PARANI Aire,94,ANA ATL.FELTRE,3 se- 1,Saronno,11/06/2011
51.99,,TONO Lorenzo,94,ANA ATL.FELTRE,6 se- 1,Feltre,21/06/2014
52.02,,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,3 se- 3,Padova,25/04/2017
51.8,,DE PAOLI Jacopo,88,ANA ATL.FELTRE,1 su- 1,Feltre,28/08/2005
52.09,,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,1 se- 2,Feltre,31/08/2018
52.13,,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,3 se- 1,Feltre,23/08/2017
51.9,,DE PAOLI Jacopo,88,ANA ATL.FELTRE,1 se- 1,Vittorio Veneto,07/05/2005
52.16,,TIREL Enrico,93,ANA ATL.FELTRE,3 se- 2,Trento,06/06/2009
52.16,,TONO Lorenzo,94,ANA ATL.FELTRE,2 se- 1,Sacile,17/05/2014
52.19,,GIAZZON Francesco,00,ANA ATL.FELTRE,3 se- 4,Arzignano,24/06/2017
52.21,,BORTOLIN Sebastiano,98,ANA ATL.FELTRE,3 se- 1,Caorle,28/05/2016
52.23,,VELLO Michele,97,ANA ATL.FELTRE,5 se- 1,Bassano Del Grappa,16/05/2015
52.28,,COSTA Edgard,99,ANA ATL.FELTRE,4 se- 3,Caprino Veronese,27/06/2015
52.29,,TONO Lorenzo,94,ANA ATL.FELTRE,5 se- 1,Treviso,28/05/2014
52.31,,PARANI Aire,94,ANA ATL.FELTRE,6 se- 2,Saronno,26/06/2010
52.31,,VELLO Michele,97,ANA ATL.FELTRE,4 se- 5,Rovigo,06/06/2015
52.38,,COLLE Nicola,96,ANA ATL.FELTRE,1 se- 4,Feltre,21/06/2012
52.45,,ZABOT Julian,02,ANA ATL.FELTRE,3 se- 2,Bolzano,09/06/2018
52.47,,PARANI Aire,94,ANA ATL.FELTRE,2 se- 1,Vicenza,15/04/2012
52.50,,ROSSA Matteo,98,ANA ATL.FELTRE,2 se- 1,Jesolo,14/04/2015
52.52,,VELLO Michele,97,ANA ATL.FELTRE,5 se- 5,Isernia,19/05/2018
52.53,,PARANI Aire,94,ANA ATL.FELTRE,3 se- 7,Pergine Valsugana,10/07/2010
52.54,,TIREL Enrico,93,ANA ATL.FELTRE,4 se- 2,Trento,28/08/2010
52.56,,SCOPEL Luca,94,ANA ATL.FELTRE,1 se- 6,Pergine Valsugana,21/07/2012
52.61,,COSTA Edgard,99,ANA ATL.FELTRE,1 se- 6,Vicenza,02/05/2015
52.62,,POLESANA Filippo,00,ANA ATL.FELTRE,1 se- 5,Feltre,01/07/2023
52.72,,VELLO Michele,97,ANA ATL.FELTRE,5 se- 1,Piombino Dese,25/04/2018
52.74,,DALLA SEGA Davide,99,ANA ATL.FELTRE,3 se- 3,Piombino Dese,25/04/2018
52.80,,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,1 se- 3,Cles,25/08/2016
52.85,,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,2 se- 2,Marcon,08/04/2017
52.87,,PARANI Aire,94,ANA ATL.FELTRE,1 se- 3,Marcon,10/04/2011
52.88,,VELLO Michele,97,ANA ATL.FELTRE,1 se- 1,Trento,04/10/2014
52.89,,SIRAGNA Lorenzo,01,ANA ATL.FELTRE,1 se- 3,Rossano Veneto,01/09/2018
52.91,,PARANI Aire,94,ANA ATL.FELTRE,1 se- 1,Feltre,19/06/2010
52.91,,ZABOT Julian,02,ANA ATL.FELTRE,1 se- 4,Piombino Dese,25/04/2018
52.92,,PARANI Aire,94,ANA ATL.FELTRE,6 se- 1,Mestre,08/05/2010
52.96,,MAHJOUBI Amir mattia,00,ANA ATL.FELTRE,4 se- 1,Bolzano,03/06/2017
53.00,,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,5 se- 2,Caorle,05/05/2018
53.01,,DE PAOLI Nicola,92,ANA ATL.FELTRE,1 se- 5,Trento,18/09/2012
53.01,,ZABOT Julian,02,ANA ATL.FELTRE,2 se- 2,Rosa',07/09/2019
53.02,,PARANI Aire,94,ANA ATL.FELTRE,5 se- 2,Trento,13/05/2012
53.05,,DE PAOLI Jacopo,88,ANA ATL.FELTRE,1 se- 1,Piombino Dese,06/07/2005
53.05,,SCHENAL Alessandro,96,ANA ATL.FELTRE,1 se- 3,Feltre,20/06/2015
53.07,,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,5 se- 2,Bassano Del Grappa,16/05/2015
53.08,,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,2 se- 5,Marcon,09/05/2015
53.13,,MAHJOUBI Amir mattia,00,ANA ATL.FELTRE,2 se- 2,Caorle,27/05/2017
53.13,,MAHJOUBI Amir mattia,00,ANA ATL.FELTRE,4 se- 1,Jesolo,16/09/2017
53.13,,BATTISTEL Samuele,04,ANA ATL.FELTRE,3 se- 1,Padova,14/05/2022
53.16,,GIAZZON Francesco,00,ANA ATL.FELTRE,1 se- 8,Vicenza,13/05/2017
53.18,,COLLE Nicola,96,ANA ATL.FELTRE,2 se- 7,Vicenza,19/05/2012
53.19,,MAHJOUBI Amir mattia,00,ANA ATL.FELTRE,3 se- 2,Chiari,30/09/2017
53.20,,GIAZZON Francesco,00,ANA ATL.FELTRE,4 se- 2,Feltre,23/08/2017
53.24,,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,2 se- 2,Vicenza,03/05/2014
53.0,,BONAN Marco,00,ANA ATL.FELTRE,1 su- 1,Feltre,30/06/2018
53.24,,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,8 se- 2,L'aquila,18/05/2019
53.31,,MAHJOUBI Amir mattia,00,ANA ATL.FELTRE,5 se- 2,Feltre,23/08/2017
53.34,,MAHJOUBI Amir mattia,00,ANA ATL.FELTRE,4 se- 2,Piombino Dese,25/04/2018
53.35,,MAHJOUBI Amir mattia,00,ANA ATL.FELTRE,3 se- 6,Caorle,05/05/2018
53.36,,ZABOT Julian,02,ANA ATL.FELTRE,6 se- 4,Arzignano,07/07/2018
53.37,,VELLO Michele,97,ANA ATL.FELTRE,2 se- 9,Padova,25/04/2017
53.38,,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,1 se- 4,Cles,29/08/2013
53.39,,SCOPEL Luca,94,ANA ATL.FELTRE,1 se- 5,Rovigo,01/09/2012
53.39,,BATTISTEL Samuele,04,ANA ATL.FELTRE,2 se- 5,Feltre,01/07/2023
53.40,,POLESANA Federico,94,ANA ATL.FELTRE,7 se- 1,Padova,18/05/2011
53.41,,DALLA SEGA Davide,99,ANA ATL.FELTRE,2 se- 7,Feltre,23/08/2017
53.56,,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,2 se- 1,Rossano Veneto,07/09/2014
53.56,,SCHENAL Alessandro,96,ANA ATL.FELTRE,1 se- 1,Marcon,09/05/2015
53.60,,PARANI Aire,94,ANA ATL.FELTRE,1 su- 1,Borgo Valsugana,23/05/2010
53.60,,MAHJOUBI Amir mattia,00,ANA ATL.FELTRE,2 se- 3,Vicenza,13/05/2017
