800 metri
Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
2:16.53,,D'ALBERTO Arianna,00,ANA ATL.FELTRE,9 se- 1,Trento,09/07/2019
2:17.53,,D'ALBERTO Arianna,00,ANA ATL.FELTRE,2 se- 1,Treviso,29/05/2019
2:18.21,,D'ALBERTO Arianna,00,ANA ATL.FELTRE,5 se- 1,Trento,23/07/2019
2:19.91,,D'ALBERTO Arianna,00,ANA ATL.FELTRE,7 ba- 2,Rieti,07/06/2019
2:21.61,,D'ALBERTO Arianna,00,ANA ATL.FELTRE,6 se- 1,San Biagio Di Callalta,12/05/2019
2:21.93,,D'ALBERTO Arianna,00,ANA ATL.FELTRE,1 su- 1,Rosa',08/09/2019
2:23.11,,D'ALBERTO Arianna,00,ANA ATL.FELTRE,9 se- 1,Padova,25/04/2019
2:26.23,,D'ALBERTO Arianna,00,ANA ATL.FELTRE,1 su- 1,Trento,21/09/2019
2:28.27,,DA RIN DE MONEGO Beatrice,03,ANA ATL.FELTRE,3 su- 1,Trento,21/09/2019
2:29.34,,DA RIN DE MONEGO Beatrice,03,ANA ATL.FELTRE,4 se- 3,Cles,24/08/2019
,(10)/2019
2:29.63,,CHIESURIN Gioia,01,ANA ATL.FELTRE,4 se- 3,Padova,25/04/2019
2:33.33,,CHIESURIN Gioia,01,ANA ATL.FELTRE,7 su- 1,Rosa',08/09/2019
2:35.62,,DALLA SANTA Alessia,01,ANA ATL.FELTRE,4 se- 2,Treviso,29/05/2019
2:39.04,,DALLA SANTA Alessia,01,ANA ATL.FELTRE,11 se- 2,Padova,25/04/2019
2:39.30,,DALLA SANTA Alessia,01,ANA ATL.FELTRE,11 se- 3,Trento,09/07/2019
2:40.50,,DALLA SANTA Alessia,01,ANA ATL.FELTRE,4 se- 4,San Biagio Di Callalta,12/05/2019
3:00.14,,CANOVA Nicol,01,ANA ATL.FELTRE,8 se- 4,San Biagio Di Callalta,12/05/2019
2:22.12,,ROSSA Marilena,02,ANA ATL.FELTRE,2 se- 1,Mestre,06/09/2020
2:22.43,,ROSSA Marilena,02,ANA ATL.FELTRE,6 ba- 1,Grosseto,18/09/2020
2:23.48,,ROSSA Marilena,02,ANA ATL.FELTRE,2 se- 3,Mestre,19/07/2020
2:28.81,,CHIESURIN Gioia,01,ANA ATL.FELTRE,5 se- 4,Mestre,19/07/2020
2:29.67,,PAGANIN Agnese,03,ANA ATL.FELTRE,1 se- 8,Mestre,19/07/2020
2:38.84,,DA RIN DE MONEGO Beatrice,03,ANA ATL.FELTRE,6 se- 4,Mestre,19/07/2020
2:14.9,,D'ALBERTO Arianna,00,ANA ATL.FELTRE,2 se- 1,Domegge Di Cadore,21/08/2021
2:15.52,,D'ALBERTO Arianna,00,ANA ATL.FELTRE,6 se- 2,Grosseto,11/06/2021
2:15.52,,D'ALBERTO Arianna,00,ANA ATL.FELTRE,6 se- 1,Trento,13/07/2021
2:17.42,,D'ALBERTO Arianna,00,ANA ATL.FELTRE,2 se- 2,Venezia,30/05/2021
2:19.84,,ROSSA Marilena,02,ANA ATL.FELTRE,4 se- 1,Grosseto,11/06/2021
2:20.27,,ROSSA Marilena,02,ANA ATL.FELTRE,4 se- 2,Trento,13/07/2021
2:20.36,,D'ALBERTO Arianna,00,ANA ATL.FELTRE,2 se- 2,Padova,22/05/2021
