Salto in lungo/LJ
Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
5.11,-4.4,SCOPEL Gioia,02,ANA ATL.FELTRE,1 se- 1,San Giovanni Lupatoto,14/04/2019
5.11,-0.2,SCOPEL Gioia,02,ANA ATL.FELTRE,9 se- 2,Padova,25/04/2019
4.77,+2.0,ZANON Gaia,02,ANA ATL.FELTRE,5 se- 1,Vicenza,02/06/2019
4.61,,ZANON Gaia,02,ANA ATL.FELTRE,4 se- 1,Agordo,15/06/2019
5.12,-0.2,SCOPEL Gioia,02,ANA ATL.FELTRE,4 su- 1,Udine,08/08/2020
5.03,+1.7,SCHENAL Anna,04,ANA ATL.FELTRE,1 se- 1,Treviso,26/07/2020
4.92,+1.0,SCHENAL Anna,04,ANA ATL.FELTRE,5 se- 1,Abano Terme,31/07/2020
4.74,+0.8,SCOPEL Gioia,02,ANA ATL.FELTRE,9 se- 1,Abano Terme,31/07/2020
4.51,+1.4,ZANON Gaia,02,ANA ATL.FELTRE,13 su- 1,Udine,08/08/2020
4.36,+2.6,ZANON Gaia,02,ANA ATL.FELTRE,12 se- 1,Treviso,26/07/2020
4.25,+1.9,DE BARBA Elena,04,ANA ATL.FELTRE,15 se- 1,Treviso,26/07/2020
4.10,+0.7,DE BARBA Elena,04,ANA ATL.FELTRE,21 se- 1,Abano Terme,31/07/2020
4.07,-0.5,ZANON Gaia,02,ANA ATL.FELTRE,12 se- 1,Treviso,26/07/2020
4.82,+1.5,SCHENAL Anna,04,ANA ATL.FELTRE,2 se- 1,Vicenza,09/05/2021
4.77,-0.1,MAHJOUBI Gaia,04,ANA ATL.FELTRE,2 se- 1,Padova,23/05/2021
4.56,+3.3,ZANON Gaia,02,ANA ATL.FELTRE,12 se- 2,Padova,23/05/2021
4.53,+0.1,MAHJOUBI Gaia,04,ANA ATL.FELTRE,10 su- 1,Cles,26/09/2021
4.50,+1.2,ZANON Gaia,02,ANA ATL.FELTRE,12 se- 2,Padova,23/05/2021
4.35,+0.6,ZANON Gaia,02,ANA ATL.FELTRE,18 se- 2,Vicenza,09/05/2021
4.32,+0.5,ZANON Gaia,02,ANA ATL.FELTRE,16 se- 2,Vicenza,16/05/2021
4.31,+0.3,MAHJOUBI Gaia,04,ANA ATL.FELTRE,7 se- 1,Padova,24/04/2021
4.13,+2.5,DAL ZOTTO Benedetta,05,ANA ATL.FELTRE,23 se- 2,Vicenza,09/05/2021
4.06,+1.0,DE RIZ Chiara,05,ANA ATL.FELTRE,16 se- 1,Vicenza,09/05/2021
,(10)/2021
3.99,+1.2,SPADA Francesca,05,ANA ATL.FELTRE,13 se- 1,Padova,24/04/2021
3.98,+0.9,DAL ZOTTO Benedetta,05,ANA ATL.FELTRE,23 se- 2,Vicenza,09/05/2021
3.97,-0.8,DE RIZ Chiara,05,ANA ATL.FELTRE,15 se- 1,Padova,24/04/2021
5.05,+2.1,DE PAOLI Camilla,05,ANA ATL.FELTRE,8 su- 1,Cles,10/09/2022
4.83,+1.6,DE PAOLI Camilla,05,ANA ATL.FELTRE,8 su- 1,Cles,10/09/2022
4.68,+1.3,DE RIZ Chiara,05,ANA ATL.FELTRE,7 se- 1,Caorle,22/05/2022
4.63,+0.1,COLUSSI Ilary,06,ANA ATL.FELTRE,7 se- 1,Modena,25/04/2022
4.60,+0.4,COLUSSI Ilary,06,ANA ATL.FELTRE,5 se- 1,Padova,01/05/2022
4.57,,COLUSSI Ilary,06,ANA ATL.FELTRE,5 su- 1,Agordo,31/08/2022
4.53,+1.1,DE RIZ Chiara,05,ANA ATL.FELTRE,7 se- 1,Padova,01/05/2022
4.50,+0.0,DE RIZ Chiara,05,ANA ATL.FELTRE,8 se- 1,Padova,15/05/2022
4.47,+0.9,DE RIZ Chiara,05,ANA ATL.FELTRE,6 se- 1,Verona,08/05/2022
4.46,+1.9,DE RIZ Chiara,05,ANA ATL.FELTRE,8 se- 1,Modena,25/04/2022
,(10)/2022
3.70,+1.3,PIOLO Carlotta,06,ANA ATL.FELTRE,20 se- 1,Verona,08/05/2022
4.73,+0.6,ANDREOLI Vittoria,07,ANA ATL.FELTRE,2 se- 1,Padova,01/05/2023
4.73,+1.9,COLUSSI Ilary,06,ANA ATL.FELTRE,6 se- 2,Padova,01/05/2023
