Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
6.83,,SAMMARITANI Chiara,90,ATLETICA SANDRO CALVESI,1 ba- 1,Aosta,04/03/2007
6.90,,SAMMARITANI Chiara,90,ATLETICA SANDRO CALVESI,1 fi- 1,Aosta,04/03/2007
6.99,,CESANA Daniela,82,DAINI CARATE BRIANZA,2 se- 1,Aosta,10/02/2008
7.24,,BEVILACQUA Greta,82,A.I.C.S. ATL. MILANO,1 se- 2,Aosta,10/02/2008
7.39,,MAURI Sara,86,DAINI CARATE BRIANZA,2 se- 2,Aosta,10/02/2008
7.59,,BATTAGLIO Alice,90,ATLETICA PEC,3 se- 2,Aosta,10/02/2008
7.24,,ANTOGNETTI Sara,83,S.S. TRIONFO LIGURE,1 se- 1,Nizza,09/01/2010
7.52,,CAGNATI Claudia,93,A.S. ATLETICA 2000 BORDIGHERA,2 se- 1,Nizza,09/01/2010
7.56,,ELENA Veronica,94,U.S. MAURINA OLIO CARLI,1 se- 1,Nizza,17/01/2010
7.66,,ELENA Veronica,94,U.S. MAURINA OLIO CARLI,3 se- 1,Nizza,09/01/2010
6.68,,DE FAZIO Oriana,92,ASD AUDACIA RECORD ATLETICA,1 fi- 1,Napoli Ponticelli,15/01/2011
6.70,,DE FAZIO Oriana,92,ASD AUDACIA RECORD ATLETICA,1 ba- 2,Napoli Ponticelli,15/01/2011
6.74,,BASSANI Paola,85,GINNASTICA COMENSE 1872,1 se- 9,Locarno,19/01/2011
6.96,,FALCHETTI Federica,94,A.S.D. LIB. POL. AMAT. ATL. BN,1 ba- 1,Napoli Ponticelli,15/01/2011
6.99,,FALCHETTI Federica,94,A.S.D. LIB. POL. AMAT. ATL. BN,2 fi- 1,Napoli Ponticelli,15/01/2011
7.03,,MANCINI Ilaria,94,A.S.D.  C.U.S. GENOVA,2 su- 1,Nice,08/01/2011
7.14,,GUIDA Rosa,94,ASD ENTERPRISE SPORT & SERVICE,2 ba- 2,Napoli Ponticelli,15/01/2011
7.18,,FUCCI Eleonora,95,ATLETICA MAGNA GRAECIA,2 ba- 1,Napoli Ponticelli,15/01/2011
7.19,,GUIDA Rosa,94,ASD ENTERPRISE SPORT & SERVICE,3 fi- 1,Napoli Ponticelli,15/01/2011
7.34,,ESPOSITO Camilla,94,A.S.D.  ATL. MARANO,3 ba- 2,Napoli Ponticelli,15/01/2011
7.34,,ESPOSITO Camilla,94,A.S.D.  ATL. MARANO,4 fi- 1,Napoli Ponticelli,15/01/2011
7.39,,FERRERA Marzia,94,A.S.D.  C.U.S. GENOVA,1 se- 4,Nice,08/01/2011
7.50,,CACCIOPPOLI Francesca,93,A.P.D. PARTENOPE ATL. LEGG.,3 ba- 1,Napoli Ponticelli,15/01/2011
7.50,,RICCIO Claudia,76,ATLETICA ARCOBALENO SAVONA,1 se- 1,Nizza,06/02/2011
7.56,,CACCIOPPOLI Francesca,93,A.P.D. PARTENOPE ATL. LEGG.,5 fi- 1,Napoli Ponticelli,15/01/2011
7.77,,GIULIANO Immacolata,91,A.P.D. PARTENOPE ATL. LEGG.,4 ba- 2,Napoli Ponticelli,15/01/2011
7.88,,ABET Federica,93,ASD CSU IDEATLETICA AURORA F,4 ba- 1,Napoli Ponticelli,15/01/2011
8.03,,IANNONE Isabella,95,ASD G.P. BUDOKAN CLUB PORTICI,5 ba- 1,Napoli Ponticelli,15/01/2011
8.58,,STELLA Naomi,95,ASD G.P. BUDOKAN CLUB PORTICI,6 ba- 1,Napoli Ponticelli,15/01/2011
6.72,,DE FAZIO Oriana,92,ASD ENTERPRISE SPORT & SERVICE,1 ba- 1,Napoli,14/01/2012
6.73,,DE FAZIO Oriana,92,ASD ENTERPRISE SPORT & SERVICE,1 fi- 1,Napoli,14/01/2012
6.73,,MARINIELLO Martina,89,ASD ENTERPRISE SPORT & SERVICE,1 se- 1,Napoli,15/02/2012
6.82,,SANNINO Mariaelisa,86,A.S.D. AGG. HINNA,2 se- 1,Napoli,15/02/2012
6.83,,BASSANI Paola,85,GINNASTICA COMENSE 1872,2 fi- 1,Locarno,08/01/2012
6.83,,SANNINO Mariaelisa,86,A.S.D. AGG. HINNA,2 fi- 1,Napoli,14/01/2012
6.85,,DI LORETO Teresa,89,G.S. FIAMME AZZURRE,3 fi- 1,Napoli,14/01/2012
6.86,,BASSANI Paola,85,GINNASTICA COMENSE 1872,3 ba- 1,Locarno,08/01/2012
6.86,,SANNINO Mariaelisa,86,A.S.D. AGG. HINNA,1 se- 2,Napoli,15/02/2012
6.92,,MANCINI Ilaria,94,A.S.D.  C.U.S. GENOVA,2 se- 1,Nizza,07/01/2012
6.93,,GAGLIANO Enrica,96,S.S.D. CENTRO ESTER NAPOLI ARL,1 ba- 5,Napoli,14/01/2012
6.97,,DI LORETO Teresa,89,G.S. FIAMME AZZURRE,1 ba- 2,Napoli,14/01/2012
6.98,,MARINIELLO Martina,89,ASD ENTERPRISE SPORT & SERVICE,2 se- 2,Napoli,15/02/2012
7.00,,FALCHETTI Federica,94,A.S.D. LIB. POL. AMAT. ATL. BN,1 ba- 4,Napoli,14/01/2012
7.04,,SANNINO Mariaelisa,86,A.S.D. AGG. HINNA,1 ba- 3,Napoli,14/01/2012
7.05,,GAGLIANO Enrica,96,S.S.D. CENTRO ESTER NAPOLI ARL,4 fi- 1,Napoli,14/01/2012
7.13,,FESTANTE Demj,96,A.S.D. LIB. POL. AMAT. ATL. BN,2 ba- 2,Napoli,14/01/2012
7.15,,FUCCI Eleonora,95,ASD ENTERPRISE SPORT & SERVICE,2 ba- 3,Napoli,14/01/2012
7.16,,FESTANTE Demj,96,A.S.D. LIB. POL. AMAT. ATL. BN,5 fi- 1,Napoli,14/01/2012
7.17,,FESTANTE Demj,96,A.S.D. LIB. POL. AMAT. ATL. BN,3 se- 1,Napoli,15/02/2012
7.22,,FALCHETTI Federica,94,A.S.D. LIB. POL. AMAT. ATL. BN,6 fi- 1,Napoli,14/01/2012
7.25,,PESTICCIO Annarita,94,ASD ENTERPRISE SPORT & SERVICE,2 ba- 1,Napoli,14/01/2012
7.35,,ANELO Miriana,93,ARCOBALENO CASTROVILLARI,3 ba- 2,Napoli,14/01/2012
7.39,,ESPOSITO Camilla,94,ASD ENTERPRISE SPORT & SERVICE,4 ba- 2,Napoli,14/01/2012
7.40,,SOLARO Laura,89,A.S.D. AGG. HINNA,2 ba- 4,Napoli,14/01/2012
7.46,,GIULIANO Immacolata,91,A.P.D. PARTENOPE ATL. LEGG.,3 ba- 4,Napoli,14/01/2012
7.50,,SOZZI Ilaria,90,S.S. TRIONFO LIGURE,3 se- 1,Nizza,07/01/2012
7.62,,GIORDANO Martina,90,ATLETICA ARCOBALENO SAVONA,2 se- 1,Nice,05/02/2012
7.69,,MASSUCCO Vittoria,94,A.S.D.  C.U.S. GENOVA,4 se- 1,Nizza,07/01/2012
7.69,,MICHELI Maria carolina,90,A.P.D. PARTENOPE ATL. LEGG.,3 ba- 1,Napoli,14/01/2012
7.70,,DE TULLIO Maria francesca,91,ASD A.S.A. DETUR NAPOLI,5 ba- 2,Napoli,14/01/2012
7.78,,IANNONE Isabella,95,ASD G.P. BUDOKAN CLUB PORTICI,4 ba- 1,Napoli,14/01/2012
7.80,,CIERVO Stefania,96,A.S.D. LIB. POL. AMAT. ATL. BN,3 ba- 3,Napoli,14/01/2012
7.84,,GIOCONDO Francesca,94,A.S.D.  ATL. VIS NOVA,6 ba- 2,Napoli,14/01/2012
7.85,,D'ANDREA Silvia,95,A.S.D. LIB. POL. AMAT. ATL. BN,2 ba- 5,Napoli,14/01/2012
7.96,,GIORDANO Mariarita,87,A.S.D.  ATL. VIS NOVA,4 ba- 3,Napoli,14/01/2012
7.99,,AUTORINO Maria maddalena,94,A.S.D. ' LA CORSA',3 ba- 5,Napoli,14/01/2012
8.00,,TURCO Angelina,93,ASD ENTERPRISE SPORT & SERVICE,5 ba- 3,Napoli,14/01/2012
8.08,,VOLLERO Alessia,94,A.S.D. ' LA CORSA',5 ba- 5,Napoli,14/01/2012
10.26,,BIZZARRO Flavia,93,A.S.D. ' LA CORSA',4 ba- 4,Napoli,14/01/2012
6.71,,DE FAZIO Oriana,92,ASD ENTERPRISE SPORT & SERVICE,1 fi- 1,Napoli,19/01/2013
6.71,,DE FAZIO Oriana,92,ASD ENTERPRISE SPORT & SERVICE,1 se- 1,Napoli,19/01/2013
6.85,,GIUSTO Vittoria,97,ATLETICA ARCOBALENO SAVONA,1 ex- 2,Nice,03/02/2013
6.89,,SCHWARZ Carla maria,97,S.S. TRIONFO LIGURE,1 se-13,Nice,03/02/2013
6.95,,TOESCA Sara,95,S.S. TRIONFO LIGURE,1 ex-11,Nice,03/02/2013
6.97,,MANCINI Ilaria,94,A.S.D.  C.U.S. GENOVA,2 ex- 2,Nice,03/02/2013
6.99,,TOESCA Sara,95,S.S. TRIONFO LIGURE,2 su- 1,Nice,05/01/2013
6.99,,GAGLIANO Enrica,96,S.S.D. CENTRO ESTER NAPOLI ARL,2 se- 1,Napoli,19/01/2013
6.99,,GAGLIANO Enrica,96,S.S.D. CENTRO ESTER NAPOLI ARL,1 fi- 1,Napoli,09/02/2013
7.00,,FULIANO Elisa,96,S.S. TRIONFO LIGURE,3 ex- 2,Nice,03/02/2013
7.01,,GAGLIANO Enrica,96,S.S.D. CENTRO ESTER NAPOLI ARL,2 fi- 1,Napoli,19/01/2013
7.04,,SCHWARZ Carla maria,97,S.S. TRIONFO LIGURE,1 se- 6,Nice,05/01/2013
7.06,,FUCCI Eleonora,95,ASD ENTERPRISE SPORT & SERVICE,3 fi- 1,Napoli,19/01/2013
7.07,,FALCHETTI Federica,94,ASD ENTERPRISE SPORT & SERVICE,3 se- 1,Napoli,19/01/2013
7.07,,REBORA Elena,97,S.S. TRIONFO LIGURE,1 ex- 3,Nice,03/02/2013
7.08,,REBORA Elena,97,S.S. TRIONFO LIGURE,1 su- 2,Nice,05/01/2013
7.09,,GAGLIANO Enrica,96,S.S.D. CENTRO ESTER NAPOLI ARL,1 ba- 1,Napoli,09/02/2013
7.10,,MANCINI Ilaria,94,A.S.D.  C.U.S. GENOVA,4 su- 1,Nizza,19/01/2013
7.12,,FALCHETTI Federica,94,ASD ENTERPRISE SPORT & SERVICE,2 ba- 1,Napoli,09/02/2013
7.12,,FALCHETTI Federica,94,ASD ENTERPRISE SPORT & SERVICE,2 fi- 1,Napoli,09/02/2013
7.13,,ROMICO Giulia,94,ATL. TRIANGOLO LARIANO,1 se- 5,Locarno,20/02/2013
7.14,,LUGLI Elisa,97,S.S. TRIONFO LIGURE,3 su- 2,Nice,05/01/2013
7.15,,BARONE Carola,90,ASD ENTERPRISE SPORT & SERVICE,1 se- 2,Napoli,19/01/2013
7.15,,FUCCI Eleonora,95,ASD ENTERPRISE SPORT & SERVICE,2 se- 2,Napoli,19/01/2013
7.15,,ACQUARONE Erica,88,S.S. TRIONFO LIGURE,1 ex- 6,Nice,03/02/2013
7.16,,BARONE Carola,90,ASD ENTERPRISE SPORT & SERVICE,4 fi- 1,Napoli,19/01/2013
7.17,,FESTANTE Demj,96,ASD ENTERPRISE SPORT & SERVICE,3 se- 2,Napoli,19/01/2013
7.23,,MASCELLANI Martina,94,ATL. TRIANGOLO LARIANO,1 se- 5,Locarno,20/02/2013
7.26,,GIULIANO Immacolata,91,A.P.D. PARTENOPE ATL. LEGG.,1 fi- 2,Napoli,19/01/2013
7.26,,CAFIERO Martina,94,A.S.D.  C.U.S. GENOVA,3 se- 2,Nizza,19/01/2013
7.26,,GIULIANO Immacolata,91,A.P.D. PARTENOPE ATL. LEGG.,4 se- 1,Napoli,19/01/2013
7.32,,GIULIANO Immacolata,91,A.P.D. PARTENOPE ATL. LEGG.,3 ba- 1,Napoli,09/02/2013
7.32,,GIULIANO Immacolata,91,A.P.D. PARTENOPE ATL. LEGG.,3 fi- 1,Napoli,09/02/2013
7.36,,MASCELLANI Martina,94,ATL. TRIANGOLO LARIANO,4 ba- 3,Locarno,30/01/2013
7.36,,PIOMBO Benedetta,97,ATLETICA ARCOBALENO SAVONA,2 ex- 4,Nice,03/02/2013
7.39,,ONZA Martina,94,A.S.D.  ATL. MARANO,4 ba- 1,Napoli,09/02/2013
7.42,,CACCIAPUOTI Vincenza,97,A.S.D.  ATL. MARANO,5 ba- 1,Napoli,09/02/2013
7.43,,ONZA Martina,94,A.S.D.  ATL. MARANO,1 se- 4,Napoli,19/01/2013
7.44,,ONZA Martina,94,A.S.D.  ATL. MARANO,4 fi- 1,Napoli,09/02/2013
7.45,,ONZA Martina,94,A.S.D.  ATL. MARANO,2 fi- 2,Napoli,19/01/2013
7.46,,SETTEMBRE Samantha,97,A.P.D. PARTENOPE ATL. LEGG.,5 fi- 1,Napoli,09/02/2013
7.48,,SURANO Ginevra,96,ATLETICA ARCOBALENO SAVONA,2 se- 3,Nice,03/02/2013
7.49,,SETTEMBRE Samantha,97,A.P.D. PARTENOPE ATL. LEGG.,6 ba- 1,Napoli,09/02/2013
7.49,,CACCIAPUOTI Vincenza,97,A.S.D.  ATL. MARANO,6 fi- 1,Napoli,09/02/2013
7.51,,TARSI Gaia,97,A.S. 'FOCE' SANREMO,3 se-12,Nice,15/12/2013
7.52,,SOZZI Ilaria,90,S.S. TRIONFO LIGURE,1 ex- 5,Nice,03/02/2013
7.55,,CACCIAPUOTI Vincenza,97,A.S.D.  ATL. MARANO,3 fi- 2,Napoli,19/01/2013
7.55,,CACCIAPUOTI Vincenza,97,A.S.D.  ATL. MARANO,4 se- 2,Napoli,19/01/2013
