Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
8.52,,CARAVELLI Marzia,81,JAKY-TECH APUANA,1 se- 1,Udine,11/03/2007
8.75,,TESSARO Giulia,85,G.S. FIAMME ORO PADOVA,2 se- 1,Udine,11/03/2007
8.84,,FEUDATARI Alessandra,91,A.ATL. INTERFLUMINA,1 fi- 1,Modena,04/03/2007
8.87,,DIMONI Ambra,90,TEAM ALLIEVE 2006,1 fi- 1,Genova,24/02/2007
8.92,,DIMONI Ambra,90,TEAM ALLIEVE 2006,1 ba- 3,Genova,24/02/2007
8.92,,FEUDATARI Alessandra,91,A.ATL. INTERFLUMINA,2 fi- 1,Genova,24/02/2007
8.92,,SQUASSABIA Ginevra,90,LIB. MANTOVA F.LE,3 fi- 1,Genova,24/02/2007
8.93,,FEUDATARI Alessandra,91,A.ATL. INTERFLUMINA,1 ba- 1,Modena,04/03/2007
8.93,,STRATI Laura,90,GR.SP.DIL.SCOL MARCONI CASSOLA,2 fi- 1,Modena,04/03/2007
8.94,,STRATI Laura,90,GR.SP.DIL.SCOL MARCONI CASSOLA,4 fi- 1,Genova,24/02/2007
8.94,,SQUASSABIA Ginevra,90,LIB. MANTOVA F.LE,3 fi- 1,Modena,04/03/2007
8.95,,STRATI Laura,90,GR.SP.DIL.SCOL MARCONI CASSOLA,1 ba- 5,Modena,04/03/2007
8.97,,SQUASSABIA Ginevra,90,LIB. MANTOVA F.LE,1 fi- 1,Castenedolo,28/01/2007
8.97,,STRATI Laura,90,GR.SP.DIL.SCOL MARCONI CASSOLA,2 ba- 3,Genova,24/02/2007
8.99,,STRATI Laura,90,GR.SP.DIL.SCOL MARCONI CASSOLA,1 ba- 1,Padova,18/02/2007
8.99,,DIMONI Ambra,90,TEAM ALLIEVE 2006,1 ba- 3,Modena,04/03/2007
9.00,,DIMONI Ambra,90,TEAM ALLIEVE 2006,4 fi- 1,Modena,04/03/2007
9.02,,STRATI Laura,90,GR.SP.DIL.SCOL MARCONI CASSOLA,1 ba- 1,Padova,27/01/2007
9.03,,SQUASSABIA Ginevra,90,LIB. MANTOVA F.LE,1 ba- 1,Modena,03/02/2007
9.03,,SQUASSABIA Ginevra,90,LIB. MANTOVA F.LE,1 ba- 1,Genova,24/02/2007
9.04,,SQUASSABIA Ginevra,90,LIB. MANTOVA F.LE,1 fi- 1,Modena,03/02/2007
9.05,,SQUASSABIA Ginevra,90,LIB. MANTOVA F.LE,1 ba- 1,Castenedolo,28/01/2007
9.05,,FEUDATARI Alessandra,91,A.ATL. INTERFLUMINA,1 fi- 1,Genova Palasport,11/02/2007
9.05,,FEUDATARI Alessandra,91,A.ATL. INTERFLUMINA,1 ba- 2,Genova,24/02/2007
9.05,,SQUASSABIA Ginevra,90,LIB. MANTOVA F.LE,1 ba- 4,Modena,04/03/2007
9.06,,FEUDATARI Alessandra,91,A.ATL. INTERFLUMINA,2 ba- 1,Padova,18/02/2007
9.07,,RIPAMONTI Francesca,90,CAMELOT,2 fi- 1,Genova Palasport,11/02/2007
9.08,,PALLARONI Elisa,90,ATL. PIACENZA,2 ba- 1,Genova,24/02/2007
9.08,,CINICOLA Gaia edda,91,ATL. ESTRADA,3 ba- 3,Genova,24/02/2007
9.08,,RIPAMONTI Francesca,90,CAMELOT,5 fi- 1,Genova,24/02/2007
9.10,,GIOVANELLI Lara,91,MOLLIFICIO MODENESE CITTADELLA,3 ba- 1,Genova,24/02/2007
9.11,,FEUDATARI Alessandra,91,A.ATL. INTERFLUMINA,2 fi- 1,Castenedolo,28/01/2007
9.12,,FEUDATARI Alessandra,91,A.ATL. INTERFLUMINA,1 ba- 1,Genova Palasport,11/02/2007
9.13,,NGO AG Odile,90,GRUPPO SPORTIVO VIRTUS,1 se- 1,Ancona,28/01/2007
9.13,,PALLARONI Elisa,90,ATL. PIACENZA,2 fi- 1,Modena,03/02/2007
9.13,,RIPAMONTI Francesca,90,CAMELOT,2 ba- 2,Genova,24/02/2007
9.13,,LAZZARINI Selene,91,ASSI BANCA TOSCANA FIRENZE,1 fi- 2,Modena,04/03/2007
9.13,,GIOVANELLI Lara,91,MOLLIFICIO MODENESE CITTADELLA,2 ba- 1,Modena,04/03/2007
9.14,,FEUDATARI Alessandra,91,A.ATL. INTERFLUMINA,2 ba- 1,Castenedolo,28/01/2007
9.14,,LAZZARINI Selene,91,ASSI BANCA TOSCANA FIRENZE,2 se- 1,Ancona,28/01/2007
9.17,,NGO AG Odile,90,GRUPPO SPORTIVO VIRTUS,1 se- 1,Napoli,21/01/2007
9.18,,PALLARONI Elisa,90,ATL. PIACENZA,1 ba- 2,Modena,04/03/2007
9.18,,SCHENETTI Martina,90,REGGIO EVENT'S,2 fi- 2,Modena,04/03/2007
9.19,,SPADONI Daniela,91,CUS URBINO,1 ba- 1,Ancona,20/01/2007
9.19,,PALLARONI Elisa,90,ATL. PIACENZA,2 ba- 1,Genova Palasport,11/02/2007
9.20,,RIPAMONTI Francesca,90,CAMELOT,3 ba- 1,Genova Palasport,11/02/2007
9.21,,DIMONI Ambra,90,TEAM ALLIEVE 2006,1 ba- 2,Firenze,20/01/2007
9.21,,PALLARONI Elisa,90,ATL. PIACENZA,6 fi- 1,Genova,24/02/2007
9.21,,LAZZARINI Selene,91,ASSI BANCA TOSCANA FIRENZE,2 ba- 3,Modena,04/03/2007
9.21,,GIOVANELLI Lara,91,MOLLIFICIO MODENESE CITTADELLA,5 fi- 1,Modena,04/03/2007
9.22,,RIPAMONTI Francesca,90,CAMELOT,1 fi- 1,Saronno,21/01/2007
9.22,,PALLARONI Elisa,90,ATL. PIACENZA,2 ba- 1,Modena,03/02/2007
9.22,,PUPPARO Jessica,90,RUNNING CLUB FUTURA,3 ba- 2,Genova,24/02/2007
9.22,,NICOLIS Erica,90,ASD ATLETICA VALPOLICELLA,3 ba- 1,Modena,04/03/2007
9.22,,CINICOLA Gaia edda,91,ATL. ESTRADA,3 fi- 2,Modena,04/03/2007
9.23,,GIOVANELLI Lara,91,MOLLIFICIO MODENESE CITTADELLA,1 ba- 2,Modena,03/02/2007
9.23,,CINICOLA Gaia edda,91,ATL. ESTRADA,7 fi- 1,Genova,24/02/2007
9.23,,CINICOLA Gaia edda,91,ATL. ESTRADA,2 ba- 5,Modena,04/03/2007
