Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
3157,,MARCHETTI Erica,98,CUS PISA ATLETICA CASCINA,1 su- 1,Firenze,18/01/2015
2646,,BYLYKBASHI Alessia,98,TOSCANA ATL.EMPOLI NISSAN,2 su- 1,Firenze,18/01/2015
2315,,CORSI Marta,98,TOSCANA ATL.EMPOLI NISSAN,3 su- 1,Firenze,18/01/2015
1758,,VANNUCCINI Aglaia naomi,98,ATL. SESTINI,4 su- 1,Firenze,18/01/2015
1622,,AVIETTI Carlotta,99,TOSCANA ATL.EMPOLI NISSAN,5 su- 1,Firenze,18/01/2015
1606,,CIAPONI Damiana,98,POLISPORTIVA ATLETICA I'GIGLIO,6 su- 1,Firenze,18/01/2015
3050,,DE MARCO Carlotta,00,CENTRO ATLETICA PIOMBINO,1 su- 1,Firenze,17/01/2016
3016,,LAZZERI Arianna,99,ATL LIBERTAS RUNNERS LIVORNO,2 su- 1,Firenze,17/01/2016
2553,,TROPEA Daisy,00,ASD LA GALLA PONTEDERA ATL.,3 su- 1,Firenze,17/01/2016
2490,,FERRO Francesca,99,S.S. TRIONFO LIGURE,4 su- 1,Firenze,17/01/2016
2479,,BIANCHI Eva,00,ASSI GIGLIO ROSSO FIRENZE,5 su- 1,Firenze,17/01/2016
2335,,SERAFINI Vittoria,00,TOSCANA ATL.EMPOLI NISSAN,6 su- 1,Firenze,17/01/2016
2188,,SUSINI Emma,00,ATLETICA LIVORNO,7 su- 1,Firenze,17/01/2016
2034,,RELLA Carlotta,00,TOSCANA ATL.EMPOLI NISSAN,8 su- 1,Firenze,17/01/2016
1790,,BARBIERI Francesca,00,TOSCANA ATL.EMPOLI NISSAN,9 su- 1,Firenze,17/01/2016
1749,,BALDACCI Serena,00,ASSI GIGLIO ROSSO FIRENZE,10 su- 1,Firenze,17/01/2016
1587,,BILLERI Alice,00,ASD LA GALLA PONTEDERA ATL.,11 su- 1,Firenze,17/01/2016
1431,,FRATTURA Jenny,00,TOSCANA ATL.EMPOLI NISSAN,12 su- 1,Firenze,17/01/2016
1348,,ROSSI Elisabetta,00,TOSCANA ATL.EMPOLI NISSAN,13 su- 1,Firenze,17/01/2016
3144,,MENCHINI Rebecca,01,ATL. STRONESE-NUOVA NORDAFFARI,1 su- 1,Aosta,08/01/2017
3082,,GIOVANNINI Marta giaele,01,ATLETICA LIVORNO,1 su- 1,Firenze,22/01/2017
3049,,CAPOBIANCO Arianna,01,ATL. STRONESE-NUOVA NORDAFFARI,2 su- 1,Aosta,08/01/2017
