Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
4.00,,BRUZZESE Sara,82,C.S. ESERCITO,1 su- 1,Monaco,05/02/2005
3.95,,BRUZZESE Sara,82,C.S. ESERCITO,1 su- 1,Genova Palasport,09/02/2005
3.95,,BRUZZESE Sara,82,C.S. ESERCITO,1 su- 1,Genova Palasport,13/02/2005
3.95,,BRUZZESE Sara,82,C.S. ESERCITO,1 su- 1,Ancona,20/02/2005
3.90,,GIORDANO BRUNO Anna,80,C.U.S. TRIESTE,3 se- 1,Sempeter,08/01/2005
3.90,,BRUZZESE Sara,82,C.S. ESERCITO,1 su- 1,San Donato Milanese,29/01/2005
3.90,,GIORDANO BRUNO Anna,80,C.U.S. TRIESTE,1 se- 1,Modena,13/02/2005
3.90,,GIORDANO BRUNO Anna,80,C.U.S. TRIESTE,2 su- 1,Ancona,20/02/2005
3.80,,GIORDANO BRUNO Anna,80,C.U.S. TRIESTE,1 se- 1,Modena,16/01/2005
3.80,,GAZZOTTI Gloria,84,REGGIO EVENT'S,1 se- 1,Modena,22/01/2005
3.80,,AZZOLINI Pamela,82,C.U.S. PARMA,2 se- 1,Modena,13/02/2005
3.80,,GUARDA Giuliana,78,C.S. FORESTALE,3 se- 1,Modena,13/02/2005
3.80,,GUARDA Giuliana,78,C.S. FORESTALE,3 su- 1,Ancona,20/02/2005
3.80,,CARGNELLI Giulia,88,ATLETICA UDINESE MALIGNANI,1 su- 1,Sempeter,27/02/2005
3.80,,CARGNELLI Giulia,88,ATLETICA UDINESE MALIGNANI,1 su- 1,Modena,06/03/2005
3.70,,GAZZOTTI Gloria,84,REGGIO EVENT'S,1 se- 1,Modena,09/01/2005
3.70,,GAZZOTTI Gloria,84,REGGIO EVENT'S,2 se- 1,Modena,16/01/2005
3.70,,AZZOLINI Pamela,82,C.U.S. PARMA,3 se- 1,Modena,16/01/2005
3.70,,CARGNELLI Giulia,88,ATLETICA UDINESE MALIGNANI,1 su- 1,Genova,05/02/2005
3.70,,GAZZOTTI Gloria,84,REGGIO EVENT'S,1 su- 1,Genova,06/02/2005
3.70,,GUARDA Giuliana,78,C.S. FORESTALE,2 su- 1,Genova Palasport,09/02/2005
3.70,,AZZOLINI Pamela,82,C.U.S. PARMA,3 su- 1,Genova Palasport,09/02/2005
3.70,,DI GIORGIO Cristina,85,ATLETICA UDINESE MALIGNANI,4 su- 1,Ancona,20/02/2005
3.70,,VIGLINO Francesca,81,FONDIARIA - SAI ATLETICA,5 su- 1,Ancona,20/02/2005
3.70,,CARGNELLI Giulia,88,ATLETICA UDINESE MALIGNANI,6 su- 1,Ancona,20/02/2005
3.70,,AZZOLINI Pamela,82,C.U.S. PARMA,7 su- 1,Ancona,20/02/2005
3.60,,AZZOLINI Pamela,82,C.U.S. PARMA,2 se- 1,Modena,09/01/2005
3.60,,AZZOLINI Pamela,82,C.U.S. PARMA,1 su- 1,Caravaggio,23/01/2005
3.60,,BRUZZESE Sara,82,C.S. ESERCITO,2 su- 1,Caravaggio,23/01/2005
3.60,,GAZZOTTI Gloria,84,REGGIO EVENT'S,8 su- 1,Ancona,20/02/2005
3.60,,CININI Amalia,88,AMATORI ATL.CARRARA CA.RI.CA.,2 su- 1,Modena,06/03/2005
3.50,,CININI Amalia,88,AMATORI ATL.CARRARA CA.RI.CA.,1 su- 1,Firenze,14/01/2005
3.50,,ZANELLI Chiara,77,C.U.S. BOLOGNA,4 se- 1,Modena,16/01/2005
