Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
4:24.54,,VISSA Sintayehu,96,ATL BRUGNERA PN FRIULINTAGLI,6 su- 1,New York,11/02/2023
4:28.71,,VISSA Sintayehu,96,ATL BRUGNERA PN FRIULINTAGLI,4 su- 1,New York,28/01/2023
4:32.70,,VISSA Sintayehu,96,ATL BRUGNERA PN FRIULINTAGLI,1 se- 1,Nashville,22/01/2022
4:33.13,,VISSA Sintayehu,96,ATL BRUGNERA PN FRIULINTAGLI,1 ba- 1,Birmingham,11/03/2022
4:33.84,,APRILE Giulia,95,C.S. ESERCITO,12 su- 1,Lievin,17/02/2022
4:34.45,,PELLICORO Laura,00,BRACCO ATLETICA,7 se- 1,Seattle,12/02/2022
4:35.40,,VISSA Sintayehu,96,ATL BRUGNERA PN FRIULINTAGLI,2 fi- 1,Birmingham,12/03/2022
4:35.45,,PELLICORO Laura,00,BRACCO ATLETICA,7 ba- 1,Birmingham,11/03/2022
4:55.89,,ALESSANDRINI Olivia,06,ATL. BERGAMO 1959 ORIOCENTER,1 se- 1,New York,12/03/2023
4:57.65,,NARCISO Alice,01,PRO SESTO ATL. CERNUSCO,5 ba- 2,Chicago,26/02/2023
4:58.26,,MATTAGLIANO Joyce,94,ATLETICA BRUGNERA FRIULINTAGLI,2 se- 1,Birmingham,09/02/2015
5:00.60,,NARCISO Alice,01,PRO SESTO ATL.,2 ba- 1,Chicago,27/02/2022
5:08.90,,FROLLI Serena,04,BRACCO ATLETICA,5 se- 1,Allendale,14/01/2023
5:12.02,,NARCISO Alice,01,PRO SESTO ATL.,7 se- 1,Ames,22/01/2022
5:42.09,,GROSSO Samuela,05,ATL. STRONESE-NUOVA NORDAFFARI,6 se- 2,Louisville,07/01/2022
